position,anchor,facing,height,location,corrected_median_range_mm,vicon_distance_mm,residual_after_additive_mm,link_noise_std_mm,headline_err_3d_mm
ID01,A,ABEF,low,edge,1282.1592854234289,1351.6345528597271,-69.47526743629828,24.854967062508443,89.0878819225367
ID01,B,ABEF,low,edge,1612.2147434093235,1615.1375295148673,-2.9227861055437643,21.29414962737637,89.0878819225367
ID01,C,ABEF,low,edge,2028.7787705609053,2105.624637483596,-76.84586692269067,27.9138852556777,89.0878819225367
ID01,D,ABEF,low,edge,1907.2180313221638,1935.078762816482,-27.860731494318088,22.38802648485937,89.0878819225367
ID01,E,ABEF,low,edge,2171.23186412312,1994.5399263694196,176.69193775370036,22.912845496781216,89.0878819225367
ID01,F,ABEF,low,edge,2246.9339539885896,2216.5409050417297,30.393048946859835,63.62866518459946,89.0878819225367
ID01,G,ABEF,low,edge,2596.704318896999,2609.3734756223203,-12.669156725321045,118.40724679515291,89.0878819225367
ID01,H,ABEF,low,edge,2356.9029092141354,2434.6420027502886,-77.73909353615318,144.00261164687896,89.0878819225367
ID02,A,ABEF,mid,edge,1642.8277278197836,1696.260377743571,-53.432649923787494,17.81125761900408,61.38344543349298
ID02,B,ABEF,mid,edge,1672.2865366885349,1721.486284093009,-49.19974740447424,19.75230731295463,61.38344543349298
ID02,C,ABEF,mid,edge,2095.6253150259654,2200.1541147872163,-104.52879976125087,29.134129278907004,61.38344543349298
ID02,D,ABEF,mid,edge,2250.1708168598916,2183.164695448748,67.0061214111438,17.665417205068845,61.38344543349298
ID02,E,ABEF,mid,edge,1548.3732428208396,1560.2882163218635,-11.914973501023951,21.295349872040937,61.38344543349298
ID02,F,ABEF,mid,edge,1571.3618571064048,1638.6991333319806,-67.3372762255758,89.00811720043687,61.38344543349298
ID02,G,ABEF,mid,edge,2094.865624432683,2151.663448301595,-56.79782386891202,91.41290670115448,61.38344543349298
ID02,H,ABEF,mid,edge,2086.5446903604397,2100.881036385292,-14.336346024852446,43.68901949198206,61.38344543349298
