model,links,rms_mm,r2,distance_slope_percent,horizontal_slope_percent,vertical_slope_percent,elevation_slope_mm_per_deg,height_mid_effect_mm,height_high_effect_mm
anchor_fixed_effects_only,192,98.84824133189912,0.10411417685193003,nan,nan,nan,nan,nan,nan
vicon_distance_mm,192,94.93033436165919,0.17372466020110733,7.7174737051151965,nan,nan,nan,nan,nan
horizontal_distance_mm,192,98.6171457871893,0.10829823126767901,nan,2.1347455897895884,nan,nan,nan,nan
vertical_abs_mm,192,92.5194746577334,0.21516007689575367,nan,nan,6.186065904375937,nan,nan,nan
elevation_angle_deg,192,93.14572535396185,0.20449918592527272,nan,nan,nan,2.0653673216905304,nan,nan
height,192,98.13243331563024,0.11704228417042573,nan,nan,nan,nan,-28.756240099940953,nan
horizontal_distance_mm+vertical_abs_mm,192,92.2751976071698,0.21929899548477838,nan,2.1232011676858065,6.1848119883009645,nan,nan,nan
horizontal_distance_mm+elevation_angle_deg,192,92.23960200195742,0.21990119771233496,nan,4.1646153826874865,nan,2.2143152421939267,nan,nan
vicon_distance_mm+elevation_angle_deg,192,91.92902299480897,0.22514567867525348,4.634761565596079,nan,nan,1.6300451212144782,nan,nan
horizontal_distance_mm+height,192,97.90069603845811,0.12120752525029244,nan,2.1299464515195154,nan,nan,-28.730575153323624,nan
elevation_angle_deg+height,192,92.16377366492992,0.22118327784095737,nan,nan,nan,2.1066505938119207,-32.94626476347395,nan
