position,anchor_id,anchor,n_valid,median_range_mm,vicon_distance_mm,bias_mm,range_std_mm,quality_median,tag_truth_source,truth_direct_motive,truth_reconstructed,location,height,facing
ID01,0,A,1199,1514.0,1351.6345528597271,162.36544714027286,24.854967062508443,100.0,reconstructed_from_relabelled_balls,False,True,edge,low,ABEF
ID01,1,B,1199,1768.0,1615.1375295148673,152.8624704851327,21.294149627376374,100.0,reconstructed_from_relabelled_balls,False,True,edge,low,ABEF
ID01,2,C,1197,2177.0,2105.624637483596,71.37536251640404,27.9138852556777,100.0,reconstructed_from_relabelled_balls,False,True,edge,low,ABEF
ID01,3,D,1198,2111.0,1935.0787628164821,175.92123718351786,22.38802648485937,100.0,reconstructed_from_relabelled_balls,False,True,edge,low,ABEF
ID01,4,E,1201,2314.0,1994.5399263694194,319.4600736305806,22.912845496781216,100.0,reconstructed_from_relabelled_balls,False,True,edge,low,ABEF
ID01,5,F,1192,2407.5,2216.5409050417297,190.95909495827027,63.62866518459946,100.0,reconstructed_from_relabelled_balls,False,True,edge,low,ABEF
ID01,6,G,1141,2769.0,2609.3734756223203,159.62652437767974,118.40724679515293,100.0,reconstructed_from_relabelled_balls,False,True,edge,low,ABEF
ID01,7,H,1179,2472.0,2434.6420027502886,37.35799724971139,144.00261164687896,100.0,reconstructed_from_relabelled_balls,False,True,edge,low,ABEF
ID02,0,A,1200,1874.0,1696.2603777435713,177.73962225642867,17.81125761900408,100.0,motive_iantenna,True,False,edge,mid,ABEF
ID02,1,B,1201,1830.0,1721.4862840930093,108.51371590699068,19.75230731295463,100.0,motive_iantenna,True,False,edge,mid,ABEF
ID02,2,C,1196,2245.0,2200.1541147872163,44.84588521278374,29.134129278907004,100.0,motive_iantenna,True,False,edge,mid,ABEF
ID02,3,D,1201,2450.0,2183.1646954487474,266.83530455125265,17.665417205068845,100.0,motive_iantenna,True,False,edge,mid,ABEF
ID02,4,E,1201,1699.0,1560.2882163218635,138.7117836781365,21.295349872040937,100.0,motive_iantenna,True,False,edge,mid,ABEF
ID02,5,F,1195,1736.0,1638.6991333319806,97.30086666801935,89.00811720043687,100.0,motive_iantenna,True,False,edge,mid,ABEF
ID02,6,G,1174,2269.0,2151.663448301595,117.33655169840495,91.41290670115447,100.0,motive_iantenna,True,False,edge,mid,ABEF
ID02,7,H,1187,2199.0,2100.881036385292,98.11896361470781,43.68901949198206,100.0,motive_iantenna,True,False,edge,mid,ABEF
ID03,0,A,1200,2209.0,2009.335958097629,199.66404190237108,31.917345198503487,100.0,motive_iantenna,True,False,edge,high,ABEF
ID03,1,B,1201,2435.0,2019.0316717412327,415.9683282587673,22.951011495586688,100.0,motive_iantenna,True,False,edge,high,ABEF
ID03,2,C,1198,2544.0,2459.490085749076,84.50991425092388,22.269531887615255,100.0,motive_iantenna,True,False,edge,high,ABEF
ID03,3,D,1201,2978.0,2445.289246807861,532.7107531921388,23.07336102300964,100.0,motive_iantenna,True,False,edge,high,ABEF
ID03,4,E,1198,1555.0,1461.841536022643,93.15846397735709,24.701776723846322,100.0,motive_iantenna,True,False,edge,high,ABEF
ID03,5,F,1188,1594.0,1534.177675765978,59.82232423402206,84.65478178966026,100.0,motive_iantenna,True,False,edge,high,ABEF
ID03,6,G,1156,2240.0,2093.4424452335343,146.55755476646573,104.28381700284649,100.0,motive_iantenna,True,False,edge,high,ABEF
ID03,7,H,1173,2140.0,2044.940356961913,95.05964303808696,33.946296064096394,100.0,motive_iantenna,True,False,edge,high,ABEF
ID04,0,A,1199,2464.0,2235.733325558398,228.26667444160194,18.262551654291283,100.0,motive_iantenna,True,False,edge,low,BCGF
ID04,1,B,1200,1336.0,1143.5794705584094,192.4205294415906,24.608408179474072,100.0,motive_iantenna,True,False,edge,low,BCGF
ID04,2,C,1198,1450.0,1373.9715100836042,76.02848991639576,19.408599652537905,100.0,motive_iantenna,True,False,edge,low,BCGF
ID04,3,D,1201,2568.0,2373.1081943796476,194.89180562035244,21.551292693567316,100.0,motive_iantenna,True,False,edge,low,BCGF
ID04,4,E,1200,2810.0,2668.3164260973103,141.68357390268966,25.40874023803101,100.0,motive_iantenna,True,False,edge,low,BCGF
ID04,5,F,1178,2276.0,1863.051845027743,412.94815497225704,83.98223991795771,100.0,motive_iantenna,True,False,edge,low,BCGF
ID04,6,G,1171,2205.0,2056.1472765647827,148.85272343521729,103.77321555888875,100.0,motive_iantenna,True,False,edge,low,BCGF
ID04,7,H,1187,3093.0,2836.590313127163,256.409686872837,31.773620136695705,100.0,motive_iantenna,True,False,edge,low,BCGF
ID05,0,A,1196,3074.0,2433.606284763163,640.3937152368371,56.73651776209669,100.0,reconstructed_from_relabelled_balls,False,True,edge,mid,BCGF
ID05,1,B,1197,1617.0,1513.8657129484172,103.13428705158276,29.443604118336307,100.0,reconstructed_from_relabelled_balls,False,True,edge,mid,BCGF
ID05,2,C,1199,1741.0,1539.649440604074,201.35055939592598,21.715748321961716,100.0,reconstructed_from_relabelled_balls,False,True,edge,mid,BCGF
ID05,3,D,1200,2588.0,2446.365606991397,141.63439300860318,21.522137228474545,100.0,reconstructed_from_relabelled_balls,False,True,edge,mid,BCGF
ID05,4,E,1200,2478.0,2343.476761654272,134.5232383457278,25.231827194210904,100.0,reconstructed_from_relabelled_balls,False,True,edge,mid,BCGF
ID05,5,F,1189,1481.0,1371.7530152674738,109.24698473252624,102.72682368642117,100.0,reconstructed_from_relabelled_balls,False,True,edge,mid,BCGF
ID05,6,G,1121,1586.0,1447.9552651907018,138.04473480929823,94.41791172382634,100.0,reconstructed_from_relabelled_balls,False,True,edge,mid,BCGF
ID05,7,H,1193,2565.0,2419.166855505211,145.83314449478894,50.24970417281011,100.0,reconstructed_from_relabelled_balls,False,True,edge,mid,BCGF
ID06,0,A,1198,3018.5,2692.9031974052964,325.5968025947036,22.09345909178644,100.0,motive_iantenna,True,False,edge,high,BCGF
ID06,1,B,1200,1996.0,1891.2370753031953,104.7629246968047,23.112368876409718,100.0,motive_iantenna,True,False,edge,high,BCGF
ID06,2,C,1200,2239.0,1935.493749512048,303.506250487952,25.97034680136254,100.0,motive_iantenna,True,False,edge,high,BCGF
ID06,3,D,1200,2869.0,2712.4645817704723,156.53541822952775,27.921356055754448,100.0,motive_iantenna,True,False,edge,high,BCGF
ID06,4,E,1200,2493.0,2278.651786698353,214.34821330164687,26.83888946339955,100.0,motive_iantenna,True,False,edge,high,BCGF
ID06,5,F,1194,1373.0,1245.5219010533738,127.47809894662623,70.17076298886364,100.0,motive_iantenna,True,False,edge,high,BCGF
ID06,6,G,1152,1553.0,1357.9046315092799,195.09536849072015,93.54629174671099,100.0,motive_iantenna,True,False,edge,high,BCGF
ID06,7,H,1176,2469.0,2368.431115314194,100.5688846858061,35.18319029639898,100.0,motive_iantenna,True,False,edge,high,BCGF
ID07,0,A,1201,2365.0,2202.476986100144,162.52301389985587,25.186283102285362,100.0,motive_iantenna,True,False,edge,low,CDHG
ID07,1,B,1197,1993.0,1937.023565310128,55.976434689871894,30.542616924174144,100.0,motive_iantenna,True,False,edge,low,CDHG
