capture_pairs,deltaR_error_mean_mm,deltaR_error_rms_mm,abs_deltaR_error_median_mm,abs_deltaR_error_p95_mm,inner_outer_center_sep_median_mm,inner_outer_center_sep_p95_mm,turn_center_rms_median_mm,turn_center_rms_p95_mm,circle_thickness_rms_median_mm_diagnostic,circle_thickness_rms_p95_mm_diagnostic,variant
17,-30.64359260612399,32.79271144650756,29.055153445599444,45.85062025885052,38.26483207580662,75.300199306011,15.91537668868025,25.443044250461714,88.33482095815411,138.13986698404923,V-A_unbounded
17,-38.6225753033612,40.31506851763223,42.01351134238587,53.25995010171007,41.59063160383646,76.4286676050147,15.767172800409579,27.884147861004507,89.91230973911236,146.98613885428426,V-B_calibrated
17,-38.9577642828684,40.68351548641747,42.11904823850011,54.049161560937954,41.996036567897946,79.6693751063603,15.801350741426846,27.954754030489568,90.0564098770467,147.2640644656994,V-C_calibrated_residual
17,-30.084996722714475,31.983813319458562,32.18379293268168,42.7202826649438,37.18176307519984,68.52068413942175,14.371650550816193,26.049517332018798,80.5718349046562,132.9145511301423,baseline_v4io
