anchor,links,noise_median_std_mm,noise_p95_std_mm,flag
A,24,22.219023048704507,34.90336004596874,
B,24,24.609836480725598,31.50887175229676,
C,24,22.292758932154676,29.881445473865778,
D,24,24.571124702347674,30.733342700666075,
E,24,24.54666413721478,34.79570120496019,
F,24,85.8860736408427,106.68236397039696,F/G high-noise anomaly
G,24,95.51063977340348,120.43745114246937,F/G high-noise anomaly
H,24,40.958506935298814,113.52528501246181,
