variant,pairs,median_scale_error_percent,mean_scale_error_percent,rms_scale_error_percent,count_positive,count_negative,count_abs_lt_1_percent
baseline_v4io,28,4.062837383422879,4.704524958137273,5.412802863293303,27,1,2
V-A_unbounded,28,3.60826882338815,3.672415344790797,5.020225346829628,23,5,2
V-B_calibrated,28,-0.08249087098413099,0.23140038343998073,1.7137195349681014,13,15,18
V-C_calibrated_residual,28,-0.21441715471208767,-0.1208333989904672,1.666663943060251,12,16,13
