ID,tilt,facing,inner_radius_mm,outer_radius_mm,deltaR_mm,deltaR_error_mm,abs_deltaR_error_mm,inner_radius_bias_mm,outer_radius_bias_mm,inner_outer_center_sep_mm,inner_turn_center_rms_3d_mm,outer_turn_center_rms_3d_mm,inner_turn_center_p95_3d_mm,outer_turn_center_p95_3d_mm,inner_turn_count,outer_turn_count,inner_circle_thickness_rms_diagnostic,outer_circle_thickness_rms_diagnostic,variant
R01,,,506.96338116721216,615.8151934349745,108.85181226776234,-11.148187732237659,11.148187732237659,66.96338116721216,55.8151934349745,84.35709231167034,22.858556389364303,20.099166691765763,40.376012555847424,34.42834990193823,31,31,144.96038346928592,116.4714188222965,V-A_unbounded
R02,,,508.1754551444321,607.4246652736269,99.24921012919486,-20.750789870805136,20.750789870805136,68.17545514443208,47.42466527362694,73.03597605459618,31.36684553234724,13.570844420903148,44.76654213263347,24.349798774600536,28,28,143.07285998653168,106.84380911410071,V-A_unbounded
R03,,,540.9131876914824,616.1437270934846,75.23053940200214,-44.76946059799786,44.76946059799786,100.91318769148245,56.143727093484586,48.64807835298729,20.146076383452193,15.253627664899922,33.03294684906428,24.815487659078453,29,29,105.68181243813868,78.21939363765145,V-A_unbounded
R04,,,514.8009618245803,607.2948179830667,92.49385615848632,-27.506143841513676,27.506143841513676,74.80096182458033,47.29481798306665,56.4263166326166,24.344310113916162,17.953550618275656,37.04319873874038,30.790235283598644,28,28,115.36558189256488,100.01741680637441,V-A_unbounded
R05,,,536.3002424565885,620.0433698209583,83.7431273643698,-36.2568726356302,36.2568726356302,96.30024245658853,60.04336982095833,53.215544486497535,27.483550504046335,14.094717845040085,48.72438044444939,21.351874724918876,29,29,127.43405518730957,83.42285000770809,V-A_unbounded
R06,,,528.287178778662,610.2739215188739,81.98674274021187,-38.01325725978813,38.01325725978813,88.287178778662,50.27392151887386,24.801277859736423,20.414998797383898,15.877451153746257,35.17932493085984,29.33445483637471,24,24,117.5383002388693,94.53960234616434,V-A_unbounded
R07,,,523.7581847339094,605.3443734952517,81.58618876134233,-38.41381123865767,38.41381123865767,83.75818473390939,45.344373495251716,50.12180440478805,15.802863963450871,11.40473188925844,26.397626741702084,18.562887610707147,23,23,94.2280255912768,70.60324288535578,V-A_unbounded
R08,,,521.4005727311505,602.9338562801083,81.5332835489578,-38.4667164510422,38.4667164510422,81.40057273115053,42.93385628010833,38.26483207580662,17.624459556173285,15.953302223614246,26.252511146607322,30.38360738018806,24,24,117.36515676222464,91.01125921457191,V-A_unbounded
R09,,,545.8761946140531,623.1896608109637,77.31346619691055,-42.686533803089446,42.686533803089446,105.87619461405313,63.18966081096369,61.54308792908641,18.92821912466071,12.651298799508261,25.843607371496223,21.34790833791219,24,24,135.48363998271256,83.84064167626249,V-A_unbounded
R10,,,526.3681303135783,599.285531669568,72.91740135598968,-47.08259864401032,47.08259864401032,86.36813031357826,39.285531669567945,31.297557846929816,16.02141855063732,11.470106839536065,24.470246113114364,20.5008586843397,23,23,89.39383959688254,72.05208403987479,V-A_unbounded
R11,,,494.00549220701294,584.9503387614135,90.94484655440056,-29.055153445599444,29.055153445599444,54.005492207012935,24.95033876141349,28.98477937634405,12.73937275543615,11.714896583794474,19.08641043563706,17.849163490928223,23,23,75.39607349317305,57.7189759416782,V-A_unbounded
R12,,,508.8837801171052,619.3578610209555,110.47408090385034,-9.525919096149664,9.525919096149664,68.88378011710518,59.35786102095551,38.30036208311957,20.92820274827504,16.02282785454359,37.56537119368403,25.1446450354812,23,23,95.42752750714689,87.27580231942568,V-A_unbounded
