facing,truth_reconstructed,links,bias_mean_mm,bias_median_mm,bias_p95_abs_mm
ABEF,False,40,151.80202141735333,121.08071123733373,412.1513796934
ABEF,True,8,158.74102594269618,160.9959857589763,274.4847310952719
ADHE,False,48,174.49684137668464,146.33575425858692,305.5298831519147
BCGF,False,40,162.4069518792747,139.195601331415,329.96437021358105
BCGF,True,8,201.77013213441128,139.8395639089507,486.72861069251803
CDHG,False,48,167.49630115394612,145.00461001764256,422.3453221876054
