position,anchor_id,anchor,n_valid,median_range_mm,vicon_distance_mm,bias_mm,range_std_mm,quality_median,tag_truth_source,truth_direct_motive,truth_reconstructed,location,height,facing,abs_bias_mm
ID05,0,A,1196,3074.0,2433.606284763163,640.3937152368371,56.73651776209669,100.0,reconstructed_from_relabelled_balls,False,True,edge,mid,BCGF,640.3937152368371
ID24,2,C,1199,2839.0,2249.1553818568336,589.8446181431664,19.30504586268881,100.0,motive_iantenna,True,False,center,high,ADHE,589.8446181431664
ID19,6,G,1143,2808.0,2242.691320565533,565.3086794344672,88.16726478829968,100.0,motive_iantenna,True,False,center,low,CDHG,565.3086794344672
ID03,3,D,1201,2978.0,2445.289246807861,532.7107531921388,23.07336102300964,100.0,motive_iantenna,True,False,edge,high,ABEF,532.7107531921388
ID22,0,A,1199,2614.0,2112.164975046835,501.835024953165,20.246544860214875,100.0,motive_iantenna,True,False,center,high,BCGF,501.835024953165
ID08,1,B,1201,2657.0,2210.4842514682223,446.5157485317777,27.513506056891465,100.0,motive_iantenna,True,False,edge,mid,CDHG,446.5157485317777
ID19,4,E,1199,2719.0,2279.747587516056,439.2524124839447,22.67001197949211,100.0,motive_iantenna,True,False,center,low,CDHG,439.2524124839447
ID03,1,B,1201,2435.0,2019.031671741233,415.9683282587673,22.951011495586688,100.0,motive_iantenna,True,False,edge,high,ABEF,415.9683282587673
ID04,5,F,1178,2276.0,1863.051845027743,412.948154972257,83.98223991795771,100.0,motive_iantenna,True,False,edge,low,BCGF,412.948154972257
ID21,3,D,1201,2642.0,2230.049512336356,411.9504876636438,29.95891814297589,100.0,motive_iantenna,True,False,center,high,ABEF,411.9504876636438
ID09,3,D,1200,2414.0,2023.05355979131,390.94644020868986,20.227464834015723,100.0,motive_iantenna,True,False,edge,high,CDHG,390.94644020868986
ID20,5,F,1184,2683.0,2299.1224881867097,383.8775118132903,94.32646309621312,100.0,motive_iantenna,True,False,center,low,ADHE,383.8775118132903
