position,subset,kept_n,dropped_links,frames_solved,aligned_x_mm,aligned_y_vertical_mm,aligned_z_mm,err_x_mm,err_y_vertical_mm,err_z_mm,err_horizontal_mm,err_vertical_mm,err_3d_mm
ID01,ABDEFH,6,"C,G",1,-522.3981995370395,172.2266103625471,-404.3984061180811,19.81714481230142,-10.316190221532224,-21.074345187649158,28.928312318555957,10.316190221532224,30.71271779388391
ID02,ABEFGH,6,"C,D",1,-563.5317950511626,1101.329830003017,-228.17479922817597,-20.301815051162635,-4.259169996983019,31.746560771824022,37.682991059770316,4.259169996983019,37.922926367488174
ID03,ABCEFH,6,"D,G",1,-589.2241464750053,1608.9925050883596,-265.6978666099167,-35.22127647500531,-16.5689449116403,-9.402766609916682,36.454771106802006,16.5689449116403,40.04347976805085
ID04,ABDEGH,6,"C,F",1,-306.1927995738047,200.77646543001327,488.04913914446956,14.986015426195308,18.61267543001327,8.115319144469538,17.042272828785414,18.61267543001327,25.23629825932831
ID05,BCDEFG,6,"A,H",1,-222.544063827041,1095.5875112622284,451.6892563069257,-37.562174030108594,-7.999105297348478,-22.014772627023603,43.538111255401425,7.999105297348478,44.26683653984979
ID06,ABCDFG,6,"E,H",1,-180.77540382832467,1677.425712008889,488.87467254697935,12.455851171675334,-7.5268379911110515,12.351692546979336,17.54173700595328,7.5268379911110515,19.088368901780562
ID07,ACDEFH,6,"B,G",1,368.3209843551997,215.35373848542048,90.68563307558816,16.173434355199674,3.788383485420468,36.88976707558816,40.27945994837941,3.788383485420468,40.457221149823276
ID08,ACEFGH,6,"B,D",1,371.9403466467163,1140.5934230306832,-82.10077819442449,-19.96019335328367,8.313023030683098,-10.568849194424502,22.5856124998849,8.313023030683098,24.06691180653689
ID09,ABCDEFGH,8,,1,416.60920807900857,1545.2790775830442,-18.64378060436161,7.799268079008584,-22.90627241695597,43.782007895638394,44.47125811062674,22.90627241695597,50.023895429902126
ID10,ABDEGH,6,"C,F",1,52.874670761171046,234.89032735014897,-937.9487351942089,-12.624574238828956,-3.7594026498510402,0.2446848057910529,12.62694521116999,3.7594026498510402,13.174705068789804
ID11,ACDEFGH,7,B,1,-86.08780372413594,1137.9683567358866,-959.1517445454816,-22.18200922413594,4.468506735886422,-2.1614495454816733,22.287067939890946,4.468506735886422,22.730617013314383
ID12,ABCDEF,6,"G,H",1,-13.406099858046218,1593.2777232373528,-955.6711071125193,30.282584641953783,3.147673237352592,0.6864328874806915,30.29036352878767,3.147673237352592,30.453472207865822
ID13,ADEFGH,6,"B,C",1,-212.39764506803988,1143.217112887477,-199.70217112815976,-22.769490068039886,4.119512887476958,-1.7360111281597597,22.835573401945954,4.119512887476958,23.204176327242266
ID14,ACEFGH,6,"B,D",1,-173.06715159761143,1102.2840008283315,-170.1031841151398,25.62816840238858,-30.34379917166848,24.587400884860187,35.5153952242406,30.34379917166848,46.712840270150146
ID15,BDEFGH,6,"A,C",1,-186.14206363950666,1147.2591445853277,-179.72271253615577,14.02327136049334,15.00404458532762,4.5898724638442445,14.75530646528185,15.00404458532762,21.043773967681926
ID16,ACDEGH,6,"B,F",1,-179.46134367422076,1138.1399285683674,-182.24735243717828,5.393311325779251,16.08272856836743,3.532802562821729,6.447363880273745,16.08272856836743,17.32693450118746
ID17,ACDEFG,6,"B,H",1,-132.27279127902727,194.5953295631257,-321.56568917164645,48.125608720972735,-14.863325436874305,6.637545828353552,48.58118184428679,14.863325436874305,50.80403204894367
ID18,ABDFGH,6,"C,E",1,-288.2175211880427,248.32644890202042,-203.29047041604258,7.206778811957292,41.42059890202043,20.710939583957412,21.928991752810035,41.42059890202043,46.86733076138289
ID19,ACEFGH,6,"B,D",1,-201.08756946581138,220.1749045784598,-114.30603506045622,-12.557014465811392,14.214334578459813,-0.17094006045621768,12.558177925115782,14.214334578459813,18.967212243955714
ID20,ABCEFGH,7,D,1,-106.84605841303232,177.8448020017198,-208.9061441268584,-26.650066913032333,-24.715327998280173,11.786520873141598,29.140146546682008,24.715327998280173,38.20988849531853
ID21,ABCDEFGH,8,,1,-210.60508039405,1593.0082462018686,-214.9581510540379,1.4483846059499967,-5.636053798131343,11.976593945962094,12.063855955423573,5.636053798131343,13.315469309364937
ID22,ABCEFGH,7,D,1,-217.87879037850178,1615.1500187674121,-208.51699408412787,14.958879621498227,15.82881876741203,26.65708591587213,30.567438706189684,15.82881876741203,34.4226642290837
ID23,ABCEFGH,7,D,1,-221.24980805880568,1591.1108633358695,-237.58134605539794,9.627521941194317,-8.553386664130358,-14.339866055397948,17.271969697024492,8.553386664130358,19.2738517333992
ID24,ABCDEG,6,"F,H",1,-208.4547537377298,1590.98857876505,-228.91036761002238,9.747721262270204,-8.592921234949927,-2.8391926100223657,10.152787030353796,8.592921234949927,13.301029277231654
