anchor,delta_full_mm,delta_additive_only_mm
A,294.2488295219678,297.4579081426198
B,189.7905730582065,193.02545140749658
C,251.42253461503435,254.64751224221703
D,226.3549157662836,229.57559953058865
E,95.17011283293759,98.4363531775666
F,97.88493905082547,101.18412980089232
G,168.43794491405066,171.75178677361475
H,167.87409430583955,171.1729003092354
