bootstrap,delta_tag_mm,rho_percent,rms_mm,delta_A_mm,delta_B_mm,delta_C_mm,delta_D_mm,delta_E_mm,delta_F_mm,delta_G_mm,delta_H_mm
0,-187.12132356013092,8.850303135655224,103.75568746131596,372.97081060564875,173.1354396387504,88.74071324284499,236.8224215053136,145.09586103337756,204.9609110950733,225.81508472215717,43.642702221979846
1,-165.35270220328596,8.236210198902683,102.2719088116847,236.25011818976253,155.14691578947705,215.43070616666603,241.79867341998448,125.4836044370204,246.73817212023573,220.33747595194518,49.99827799005422
2,-227.92740688915455,9.712393749260428,102.1621566610746,268.64138610403313,135.1178008255463,171.5716108191775,286.59077299958665,183.56850801913873,193.11937308460128,211.42544074121275,41.14905147184925
3,-226.3049062777692,9.623448227705467,91.23252116939425,267.57642807462474,151.94556596248884,289.74599787905873,254.31116089243352,134.25470639753416,145.84757074851905,194.76868283488145,52.73383127560513
4,-185.62236405032698,8.43224521383803,87.14750036069806,249.47921441571822,136.62113763391758,201.59839104926888,231.6819217931736,200.01822517999128,210.49919717947373,180.6022069172631,80.68364989633925
5,-148.206498775597,7.4855099912747525,93.40425774291845,392.1373649546771,190.93083963101245,177.94658658770277,237.72153330048647,156.43124261903338,129.96095901843444,149.41299608567374,56.64242186812527
6,-142.02606448435134,6.851731319116006,87.47382792449164,346.3365453478824,184.0678725592597,140.5410211274721,273.0206369613123,149.08855823189475,128.8338416340462,193.72698418855776,75.56848401472045
7,-245.98904037742298,10.10644431957246,100.83759279683417,303.63015379323093,44.6891026165942,257.41062796452786,235.17600819206191,200.01329341979613,182.36021726546053,217.5877649023173,50.31677591115675
8,-133.8188212164206,7.616826558701462,105.69389220289119,344.5947883847475,146.9752129311272,139.648905616263,324.29220246532884,139.74043948502992,158.97036063325837,153.81970168136786,83.14233286802285
9,-258.83776197275245,10.610580370613576,111.50413705291413,386.05566336436925,227.5676563803287,75.44235974709628,150.72191007925483,204.31490605933624,146.4056680335397,247.24410545672353,53.43167494449705
10,-240.64629036563798,10.404693225235917,102.90865166743934,316.6591665456905,247.06291742164814,176.43792360930414,220.46654290742865,123.68031012232802,172.8614352093407,153.02726202847117,80.98838622093432
11,-246.95474927074753,10.62351470718994,98.66687156562577,226.41097580550797,267.43159922575825,151.68135944297603,242.88259593074952,181.89210772277352,202.98333858212024,156.8032677266225,61.098699628637576
12,-147.08425841559068,7.180765572822878,94.0872120317085,328.2482743518673,227.87668096280845,132.5816375864938,254.8791695683221,131.3866110822445,165.85245975663145,208.33907254197783,42.02003821480017
13,-117.03653633420814,6.190785437960855,84.62697582276044,292.57290101580963,194.30972234937008,134.30055929639207,254.57760811502285,155.12131213016295,243.73412578054533,189.12209659475286,27.445618783089856
14,-162.8041868818737,8.016131920072667,95.79218389700706,360.9871071187188,123.46145942031623,134.91888052227057,314.76668433948333,133.50866776507502,196.4631206515533,146.87997854985434,80.19804569787398
15,-200.01220038669595,8.960290699547535,94.08874444637397,301.4339706694092,180.66301904344363,108.00149447538477,338.11418777751425,105.85664614489998,206.05945759665903,212.24337730374413,38.81179105409058
16,-109.83227141689125,7.006328080053947,93.97306764965273,251.85310302240143,223.25738018520107,203.38761352144135,250.67857566050822,160.1081034389719,172.1517100886339,142.2640276657128,87.48343048227497
17,-132.71870760366136,7.235146914012347,84.89092523895181,263.404964115274,218.9982233687008,128.15566302251528,232.4187404983843,207.2182716018344,177.86431869731786,145.01955010113883,118.1042126599801
18,-215.22021151690092,8.738688655776627,82.03050602870599,356.10110065862614,120.16657626239491,124.81612266375727,275.24566384047193,108.02776130939426,203.9569794171676,219.80651027584716,83.06322963748633
19,-94.61521307657769,6.055510627876437,98.00232394539141,324.9117950051957,174.6755681192475,154.8669614492935,252.334958548867,135.03841524897973,207.3726254999944,156.41585286028513,85.56776733328266
20,-181.3232206764307,8.434208564677448,97.25105877714442,269.4408746364989,166.06599525223803,138.53745330811017,321.1702237545036,195.1414454496811,178.5373312699188,169.9062594409628,52.3843609532322
21,-272.1067019220647,10.72891597652812,96.58144369544978,350.6671871439089,185.52083284392612,111.42366512585093,224.16526455992195,172.25640317394212,258.35434367203516,138.28025620254982,50.515991343010626
22,-32.11020762237657,4.61585766301269,91.5818105850966,314.12481756344624,135.31663265904155,122.71634823809336,279.7356942872057,92.22121004987797,227.9530466596812,241.8380203639137,77.2781742438859
23,-222.56429242187073,8.947731363333844,86.2257041520643,293.7625022601393,166.433416034694,123.15778630740994,273.4347377123665,145.8574309566473,239.45871980942718,197.63947320380416,51.4398777806573
24,-152.03489782904506,7.423910580314441,96.27092317211729,331.398094241153,221.7469033285487,72.11135478701488,256.00534498362055,151.69873528261348,130.8611354542422,259.2233735905603,68.1390023973925
25,-296.95958595986696,11.572448712134076,102.69881752177551,336.82181143095823,155.21598292736465,146.3418639512294,297.61866575535294,194.58579435670921,149.12393937190342,136.2374163823473,75.23846988928052
26,-137.0410335113868,7.15573089859447,86.16671132096015,324.53983515023054,259.97413884007574,133.75965008207748,248.26375544448365,105.36732741424531,193.91813833822675,154.5199842318817,70.84111456392444
27,-244.90788292300573,9.693098348486018,87.67527330029131,335.80561175433365,164.42869350904226,165.87762619281472,184.22811322978632,158.63331631750458,203.69743222616356,183.8711198000703,94.64203103543032
28,-158.4735970914347,7.841751747685066,101.15157485726493,354.14813789657575,163.534848128232,113.61432259863365,208.60733877993658,146.83482686658596,138.07537313497863,298.9612761781377,67.40782048206538
29,-156.43768360127507,7.361244464810213,91.70144381566173,306.7689779352935,196.3627481364129,146.45371797063206,246.1175343360992,139.71929728383657,213.6042638342786,171.188901174342,70.96850339425079
30,-135.9788521163159,7.106695165149052,98.29531893044788,288.5777979706533,186.39618021029105,172.90029818751526,207.22140627882217,167.2962398933078,172.83536206189507,211.5747825925322,84.3818768701287
31,-193.00791361267957,8.436312953695335,99.07366628893999,320.20807927693306,119.28033835376007,199.10144037537367,284.62142079756796,119.63998728182729,199.95563967941717,174.53590474497594,73.84113355529047
32,-123.39196074476422,6.927552296586015,92.71484437015148,337.0888802843899,125.56293240223951,159.06815051272568,263.7946921619213,206.26480511289628,145.0822611305875,176.57177080362814,77.75045165675732
33,-95.87930747161712,5.633700376211337,90.77790565863174,244.24975178802592,210.2554870935637,190.52835142561847,238.78476101660448,145.35148875214549,217.5678696892924,215.86401731691882,28.582216982976377
34,-264.114496304799,10.63722119226469,104.4688623707979,404.912455233314,92.25037595678437,113.88762402256314,277.0976690769339,129.771955010609,187.23097967289556,229.70312075184216,56.32976434020344
35,-150.99922362990762,7.123519559522151,88.71234287746132,323.8017794402755,117.2835763466346,105.17557123742569,215.8946983051267,143.68557225412687,219.12373493757423,280.32694759722784,85.89206394675423
36,-105.1325143225079,6.025602548108289,93.43403737657435,291.3144313622997,200.35513522492712,165.27218833275958,268.41744459621555,152.71102216977945,179.98506693750434,159.13542984645457,73.99322559520536
37,-58.36959451436665,4.93874736879043,91.74795529464473,257.3700931561615,205.13756243649112,198.28502866636285,247.40417215382854,156.94211222180334,205.9956197030948,160.49362751693292,59.555728210470576
38,-178.8881905559731,9.102922536428792,105.95605966204116,335.02262830989633,240.361254643348,207.56128618682044,182.71987223542175,140.25908188653875,144.27982826598708,170.14482436668467,70.83516817044861
39,-182.35252701063618,8.639114175495521,97.41167818316312,258.7886107176227,181.44804675497662,119.05964938696476,225.84062976505672,201.03786569363325,211.01691174631165,229.74458446399134,64.24764553658858
40,-246.3601849639407,10.359789212635917,109.05161951691548,400.6774637864394,108.43978868655255,146.93704972757885,324.6165911050929,165.39782735495956,118.76585670660914,181.13103443490127,45.21833226301209
41,-110.75295991666042,6.257287301393433,83.98716152305343,401.19757771553407,149.81809791234815,175.79194543496052,243.53322200235175,90.57874595119898,153.35471910772597,218.57438819196292,58.33524774906326
42,-170.08009877566766,7.602963656647432,91.4496187157634,347.6642188842279,97.23257405249608,88.44770497919458,219.00848169615455,199.659871336297,225.20052150010744,224.40292405792528,89.56764755874282
43,-230.09570681077912,9.606154854426308,103.55017192466754,347.01050358269475,142.0006009261101,102.7386687393782,224.1265893143884,186.81971425812537,155.46915770376262,238.93755163627395,94.08115790441218
44,-137.1704666990164,6.927925704176374,99.29754457049445,342.12804895431555,148.794225140391,127.93459364969834,247.18338436649077,145.00691533562917,163.75995384276857,236.54209243782128,79.83473033803097
45,-180.34268259923533,8.068536926218428,90.52330242188772,301.40782107329767,121.29324650129193,170.78943551407525,318.2122587649383,133.7168939244592,220.98617743915014,152.7612675602739,72.01684328765916
46,-171.72458749601563,7.911521430598967,91.31412802446235,310.89112598403585,205.16239356541888,154.31409472529066,180.75326883244446,143.92668087655247,197.16628034665644,216.80290891515614,82.16719081959077
47,-194.9083439677292,8.432600731250517,100.6137872508891,324.09019841159545,130.1174830801209,177.2383788132628,282.3563200456158,153.95143209848743,157.4569917108147,206.11228927197314,59.86085063327532
48,-139.92018014640416,6.862485917719141,87.87335337385161,287.4699356189452,148.3561512325082,125.638745222151,231.59236650599783,167.60256135904484,242.33217564315063,234.9848892732237,53.207119210124176
49,-192.0253769606687,8.564010344914852,91.35278956251872,276.89029847188743,180.57806196650563,136.15692189518302,250.04775117141384,203.9289608877758,224.91013845887107,167.45188041365228,51.21993079985654
50,-305.4475085822525,12.012217504109657,93.21881643463749,277.771689746012,219.4188018910724,107.83532216212257,334.3906314035338,95.01091004882034,122.58869389717506,259.9222337898076,74.24566112660185
51,-222.5652521400741,9.128374749092849,96.41644604160201,377.9542812917391,179.53680312899857,70.68900488256456,267.18852683568815,131.7782795423841,176.85622827272476,219.8161919784018,67.36462813264458
52,-77.40113329338867,5.446774783308683,88.58761521074585,283.95230197216404,113.86271817417799,144.5351172321595,326.09077386375577,207.47298418028345,128.81457582174158,207.44750612814295,79.00796669272034
53,-150.18555352187846,7.058891487258423,81.64462046750383,325.95654760027753,189.99963660283132,88.32843396524879,251.0770725759326,166.53339419749872,185.21213854635045,223.65914747300036,60.41757310400587
54,-190.4273005841611,8.115519944814764,84.95829043357986,288.02618053267577,266.74671718028844,136.99616267645146,224.77043269562037,136.07055961018207,200.10552954913297,165.12752444597314,73.34083737482143
55,-216.33182096140854,9.32844149705474,105.54928016033317,232.934840074674,148.94601973658334,233.2742589605715,221.79304750502627,172.81442288668484,202.14853386697771,246.28833797509648,32.984483059531414
56,-199.2290327537712,9.240865941349341,105.3300905312517,387.01455332630985,108.78753067016262,163.14454353337965,231.2120620732748,167.80491713269478,157.53263809889296,203.0987146407578,72.58898458967312
57,-311.85613979511066,12.303057871912099,102.53589015543032,352.1480670436906,186.84641877146328,145.77612441679173,275.85237085002916,124.20217061223892,148.77751290573724,138.59987743119785,118.98140203399686
58,-133.1232838955944,7.362583894085262,93.84794916380697,293.8224312366907,190.27080711705833,111.21755654413154,288.51214798398644,175.29000356068474,208.97772400570022,172.40851083678504,50.68476278010863
