position,fit,delta_tag_mm,train_rms_mm,train_links
ID01,global_additive_only_loo,146.19103775719037,99.67993172011285,184
ID02,global_additive_only_loo,148.58805421322126,100.22874905508046,184
ID03,global_additive_only_loo,142.304920191119,95.31719505856275,184
ID04,global_additive_only_loo,142.04350046304495,98.39364596834925,184
ID05,global_additive_only_loo,142.44937634921507,95.6606063724839,184
ID06,global_additive_only_loo,143.3870839105358,99.69829709854271,184
ID07,global_additive_only_loo,146.0435978259041,98.813734366075,184
ID08,global_additive_only_loo,145.0578827238916,98.05397326934143,184
ID09,global_additive_only_loo,145.00355707956436,99.04727847608325,184
ID10,global_additive_only_loo,144.42676742658378,100.13712977658315,184
ID11,global_additive_only_loo,144.6324914240805,100.48761580413691,184
ID12,global_additive_only_loo,145.15334775281508,99.71218327696484,184
ID13,global_additive_only_loo,147.87685974213457,100.56165976585073,184
ID14,global_additive_only_loo,149.10846195698537,100.3289942843871,184
ID15,global_additive_only_loo,148.83780908158298,100.38029761978744,184
ID16,global_additive_only_loo,147.06667658906622,100.71226091981669,184
ID17,global_additive_only_loo,149.60115290055026,99.74393650896661,184
ID18,global_additive_only_loo,149.6154101522273,99.94134239970424,184
ID19,global_additive_only_loo,142.7890001653928,92.87765572260736,184
ID20,global_additive_only_loo,145.53657738046778,97.9745609681505,184
ID21,global_additive_only_loo,145.60116022820617,99.33429190603613,184
ID22,global_additive_only_loo,145.20685146116762,98.45920501860121,184
ID23,global_additive_only_loo,144.8464099913715,99.30811350108843,184
ID24,global_additive_only_loo,142.10994052630875,94.76429107146292,184
