mode,position,frames_input,frames_solved,d3_std_mm,residual_rms_median_mm,loo_delta_tag_mm
vb_sweep_anchor_delta_only,ID01,1201,1201,60.987558685431296,84.21750013907295,-171.38938535073328
vb_sweep_anchor_delta_only,ID02,1201,1201,58.33454593508991,76.83462502944442,-157.7780664182711
vb_sweep_anchor_delta_only,ID03,1201,1201,85.5535193126577,144.06478941861528,-138.39189607457826
vb_sweep_anchor_delta_only,ID04,1201,1201,62.250921767091256,78.58665869444452,-179.41406784181555
vb_sweep_anchor_delta_only,ID05,1200,1200,87.60034496465921,165.72536253219954,-146.7498776931585
vb_sweep_anchor_delta_only,ID06,1201,1201,78.53979671365217,95.2985573784337,-181.4956015250669
vb_sweep_anchor_delta_only,ID07,1201,1201,87.64599317368481,85.08663993338708,-150.6654769280035
vb_sweep_anchor_delta_only,ID08,1201,1201,79.47214585393695,123.12191105598207,-157.87962503108545
vb_sweep_anchor_delta_only,ID09,1201,1201,85.57350346186772,139.70529361894842,-178.00927653471214
vb_sweep_anchor_delta_only,ID10,1201,1201,47.2269459182005,67.73720407089226,-173.131697185561
vb_sweep_anchor_delta_only,ID11,1201,1201,51.768141676111306,93.91475531429647,-191.03262305829023
vb_sweep_anchor_delta_only,ID12,1201,1201,42.72047257465913,76.519370367713,-177.52223079048133
vb_sweep_anchor_delta_only,ID13,1200,1200,85.3965043924763,75.57150480501627,-156.01518693079709
vb_sweep_anchor_delta_only,ID14,1201,1201,62.18066214517234,62.30724807433499,-152.96032010340636
vb_sweep_anchor_delta_only,ID15,1201,1201,54.77166925353016,74.28359554523848,-153.74550784741785
vb_sweep_anchor_delta_only,ID16,1201,1201,83.90013004729512,79.9326838588028,-157.16663442290277
vb_sweep_anchor_delta_only,ID17,1199,1199,73.96920096360519,69.03560196656315,-153.04508803772416
vb_sweep_anchor_delta_only,ID18,1199,1199,42.947751750183365,41.34668973827996,-159.6853714099253
vb_sweep_anchor_delta_only,ID19,1201,1201,107.81182380886709,177.73639978481935,-127.59827833669618
vb_sweep_anchor_delta_only,ID20,1201,1201,74.19160639292113,114.01904410023651,-148.11485472789704
vb_sweep_anchor_delta_only,ID21,1201,1201,54.13137187282915,115.49510137238983,-153.33615091218945
vb_sweep_anchor_delta_only,ID22,1201,1201,38.87316699060514,130.92408920888613,-158.30208388449512
vb_sweep_anchor_delta_only,ID23,1201,1201,75.61053365619131,87.74416931802584,-157.15332281815915
vb_sweep_anchor_delta_only,ID24,1201,1201,78.64233722158174,160.48784504098273,-147.63086282632443
vb_sweep_plus_loo_tag_delta,ID01,1201,1201,66.21448829397441,101.71589514553273,-171.38938535073328
vb_sweep_plus_loo_tag_delta,ID02,1201,1201,163.45038326761008,130.94689389395427,-157.7780664182711
vb_sweep_plus_loo_tag_delta,ID03,1201,1201,85.57745378679294,151.41845042434375,-138.39189607457826
vb_sweep_plus_loo_tag_delta,ID04,1201,1201,51.82139167917791,94.87382527462283,-179.41406784181555
vb_sweep_plus_loo_tag_delta,ID05,1200,1200,214.0369768905209,195.9401545977986,-146.7498776931585
vb_sweep_plus_loo_tag_delta,ID06,1201,1201,88.86260476015333,134.6627068618777,-181.4956015250669
vb_sweep_plus_loo_tag_delta,ID07,1201,1201,76.19306135981115,77.68663442715336,-150.6654769280035
vb_sweep_plus_loo_tag_delta,ID08,1201,1201,80.75399033914442,157.42921516095237,-157.87962503108545
vb_sweep_plus_loo_tag_delta,ID09,1201,1201,151.47014596822245,168.84503191808318,-178.00927653471214
vb_sweep_plus_loo_tag_delta,ID10,1201,1201,54.720563086029436,99.77617882886722,-173.131697185561
vb_sweep_plus_loo_tag_delta,ID11,1201,1201,86.96186706425357,176.37529403487767,-191.03262305829023
vb_sweep_plus_loo_tag_delta,ID12,1201,1201,47.58335405530156,114.06486408130372,-177.52223079048133
vb_sweep_plus_loo_tag_delta,ID13,1200,1200,191.72260401203286,158.42687558249384,-156.01518693079709
vb_sweep_plus_loo_tag_delta,ID14,1201,1201,132.32040367099208,136.95283195929454,-152.96032010340636
vb_sweep_plus_loo_tag_delta,ID15,1201,1201,108.33676587901614,153.3735485686641,-153.74550784741785
vb_sweep_plus_loo_tag_delta,ID16,1201,1201,147.12295421270554,175.34469455255908,-157.16663442290277
vb_sweep_plus_loo_tag_delta,ID17,1199,1199,75.35455283288054,72.51907322217939,-153.04508803772416
vb_sweep_plus_loo_tag_delta,ID18,1199,1199,52.47342637951822,66.30748518337663,-159.6853714099253
vb_sweep_plus_loo_tag_delta,ID19,1201,1201,99.58739928358938,170.28952463103016,-127.59827833669618
vb_sweep_plus_loo_tag_delta,ID20,1201,1201,79.59429440891806,111.78393281697382,-148.11485472789704
vb_sweep_plus_loo_tag_delta,ID21,1201,1201,86.3663419002131,140.1321866369159,-153.33615091218945
vb_sweep_plus_loo_tag_delta,ID22,1201,1201,102.83473761956216,158.42505256843882,-158.30208388449512
vb_sweep_plus_loo_tag_delta,ID23,1201,1201,131.62524063764354,128.80733701437563,-157.15332281815915
vb_sweep_plus_loo_tag_delta,ID24,1201,1201,108.17069271331857,171.09679094916106,-147.63086282632443
