pair,measured_median_mm,vicon_distance_mm,bias_mm,full_pred_mm,full_residual_mm
A-B,2895.0,2665.0218093282765,229.9781906717235,245.203017476363,-15.224826804639491
A-C,3718.0,3413.6552438557515,304.34475614424855,276.9132261824348,27.431529961813737
A-D,2429.0,2165.24374833798,263.7562516620201,262.88821375667897,0.8680379053411116
A-E,1550.0,1403.3405826707547,146.65941732924534,196.38573392923846,-49.72631659999311
A-F,3322.0,3073.8093108568664,248.19068914313357,199.73848911098997,48.452200032143594
A-G,4020.5,3733.949759174106,286.550240825894,235.8035168370294,50.746723988864574
A-H,2688.0,2516.4800006562896,171.51999934371042,234.06734782841625,-62.54734848470582
B-C,2407.0,2178.854774159528,228.145225840472,223.20915305207475,4.93607278839724
B-D,3670.0,3440.2915760791275,229.70842392087252,212.18210510164275,17.526318819229772
B-E,3135.0,2955.8361503421424,179.16384965785755,146.01103114798306,33.15281850987449
B-F,1620.0,1392.2483648510708,227.75163514892915,145.50076937006688,82.25086577886228
B-G,2745.0,2658.758907379266,86.24109262073398,182.29009425908598,-96.049001638352
B-H,3902.0,3745.2862429459833,156.7137570540167,183.30600450815834,-26.592247454141642
C-D,2887.0,2636.890387257276,250.10961274272404,242.03843894602485,8.071173796699185
C-E,3885.0,3718.515228735883,166.48477126411717,177.73801709967051,-11.253245835553344
C-F,2672.0,2566.0383291894923,105.96167081050771,177.71881919710464,-71.75714838659692
C-G,1618.0,1406.3757815751765,211.62421842482354,211.610128001781,0.014090423042546263
C-H,3347.0,3091.101897808126,255.89810219187393,213.3405749403618,42.55752725151214
D-E,2793.0,2660.741586531719,132.2584134682811,163.94071784385798,-31.682304375576877
D-F,3850.0,3737.1577568658463,112.8422431341537,166.58388891778358,-53.74164578362988
D-G,3160.0,2964.7724248631025,195.22757513689749,200.93779274690473,-5.710217610007248
D-H,1659.0,1395.549900781067,263.450099218933,198.78146197140904,64.66863724752398
E-F,2762.0,2682.7494848724677,79.25051512753225,99.73201748826413,-20.48150236073188
E-G,3711.0,3494.9778114494884,216.0221885505116,135.97871119651285,80.04347735399875
E-H,2333.0,2198.9042751727297,134.09572482727026,134.1486515198509,-0.05292669258062688
F-G,2374.0,2236.034758399691,137.96524160030913,135.83234156553877,2.1329000347703584
F-H,3660.0,3509.7837848697727,150.21621513022728,137.07188444567944,13.144330684547839
G-H,2880.0,2739.7493761462097,140.25062385379033,171.42859640646432,-31.177972552673992
