pair,full_residual_mm,abs_full_residual_mm,multipath_watchlist
B-G,-96.049001638352,96.049001638352,False
B-F,82.25086577886228,82.25086577886228,False
E-G,80.04347735399875,80.04347735399875,False
C-F,-71.75714838659692,71.75714838659692,False
D-H,64.66863724752398,64.66863724752398,False
A-H,-62.54734848470582,62.54734848470582,False
D-F,-53.74164578362988,53.74164578362988,False
A-G,50.746723988864574,50.746723988864574,False
A-E,-49.72631659999311,49.72631659999311,False
A-F,48.4522000321436,48.4522000321436,False
C-H,42.55752725151214,42.55752725151214,False
B-E,33.15281850987449,33.15281850987449,False
D-E,-31.68230437557688,31.68230437557688,False
G-H,-31.177972552673992,31.177972552673992,False
A-C,27.431529961813737,27.431529961813737,False
B-H,-26.59224745414164,26.59224745414164,False
E-F,-20.48150236073188,20.48150236073188,False
B-D,17.526318819229772,17.526318819229772,False
A-B,-15.224826804639491,15.224826804639491,False
F-H,13.14433068454784,13.14433068454784,False
C-E,-11.253245835553344,11.253245835553344,False
C-D,8.071173796699185,8.071173796699185,False
D-G,-5.710217610007248,5.710217610007248,False
B-C,4.93607278839724,4.93607278839724,False
F-G,2.1329000347703584,2.1329000347703584,True
A-D,0.8680379053411116,0.8680379053411116,False
E-H,-0.0529266925806268,0.0529266925806268,True
C-G,0.0140904230425462,0.0140904230425462,True
