anchor,sweep_delta_mm,tag_fit_delta_mm,tag_fit_no_top12_delta_mm
A,294.2488295219678,315.86661157573474,293.31010407811704
B,189.7905730582065,169.09736086661957,157.61191682765485
C,251.42253461503435,142.23021843247088,144.6469979122711
D,226.3549157662836,256.02820082182035,230.2495874666874
E,95.1701128329376,159.70765886696194,172.3591658622787
F,97.88493905082548,181.29412458793175,176.72212639409514
G,168.43794491405066,193.90690897718758,201.61641838455273
H,167.87409430583955,73.05285993641887,114.66762713948866
