fit,links,delta_tag_mm,rho_tag_percent,rms_mm,corr_delta_i_vs_sweep
all_links,192,-159.2025664713594,7.717473705115552,94.93033436165918,0.5205195608431123
excluding_top12_abs_bias,180,-48.38221526962815,3.9209441679712853,58.568042130437206,0.50211075585283
