anchor,links,bias_mean_mm,bias_median_mm,bias_p95_abs_mm,noise_median_std_mm
A,24,228.94591176672532,193.36247111121622,475.3992915993954,22.219023048704507
B,24,155.66347383627874,112.35534022209868,410.92448554757374,24.609836480725598
C,24,145.01931831731596,93.18228992121487,307.8407534575045,22.29275893215468
D,24,202.6211048655729,171.98373408396947,408.79988054540064,24.571124702347674
E,24,150.13029994995097,130.16990073323848,316.33122939850955,24.54666413721478
F,24,161.8324230508629,132.220697632074,369.30925700115455,85.8860736408427
G,24,171.76779957277924,151.46121730145228,301.9301552628914,95.51063977340348
H,24,111.85796188852466,99.34392415025695,246.30274621971714,40.958506935298814
