method,registration,positions,median_3d_mm,p95_3d_mm,rmse_3d_mm,median_horizontal_mm,median_vertical_mm,anchor_fit_rms_mm
production_baseline_T4_mean,anchor_only_3d_rigid,24,72.6891193204547,171.49736845476443,109.84509967728259,37.42034807667451,61.870068315403614,105.41990950811795
production_baseline_T4_mean,official_height_preserving,24,1154.0443960449493,3221.7166446322412,1948.3741975892412,184.76492974691286,1137.3728449964383,3035.8551079218914
distance_rho,anchor_only_3d_rigid,24,60.74424376327441,112.37005903094507,73.15179315290904,29.743446599277743,38.88435299027735,47.94487929056874
distance_rho,official_height_preserving,24,209.4800350245759,968.0054962717553,483.1463744670053,204.28597502106118,55.83891758975949,2190.9113519995008
elevation_beta,anchor_only_3d_rigid,24,67.649620403863,146.14644786840745,85.99013185445395,31.554243030754822,62.64461415308608,47.94487929056874
elevation_beta,official_height_preserving,24,221.60181070587475,1015.2241688332468,509.437112361954,206.8066870918035,82.04717399414774,2190.9113519995008
distance_plus_elevation,anchor_only_3d_rigid,24,70.86124098644224,147.69133858888696,85.38258230921221,27.278654932351074,64.045519991128,47.94487929056874
distance_plus_elevation,official_height_preserving,24,219.3105626644455,992.0789690013935,497.6711393121449,203.2067423698444,81.64889441430257,2190.9113519995008
