mode,position,frames_input,frames_solved,d3_std_mm,residual_rms_median_mm
vicon_distance_covariate,ID01,1201,1201,54.910532299998884,71.4959044728353
vicon_distance_covariate,ID02,1201,1201,64.73616208327532,57.27565975658623
vicon_distance_covariate,ID03,1201,1201,82.25275095938589,136.06390921031965
vicon_distance_covariate,ID04,1201,1201,58.14251711253442,79.5516354104912
vicon_distance_covariate,ID05,1200,1200,72.7285626006268,138.11447673264428
vicon_distance_covariate,ID06,1201,1201,64.27922669020734,80.96719813270175
vicon_distance_covariate,ID07,1201,1201,63.76245034971128,76.91674887587907
vicon_distance_covariate,ID08,1201,1201,58.884163889234756,102.42392155278681
vicon_distance_covariate,ID09,1201,1201,55.28757475079619,112.00403357790995
vicon_distance_covariate,ID10,1201,1201,41.27388442421725,58.48522880251654
vicon_distance_covariate,ID11,1201,1201,31.60566962450572,49.28640144510987
vicon_distance_covariate,ID12,1201,1201,39.54469613741526,74.6727709480365
vicon_distance_covariate,ID13,1200,1200,52.689446629529684,43.068018772377016
vicon_distance_covariate,ID14,1201,1201,46.497697788241744,58.90950189299837
vicon_distance_covariate,ID15,1201,1201,57.63029072280232,56.23307114624201
vicon_distance_covariate,ID16,1201,1201,52.834746902473505,50.3127025474179
vicon_distance_covariate,ID17,1199,1199,62.251191870437694,70.21073474634242
vicon_distance_covariate,ID18,1199,1199,46.6509850287853,54.3444129469899
vicon_distance_covariate,ID19,1201,1201,102.6213453157198,170.24460822376406
vicon_distance_covariate,ID20,1201,1201,72.61636933046223,114.99743400047592
vicon_distance_covariate,ID21,1201,1201,54.80109707732156,89.3501342412437
vicon_distance_covariate,ID22,1201,1201,45.401847648321905,112.02657987269754
vicon_distance_covariate,ID23,1201,1201,64.29665070426397,77.68385753342143
vicon_distance_covariate,ID24,1201,1201,63.17880678036217,167.86784236948097
measured_median_range_covariate,ID01,1201,1201,54.55885330738242,67.98417055964892
measured_median_range_covariate,ID02,1201,1201,57.9596476372953,50.481909346396314
measured_median_range_covariate,ID03,1201,1201,78.61917377360996,126.81834171169392
measured_median_range_covariate,ID04,1201,1201,54.244336069600905,81.2375904044953
measured_median_range_covariate,ID05,1200,1200,65.5090112538246,133.80284076294464
measured_median_range_covariate,ID06,1201,1201,59.75663360270506,82.99787342574886
measured_median_range_covariate,ID07,1201,1201,57.94737301549534,61.75042682225974
measured_median_range_covariate,ID08,1201,1201,56.56206283150684,97.54144052525965
measured_median_range_covariate,ID09,1201,1201,52.70346050926534,110.43227326988139
measured_median_range_covariate,ID10,1201,1201,42.144930878522814,59.181898458444785
measured_median_range_covariate,ID11,1201,1201,33.283719955557544,52.36782885021631
measured_median_range_covariate,ID12,1201,1201,38.58570809473324,71.18955808917133
measured_median_range_covariate,ID13,1200,1200,49.75292271532637,38.45091347677965
measured_median_range_covariate,ID14,1201,1201,44.45969522587366,52.74012200171094
measured_median_range_covariate,ID15,1201,1201,52.38294382921912,49.81483246636852
measured_median_range_covariate,ID16,1201,1201,50.89518976687645,46.98840416688755
measured_median_range_covariate,ID17,1199,1199,55.11228624553306,59.45349053551579
measured_median_range_covariate,ID18,1199,1199,42.945883723970795,47.08044805594356
measured_median_range_covariate,ID19,1201,1201,98.18446040233802,155.68456320978134
measured_median_range_covariate,ID20,1201,1201,73.31433283770126,107.5867241263322
measured_median_range_covariate,ID21,1201,1201,49.40743932534741,84.05919297311574
measured_median_range_covariate,ID22,1201,1201,40.52330827497168,107.59651738649457
measured_median_range_covariate,ID23,1201,1201,63.33269592983783,73.5296885187739
measured_median_range_covariate,ID24,1201,1201,61.76936060151053,159.45722025636863
