dataset,field,rows,non_null,top_value,top_percent,informative
sweep,quality_percent,56000,56000,100,99.4,no
sweep,quality_flag_percent,56000,0,,,missing
static,quality_percent,230544,230544,100,93.94822680269276,yes
static,quality_flag_percent,230544,230544,0,100.0,no
roto,quality_percent,345696,345696,100,93.05488058872535,yes
roto,quality_flag_percent,345696,345696,0,100.0,no
