position,train_links,delta_tag_mm,train_rms_mm,anchor_delta_min_mm,anchor_delta_max_mm
ID01,172,103.98466393321681,59.32905112845742,126.20951763851188,295.0732117878435
ID02,172,106.48370422726673,60.611570341910515,118.42691505185365,291.109964339874
ID03,174,107.40978996901957,60.76720150058321,117.76685718632868,288.09583863184093
ID04,173,102.80359361248576,60.02615314610228,108.34261494853628,289.9779747465432
ID05,173,105.24643648563372,60.98851018197252,115.51512358652303,290.43294007903944
ID06,172,101.07856807982994,58.78292594991341,123.61901458441233,282.4334642646179
ID07,172,104.00772675734453,58.084332480701775,116.89764662533312,295.0351426056603
ID08,173,106.36861160084302,60.73001808631548,121.90596508207182,289.19394625100557
ID09,173,105.29772065890565,60.01976051597432,115.82905698002864,295.33496635061067
ID10,172,102.15335008367522,59.94069547447514,114.85195450814095,294.94800550512576
ID11,172,102.3926772003039,60.50048194376048,119.3197354748129,290.74457081103253
ID12,172,102.91054613342375,59.02377666957919,126.77527943052189,283.1865802017918
ID13,172,105.77323729872758,61.13640657065759,120.02723608670338,291.48813419794175
ID14,172,107.14688851857808,61.03298236754138,115.7753150466639,284.9940288379658
ID15,172,106.78089163101465,60.97815023397391,120.09682294985295,295.45449644508557
ID16,172,104.92307659308666,61.24320263085154,118.54688014666105,286.5765606645247
ID17,172,107.74814754634238,60.212912676597256,122.0308285235565,292.743342236736
ID18,172,107.71899054533918,60.53249137823253,115.28621033438517,298.00598213981743
ID19,174,108.64921501406847,60.09334654936576,121.08940996714375,286.63786197222635
ID20,173,106.28328790181374,59.33343299825356,103.40015763846706,290.3657106463738
ID21,173,106.18139220815087,60.99819712791066,120.1417057612845,292.19738687517236
ID22,173,106.53838670337831,61.16508839357361,118.94053748206953,289.1409898612948
ID23,172,102.47710458355384,58.193553024038124,123.89588282212443,296.8087473154909
ID24,173,105.06879581779394,60.74310549091086,119.0646996893994,280.8983876807468
