mode,position,anchor,dropped_frames,frames
B1_session_t1.3_g1.5,ID04,F,1201,1201
B1_session_t1.3_g1.5,ID04,H,1201,1201
B1_session_t1.3_g1.5,ID05,A,1200,1200
B1_session_t1.3_g1.5,ID05,G,1200,1200
B1_session_t1.3_g1.5,ID06,C,1201,1201
B1_session_t1.3_g1.5,ID08,B,1201,1201
B1_session_t1.3_g1.5,ID09,F,1201,1201
B1_session_t1.3_g1.5,ID10,F,1201,1201
B1_session_t1.3_g1.5,ID10,G,1201,1201
B1_session_t1.3_g1.5,ID12,C,1201,1201
B1_session_t1.3_g1.5,ID19,E,1201,1201
B1_session_t1.3_g1.5,ID19,G,1201,1201
B1_session_t1.3_g1.5,ID21,D,1201,1201
B1_session_t1.3_g1.5,ID22,A,1201,1201
B1_session_t1.3_g1.5,ID22,G,1201,1201
B1_session_t1.3_g1.5,ID23,B,1201,1201
B1_session_t1.3_g1.5,ID24,C,1201,1201
B1_session_t1.3_g2,ID04,F,1201,1201
B1_session_t1.3_g2,ID04,H,1201,1201
B1_session_t1.3_g2,ID05,A,1200,1200
B1_session_t1.3_g2,ID05,G,1200,1200
B1_session_t1.3_g2,ID06,C,1201,1201
B1_session_t1.3_g2,ID08,B,1201,1201
B1_session_t1.3_g2,ID09,F,1201,1201
B1_session_t1.3_g2,ID10,F,1201,1201
B1_session_t1.3_g2,ID10,G,1201,1201
B1_session_t1.3_g2,ID12,C,1201,1201
B1_session_t1.3_g2,ID19,E,1201,1201
B1_session_t1.3_g2,ID19,G,1201,1201
B1_session_t1.3_g2,ID21,D,1201,1201
B1_session_t1.3_g2,ID22,A,1201,1201
B1_session_t1.3_g2,ID22,G,1201,1201
B1_session_t1.3_g2,ID23,B,1201,1201
B1_session_t1.3_g2,ID24,C,1201,1201
B1_session_t1.3_g3,ID04,F,1201,1201
B1_session_t1.3_g3,ID04,H,1201,1201
B1_session_t1.3_g3,ID05,A,1200,1200
B1_session_t1.3_g3,ID05,G,1200,1200
B1_session_t1.3_g3,ID06,C,1201,1201
B1_session_t1.3_g3,ID08,B,1201,1201
B1_session_t1.3_g3,ID09,F,1201,1201
B1_session_t1.3_g3,ID10,F,1201,1201
B1_session_t1.3_g3,ID10,G,1201,1201
B1_session_t1.3_g3,ID12,C,1201,1201
B1_session_t1.3_g3,ID19,E,1201,1201
B1_session_t1.3_g3,ID19,G,1201,1201
B1_session_t1.3_g3,ID21,D,1201,1201
B1_session_t1.3_g3,ID22,A,1201,1201
B1_session_t1.3_g3,ID22,G,1201,1201
B1_session_t1.3_g3,ID23,B,1201,1201
B1_session_t1.3_g3,ID24,C,1201,1201
B1_session_t1.5_g1.5,ID05,A,1200,1200
B1_session_t1.5_g1.5,ID08,B,1201,1201
B1_session_t1.5_g1.5,ID22,A,1201,1201
B1_session_t1.5_g1.5,ID22,G,1201,1201
B1_session_t1.5_g1.5,ID24,C,1201,1201
B1_session_t1.5_g2,ID05,A,1200,1200
B1_session_t1.5_g2,ID08,B,1201,1201
B1_session_t1.5_g2,ID22,A,1201,1201
B1_session_t1.5_g2,ID22,G,1201,1201
B1_session_t1.5_g2,ID24,C,1201,1201
B1_session_t1.5_g3,ID05,A,1200,1200
B1_session_t1.5_g3,ID08,B,1201,1201
B1_session_t1.5_g3,ID22,A,1201,1201
B1_session_t1.5_g3,ID22,G,1201,1201
B1_session_t1.5_g3,ID24,C,1201,1201
B1_session_t2_g1.5,ID24,C,1201,1201
B1_session_t2_g2,ID24,C,1201,1201
B1_session_t2_g3,ID24,C,1201,1201
B2_frame_greedy_tau2.5_t1.3_g1.5,ID01,A,920,1201
B2_frame_greedy_tau2.5_t1.3_g1.5,ID01,B,7,1201
B2_frame_greedy_tau2.5_t1.3_g1.5,ID01,C,45,1201
B2_frame_greedy_tau2.5_t1.3_g1.5,ID01,D,2,1201
B2_frame_greedy_tau2.5_t1.3_g1.5,ID01,E,463,1201
B2_frame_greedy_tau2.5_t1.3_g1.5,ID01,F,27,1201
B2_frame_greedy_tau2.5_t1.3_g1.5,ID01,G,78,1201
B2_frame_greedy_tau2.5_t1.3_g1.5,ID01,H,377,1201
B2_frame_greedy_tau2.5_t1.3_g1.5,ID02,A,457,1201
