variant,positions,static_tag_median_3d_mm,static_tag_rmse_3d_mm,static_tag_p95_3d_mm,static_tag_max_3d_mm,point_estimator,registration,solver
V-B_tagfit_delta_only_LOO_T4,24,254.00441296398748,261.48253012540886,400.64630784702933,475.8822739674771,mean,anchor-only 3D rigid/reflection,"C-core T4, V-B layout, LOO tag-fit calibration"
V-B_tagfit_delta_plus_rho_LOO_T4,24,60.74424376327441,73.15179315290904,112.37005903094507,157.9557683102368,mean,anchor-only 3D rigid/reflection,"C-core T4, V-B layout, LOO tag-fit calibration"
