variant,positions,static_tag_median_3d_mm,static_tag_rmse_3d_mm,static_tag_p95_3d_mm,static_tag_max_3d_mm,worst_position,reconstructed_truth_positions
V-A_unbounded,24,112.87111364821455,152.98225805744661,256.3201401633229,307.0302495424331,ID03,2
V-B_calibrated,24,291.9571511477209,303.900006117623,470.73233684194093,508.005343028882,ID03,2
V-C_calibrated_residual,24,279.50516854531065,303.4610211722562,473.5906606940787,503.64019962468643,ID03,2
baseline_v4io,24,82.4095303606893,144.17584126677096,299.4510762404882,369.16478466168945,ID03,2
