variant,anchor,err_x_mm,err_y_vertical_mm,err_z_mm,err_3d_mm,err_horizontal_mm,err_vertical_mm,aligned_x_mm,aligned_y_vertical_mm,aligned_z_mm,truth_x_mm,truth_y_vertical_mm,truth_z_mm
baseline_v4io,A,-84.83414873858715,-66.14131423742955,-150.94805034859564,185.3559282712514,173.15353503825122,66.14131423742955,-1159.400448738587,182.13397576257046,-1775.1992003485957,-1074.5663,248.27529,-1624.25115
baseline_v4io,B,-14.510169937678029,-64.2460896151211,52.30334550233101,84.10555875321604,54.2787710100045,64.2460896151211,-1334.942969937678,206.0804353848789,1081.659445502331,-1320.4328,270.326525,1029.3561
baseline_v4io,C,-28.06207915141715,-41.837374105904786,88.3247002188059,101.68135929028371,92.67541720997177,41.837374105904786,823.8596108485829,180.5572608940952,1282.603500218806,851.92169,222.394635,1194.2788
baseline_v4io,D,76.06031648594194,-53.041980471364525,-19.125712352076334,94.6806015466771,78.42808563847531,53.041980471364525,1158.834416485942,187.86207452863547,-1451.6037123520764,1082.7741,240.904055,-1432.478
baseline_v4io,E,-44.51143778672213,19.654424745731376,-11.613919289859268,50.024470284034166,46.00164361316451,19.654424745731376,-1215.1423377867222,1667.6270247457314,-1593.2669192898593,-1170.6309,1647.9726,-1581.653
baseline_v4io,F,14.222868068185562,77.57852841146655,19.360265988613037,81.2129173575459,24.023111272998324,77.57852841146655,-1257.4895819318144,1737.6784284114665,1118.6198659886131,-1271.71245,1660.0999,1099.2596
baseline_v4io,G,78.78084613973533,42.71085078208148,52.805448177161225,104.01468093597528,94.84111490109925,42.71085078208148,1041.2043661397354,1667.2273507820814,1239.6497481771612,962.42352,1624.5165,1186.8443
baseline_v4io,H,2.8538049205428706,85.3229544905414,-31.10607789638243,90.86109644735379,31.23671372952549,85.3229544905414,1030.9163049205429,1715.6409544905414,-1583.1937778963825,1028.0625,1630.318,-1552.0877
V-A_unbounded,A,-57.88457660838594,-81.5624926497986,-157.90688859019974,186.91615735569331,168.18207298451833,81.5624926497986,-1132.450876608386,166.7127973502014,-1782.1580385901998,-1074.5663,248.27529,-1624.25115
V-A_unbounded,B,-71.73963280407588,-98.12397029797222,43.44267946388618,129.08196954223675,83.8679993434063,98.12397029797222,-1392.172432804076,172.20255470202778,1072.7987794638861,-1320.4328,270.326525,1029.3561
V-A_unbounded,C,3.2098492718047282,-22.925747729953542,49.17823390954527,54.354316588355005,49.282875553377096,22.925747729953542,855.1315392718047,199.46888727004645,1243.4570339095453,851.92169,222.394635,1194.2788
V-A_unbounded,D,-60.19834487995786,44.37512465966094,83.2737181527043,111.92633537207779,102.75384596822828,44.37512465966094,1022.5757551200422,285.27917965966094,-1349.2042818472958,1082.7741,240.904055,-1432.478
V-A_unbounded,E,-12.438720029194428,8.37965459116549,-19.38822106935936,24.51210891103158,23.03529622555423,8.37965459116549,-1183.0696200291945,1656.3522545911655,-1601.0412210693594,-1170.6309,1647.9726,-1581.653
V-A_unbounded,F,31.319913708990953,56.578823991839045,25.10107231722145,69.36976395024364,40.137274773121064,56.578823991839045,-1240.392536291009,1716.678723991839,1124.3606723172215,-1271.71245,1660.0999,1099.2596
V-A_unbounded,G,110.9411032135697,47.34205620390435,44.5166284349782,128.57265990511152,119.53936000105503,47.34205620390435,1073.3646232135698,1671.8585562039043,1231.3609284349782,962.42352,1624.5165,1186.8443
V-A_unbounded,H,56.790408127248156,45.936551231154,-68.21722261877744,99.94451788913533,88.76226629080205,45.936551231154,1084.8529081272482,1676.254551231154,-1620.3049226187775,1028.0625,1630.318,-1552.0877
V-B_calibrated,A,12.65456584693311,11.082592418137011,-32.87096381426204,36.92508840286558,35.222695791959055,11.082592418137011,-1061.9117341530668,259.357882418137,-1657.122113814262,-1074.5663,248.27529,-1624.25115
V-B_calibrated,B,-17.143369983933326,-30.61182337492849,-7.470973030849336,35.87191523701407,18.700550056982394,30.61182337492849,-1337.5761699839334,239.7147016250715,1021.8851269691506,-1320.4328,270.326525,1029.3561
V-B_calibrated,C,-34.147393991934564,3.6935513029509366,28.67826351318513,44.74516326710212,44.592458045863474,3.6935513029509366,817.7742960080654,226.08818630295093,1222.9570635131852,851.92169,222.394635,1194.2788
V-B_calibrated,D,-3.620284588710547,-5.516341389468579,11.888177443841414,13.596515942133081,12.427196926077693,5.516341389468579,1079.1538154112895,235.38771361053142,-1420.5898225561587,1082.7741,240.904055,-1432.478
V-B_calibrated,E,-21.25058836737776,-45.87959370325507,-17.719243593092642,53.577012027984985,27.668738667873633,45.87959370325507,-1191.8814883673779,1602.093006296745,-1599.3722435930927,-1170.6309,1647.9726,-1581.653
V-B_calibrated,F,54.1007630868919,38.91353296727334,-7.910172879378933,67.10980889229783,54.675985602142255,38.91353296727334,-1217.611686913108,1699.0134329672733,1091.3494271206212,-1271.71245,1660.0999,1099.2596
V-B_calibrated,G,48.9208808308224,-13.183763865018364,11.178654811215893,51.88474278919007,50.181818466969155,13.183763865018364,1011.3444008308225,1611.3327361349816,1198.0229548112159,962.42352,1624.5165,1186.8443
V-B_calibrated,H,-39.51457283269201,41.50184564430947,14.226257549341199,59.04397566131872,41.99747456705354,41.50184564430947,988.547927167308,1671.8198456443095,-1537.8614424506588,1028.0625,1630.318,-1552.0877
V-C_calibrated_residual,A,17.272080351746126,12.261854296393295,-37.362964095692405,42.94960903755881,41.16206804441651,12.261854296393295,-1057.2942196482538,260.5371442963933,-1661.6141140956925,-1074.5663,248.27529,-1624.25115
V-C_calibrated_residual,B,-5.094830580352664,-27.494520896677017,-9.661932284424893,29.58477502786049,10.922922416245054,27.494520896677017,-1325.5276305803527,242.832004103323,1019.6941677155751,-1320.4328,270.326525,1029.3561
V-C_calibrated_residual,C,-42.50070751082205,9.484978770383691,15.521510245270292,46.229776567587976,45.246297298392015,9.484978770383691,809.420982489178,231.87961377038368,1209.8003102452703,851.92169,222.394635,1194.2788
V-C_calibrated_residual,D,-14.826116678926837,2.8951072841619236,22.643896824957437,27.22023962758736,27.065841926614254,2.8951072841619236,1067.9479833210733,243.79916228416192,-1409.8341031750426,1082.7741,240.904055,-1432.478
V-C_calibrated_residual,E,-18.275734853315498,-46.7193616565487,-17.389164339001127,53.09504943431988,25.226682715677846,46.7193616565487,-1188.9066348533156,1601.2532383434514,-1599.0421643390011,-1170.6309,1647.9726,-1581.653
V-C_calibrated_residual,F,50.919164198207454,33.23286849941837,-8.077034978747406,61.33859572399383,51.55579285290762,33.23286849941837,-1220.7932858017925,1693.3327684994183,1091.1825650212527,-1271.71245,1660.0999,1099.2596
V-C_calibrated_residual,G,55.76401736283469,-12.12795625200124,17.99073746570025,59.83627319488352,58.59430234248275,12.12795625200124,1018.1875373628347,1612.3885437479987,1204.8350374657002,962.42352,1624.5165,1186.8443
V-C_calibrated_residual,H,-43.257872289370425,28.467029954869076,16.334951161936488,54.299594279494805,46.239313840781975,28.467029954869076,984.8046277106296,1658.785029954869,-1535.7527488380636,1028.0625,1630.318,-1552.0877
