position,iter0_frames,iter1_frames,iter2_frames,iter0_to_iter1_move_mm,iter1_to_iter2_move_mm,rho_percent,delta_tag_mm,train_rms_mm
ID08,1201,1201,1201,225.4718708368184,16.191162183681573,7.662913464883303,-157.87962503108545,94.14189930814047
ID02,1201,1201,1201,180.3487360766645,13.25258122930983,7.746452511622337,-157.7780664182711,96.24841979374649
ID01,1201,1201,1201,312.2205715151944,24.97690474415448,8.0523571606129,-171.38938535073328,95.4707734089193
ID05,1200,1200,1200,131.8426427733007,8.666945212269173,7.317683348136761,-146.7498776931585,92.15987741336562
ID03,1201,1201,1201,382.91576601170414,18.696777494331943,7.11333773540872,-138.39189607457826,91.85093569398593
ID06,1201,1201,1201,445.9902505223952,49.275040956808596,8.242506894729473,-181.4956015250669,95.50814070045666
ID07,1201,1201,1201,317.0282329388485,23.28710214239784,7.523300990959925,-150.6654769280035,95.18464351231025
ID04,1201,1201,1201,368.5316778521826,22.84073865141965,8.157136395988118,-179.41406784181555,94.28609576343419
ID10,1201,1201,1201,320.10961772226284,27.022660500298933,8.055623193294181,-173.131697185561,96.24749376353556
ID11,1201,1201,1201,371.587795304984,34.43409398171865,8.495870918487292,-191.03262305829023,96.05933280747045
ID12,1201,1201,1201,361.10138732540145,32.22202856292634,8.182968052992123,-177.52223079048133,95.63605927623816
ID13,1200,1200,1200,79.97500833302355,5.7527167683407345,7.679074682688025,-156.01518693079709,96.60136432077914
ID14,1201,1201,1201,116.12762790387853,8.479662446461635,7.632945999712781,-152.96032010340636,96.40781850845688
ID09,1201,1201,1201,342.8103657246911,30.98644695842901,8.186076286046173,-178.00927653471214,94.67888185840253
ID15,1201,1201,1201,120.41182892691927,8.868142963798121,7.645960329086066,-153.74550784741785,96.4478486858105
ID16,1201,1201,1201,79.40690371012039,6.125878440848936,7.687433410372968,-157.16663442290277,96.74889897464602
ID22,1201,1201,1201,278.81640685032437,21.55962413313117,7.684915548277971,-158.30208388449512,94.4572491303323
ID19,1201,1201,1201,291.28096797997375,16.38090460587121,6.849482840148546,-127.59827833669618,89.54965678191711
ID17,1199,1199,1199,292.14627063732405,19.888846818080054,7.666517010662766,-153.04508803772416,95.85831172776918
ID20,1201,1201,1201,330.05703405419354,8.8370468033482,7.438644735136535,-148.11485472789704,94.24732232354938
ID18,1199,1199,1199,303.49643112913805,23.574286188892795,7.835805960977638,-159.6853714099253,95.88556564358785
ID21,1201,1201,1201,289.50762067301304,20.87161044130014,7.569000086278876,-153.33615091218945,95.48834927919552
ID23,1201,1201,1201,326.1902063912406,25.94068980540926,7.646698815256769,-157.15332281815915,95.38151466910658
ID24,1201,1201,1201,300.4879136199607,22.20495891379967,7.336224239255529,-147.63086282632443,90.97509772552478
