method,registration,position,aligned_x_mm,aligned_y_vertical_mm,aligned_z_mm,truth_x_mm,truth_y_vertical_mm,truth_z_mm,err_x_mm,err_y_vertical_mm,err_z_mm,err_horizontal_mm,err_vertical_mm,err_3d_mm,fit_uses_vicon_link_distance,runtime_uses_vicon_link_distance
vicon_distance_covariate,anchor_only_3d_rigid,ID01,-457.9455625610376,186.02021901708378,-356.76828239229167,-542.215344349341,182.54280058407932,-383.3240609304319,84.26978178830336,3.477418433004459,26.55577853814026,88.35499700874318,3.477418433004459,88.42340151437975,True,False
vicon_distance_covariate,anchor_only_3d_rigid,ID02,-516.7687089623649,1078.4693025267934,-209.97255788060625,-543.22998,1105.589,-259.92136,26.461271037635015,-27.119697473206543,49.94880211939375,56.525053720359566,27.119697473206543,62.694175878846835,True,False
vicon_distance_covariate,anchor_only_3d_rigid,ID03,-540.0505215338065,1676.3789616393353,-232.67006439481133,-554.00287,1625.56145,-256.2951,13.952348466193484,50.81751163933541,23.625035605188657,27.437389363212446,50.81751163933541,57.75144867691643,True,False
vicon_distance_covariate,anchor_only_3d_rigid,ID04,-274.3580135404875,42.24459713373497,423.53828151672064,-321.178815,182.16379,479.93382,46.820801459512495,-139.91919286626504,-56.39553848327938,73.29832337871129,139.91919286626504,157.9557683102368,True,False
vicon_distance_covariate,anchor_only_3d_rigid,ID05,-188.8846180783455,1112.7088262100613,454.5803763097431,-184.9818897969324,1103.586616559577,473.7040289339493,-3.9027282814131183,9.122209650484365,-19.123652624206215,19.517822053954973,9.122209650484365,21.544374825862114,True,False
vicon_distance_covariate,anchor_only_3d_rigid,ID06,-185.03023058684516,1656.9221013128938,442.00407297279867,-193.231255,1684.95255,476.52298,8.20102441315484,-28.030448687106173,-34.51890702720135,35.47973708721265,28.030448687106173,45.2163443610629,True,False
vicon_distance_covariate,anchor_only_3d_rigid,ID07,257.25825180364836,149.38294311372087,38.635691174643625,352.14755,211.565355,53.795866,-94.88929819635166,-62.18241188627914,-15.160174825356371,96.09271467146463,62.18241188627914,114.45725036417039,True,False
vicon_distance_covariate,anchor_only_3d_rigid,ID08,356.16633412269016,1176.6601137382247,-99.99302516514581,391.90054,1132.2804,-71.53192899999999,-35.73420587730982,44.37971373822461,-28.46109616514582,45.6833390264289,44.37971373822461,63.690866347463064,True,False
vicon_distance_covariate,anchor_only_3d_rigid,ID09,348.9675805816187,1537.1847011014852,-34.4004070681749,408.80994,1568.1853500000002,-62.4257885,-59.84235941838131,-31.00064889851501,28.025381431825103,66.07972446339359,31.00064889851501,72.990206310758,True,False
vicon_distance_covariate,anchor_only_3d_rigid,ID10,38.91431025217162,197.40427345442487,-923.3622633319123,65.499245,238.64973,-938.19342,-26.584934747828385,-41.24545654557514,14.831156668087601,30.442108397081377,41.24545654557514,51.26314123532209,True,False
