version,status,rms_residual_mm,max_residual_mm,lower_mean_z_mm,upper_mean_z_mm,A_z_mm,B_z_mm,C_z_mm,D_z_mm,E_z_mm,F_z_mm,G_z_mm,H_z_mm
v1-old,pass,0.0036211458429928557,0.005115531439287224,173.0259056463616,1693.999875500515,359.6577435239728,213.09455144664201,117.42146989402232,1.9298577208091956,1856.9995020020597,1640.0023514906754,1644.0027640407643,1634.9948844685607
v2,pass,0.0024347299502855747,0.0031970735258255445,186.47386187431346,1709.3749758146753,476.0061447576499,207.58614806092828,-46.26755599023653,108.57071066891223,1918.4999032587,1640.003197073526,1643.9995086694285,1634.9972942570464
v3-lite,pass,0.003228545224030272,0.004449712276482387,186.97264278345463,1711.1944168384002,481.20348467092026,205.7412871202887,-48.58604453566306,109.53184387827264,1925.7776673536007,1640.0031110287443,1643.9955502877237,1635.0013386835321
v3-full,pass,0.0022999017713719013,0.0030390576791887725,181.5224180442949,1746.499512119864,414.1871649185905,304.4295371953848,-98.1905814436036,105.66355150680795,2066.9980484794564,1640.0025232312626,1643.9969609423208,1635.0005158264166
v4-io,pass,0.0030248386971055527,0.0037233480643408257,198.07218520496593,1703.7100472573288,464.62745563797125,221.29641291889965,-30.061534996444834,136.4264072594376,1895.8401890293153,1640.0000376720834,1643.9962766519357,1635.0036856759807
v4-io-roto,pass,0.0019061802656907914,0.002651168797910941,144.3881847821638,1663.1335751915678,306.2436997323371,181.76547106158952,-55.424508241834985,144.96807657656348,1733.5343007662718,1640.0017483879135,1643.997348831202,1635.0009027808842
v4-io-wand,pass,0.002280871943622892,0.0031774004280578083,201.6574043898395,1705.3901355109206,476.1984169864541,210.68456284760515,2.828290664326289,116.91834706097251,1902.5605420436814,1639.9968225995722,1644.0011073893738,1635.0020700110545
