layout,tag_method,captures_ok,median_abs_delta_s,p95_abs_delta_s,max_abs_delta_s,median_signed_delta_s,within_0p05s_pct,within_0p10s_pct,within_0p25s_pct,within_0p50s_pct,within_1s_pct,score_median_3d_mm,opti_start_median_s,outliers_gt_0p5s
v1-old,T1,17,0.010000000000005116,0.028000000000014312,0.040000000000020464,-0.005000000000002558,100.0,100.0,100.0,100.0,100.0,127.66471936477572,45.48500000000012,
v1-old,T2,17,0.010000000000005116,0.03600000000001841,0.040000000000020464,-0.005000000000002558,100.0,100.0,100.0,100.0,100.0,127.7103858550972,45.48500000000012,
v1-old,T3,17,0.024999999999991473,0.05200000000002091,0.060000000000002274,-0.020000000000010232,88.23529411764706,100.0,100.0,100.0,100.0,130.16513344084484,45.475000000000115,
v1-old,T4,17,0.010000000000005116,0.026000000000013297,0.030000000000015348,-0.005000000000002558,100.0,100.0,100.0,100.0,100.0,125.01161957007723,45.50000000000013,
v2,T1,17,0.010000000000005116,0.01600000000000818,0.020000000000010232,-0.005000000000002558,100.0,100.0,100.0,100.0,100.0,105.66085429993939,45.50500000000013,
v2,T2,17,0.010000000000005116,0.020000000000010232,0.020000000000010232,-0.005000000000002558,100.0,100.0,100.0,100.0,100.0,105.5520743641221,45.52000000000014,
v2,T3,17,0.010000000000005116,0.020000000000010232,0.020000000000010232,-0.010000000000005116,100.0,100.0,100.0,100.0,100.0,105.70993403532555,45.515000000000136,
v2,T4,17,0.010000000000005116,0.01600000000000818,0.020000000000010232,0.0,100.0,100.0,100.0,100.0,100.0,108.4912789875693,45.52500000000014,
v3-lite,T1,17,0.010000000000005116,0.020000000000010232,0.020000000000010232,-0.005000000000002558,100.0,100.0,100.0,100.0,100.0,105.83825170353421,45.50500000000013,
v3-lite,T2,17,0.009999999999976694,0.020000000000010232,0.020000000000010232,-0.005000000000002558,100.0,100.0,100.0,100.0,100.0,105.75163468140073,45.52000000000014,
v3-lite,T3,17,0.010000000000005116,0.015000000000007674,0.015000000000007674,-2.1316282072803006e-14,100.0,100.0,100.0,100.0,100.0,106.00185523459385,45.52500000000012,
v3-lite,T4,17,0.010000000000005116,0.020000000000010232,0.020000000000010232,0.0,100.0,100.0,100.0,100.0,100.0,108.29108132721868,45.52500000000014,
v3-full,T1,17,0.015000000000007674,0.031000000000015855,0.035000000000017906,-0.005000000000002558,100.0,100.0,100.0,100.0,100.0,117.63319708442955,45.50000000000013,
v3-full,T2,17,0.010000000000005116,0.031000000000015855,0.035000000000017906,-0.005000000000002558,100.0,100.0,100.0,100.0,100.0,117.54736750373891,45.50000000000013,
v3-full,T3,17,0.020000000000010232,0.03200000000001068,0.03999999999999204,-0.020000000000010232,100.0,100.0,100.0,100.0,100.0,118.59819255837537,45.49000000000012,
v3-full,T4,17,0.009999999999976694,0.028000000000014312,0.040000000000020464,0.0,100.0,100.0,100.0,100.0,100.0,114.09231766056008,45.515000000000136,
v4-io,T1,17,0.005000000000002558,0.015000000000007674,0.015000000000007674,-0.004999999999974136,100.0,100.0,100.0,100.0,100.0,102.56992574900679,45.52000000000014,
v4-io,T2,17,0.005000000000002558,0.011000000000005623,0.015000000000007674,-0.005000000000002558,100.0,100.0,100.0,100.0,100.0,102.41753666465556,45.52000000000014,
v4-io,T3,17,0.005000000000002558,0.01700000000000869,0.02500000000001279,-0.005000000000002558,100.0,100.0,100.0,100.0,100.0,101.95666915752912,45.49000000000012,
v4-io,T4,17,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,101.8016365731278,45.515000000000136,
