capture_id,status,beta_s,score_median_3d_mm,n_overlap,coarse_beta_min_s,coarse_beta_max_s,coarse_step_s,refine_step_s,second_candidate_score_median_3d_mm,second_to_best_score_ratio
R01,ok,37.70795600000014,107.20546492327934,2401,-0.002044,71.64334799999999,0.05,0.005,121.26074818218602,1.1311060333441512
R02,ok,46.52235800000014,110.93572178105359,2401,-0.002642,54.264611,0.05,0.005,133.26534974860974,1.201284379900882
R03,ok,46.377582000000146,106.78418228218268,2250,-0.002418,56.391459999999995,0.05,0.005,143.15833179976013,1.3406323740107584
R04,ok,47.29321100000013,103.8333753066465,2400,-0.001789,51.409379,0.05,0.005,131.55991423986984,1.2670291594715068
R05,ok,48.70257800000013,113.44679221003639,2401,-0.002422,51.85916399999999,0.05,0.005,141.66476535284247,1.2487331073280863
R06,ok,45.52379100000014,117.14211614527566,2401,-0.001209,49.16001100000001,0.05,0.005,173.9885377654211,1.4852774005691212
R07,ok,45.229804000000115,100.90395455080251,2401,-0.000196,49.137575999999996,0.05,0.005,139.32934744154846,1.380811565431757
R08,ok,44.84747700000013,95.03493331671363,2401,-0.002523,47.287713,0.05,0.005,147.61907248456185,1.5533137903365093
R09,ok,44.96743900000014,122.72066283492791,2400,-0.002561,62.536878,0.05,0.005,180.82587484913006,1.4734753762889932
R10,ok,45.34070900000013,90.12549456407979,2400,-0.014291,48.38864099999999,0.05,0.005,118.31384167170295,1.3127677384070393
R11,ok,45.512481000000136,93.09557430637584,2401,-0.002519,49.743836,0.05,0.005,103.57154481607145,1.1125292001016007
R12,ok,46.934825000000124,103.03069638019758,2400,-0.000175,48.02325499999999,0.05,0.005,118.2188204091612,1.1474135821902758
R13,ok,44.91856400000012,99.08580849429886,2401,-0.001436,52.828924999999984,0.05,0.005,111.067715737418,1.1209245544361537
R14,ok,45.59368200000013,86.54816473244018,2401,-0.001318,53.92812900000001,0.05,0.005,97.20191333138142,1.1230961815525127
R15,ok,43.647452000000136,93.09666896465944,2400,-0.002548,47.471643,0.05,0.005,104.90424972166646,1.1268313988923633
R16,ok,44.509039000000136,101.8016365731278,2401,-0.000961,49.495677,0.05,0.005,108.60491721989378,1.0668287944651944
R17,ok,45.54838000000013,100.44378170631427,2401,-0.00162,50.101534,0.05,0.005,111.46649056604478,1.1097400821880603
