capture_id,stage,alpha,beta_s,score,median_3d_mm,p95_3d_mm,n_overlap,rank
R01,refine,0.9997999999999997,37.71795600000032,149.9469081598832,106.67581253754943,437.6413714179517,2401,1
R01,refine,1.0019999999999993,37.587956000000254,168.99396506883795,124.6067703763728,443.03548217039463,2401,2
R01,refine,0.9975999999999999,37.842956000000385,176.2744285456185,132.48672165297816,453.7272121387034,2401,3
R02,refine,0.9999999999999997,46.52235800000032,144.9542404689243,110.9357217810462,289.71159097722705,2401,1
R02,refine,1.0021999999999993,46.39235800000025,161.4356875984074,126.40252918929987,295.5061206913287,2401,2
R02,refine,0.9977999999999999,46.657358000000386,162.69784352386745,127.4436783964371,296.6223830886759,2401,3
R02,refine,0.9977999999999999,45.907358,655.0520674064397,552.4571000863035,715.4525117913569,2401,4
R03,refine,0.9995999999999996,46.38758441800031,141.23799992108331,106.06581493970256,274.34940377360806,2251,1
R03,refine,1.0017999999999994,46.25758441800024,156.72283143120512,120.09578717946619,282.1672557211985,2250,2
R03,refine,0.9973999999999998,46.52258441800038,163.8976989726857,126.87499816251079,284.01997474776823,2252,3
R04,refine,0.9999999999999997,47.293211000000305,137.39071004324117,103.83337530662,287.12055085215775,2400,1
R04,refine,0.9977999999999999,47.428211000000374,157.4132469195085,121.89069310408223,296.0728690140953,2400,2
R04,refine,1.0021999999999993,47.158211000000236,158.56345761101545,122.93914877005224,294.30464716849826,2400,3
R05,refine,0.9999999999999997,48.70257800000031,147.38872700848984,113.44679221007927,280.5620707539228,2401,1
R05,refine,0.9977999999999999,48.82757800000037,164.31269576334853,128.8378602914409,286.93879226536757,2401,2
R05,refine,1.0021999999999993,48.58757800000025,165.52328400913848,130.03699754969853,291.98554769934196,2401,3
R06,refine,0.9997999999999997,45.52879100000032,148.48443892249549,116.88499713798268,246.12905888235514,2401,1
R06,refine,1.0019999999999993,45.403791000000254,159.65096940262015,126.68010449083904,253.41687272218553,2401,2
R06,refine,0.9975999999999999,45.66379100000039,163.407501019259,130.4392519905101,255.1954331367195,2401,3
R06,refine,0.9975999999999999,44.913791,576.5672861179003,477.9183027029049,699.1288714139176,2401,4
R07,refine,1.0001999999999995,45.23980380400033,131.39902013707345,101.13522242929737,244.65775618449723,2401,1
R07,refine,0.9979999999999999,45.3798038040004,141.66546523615534,110.45210084258473,253.04907729991905,2401,2
R07,refine,1.0023999999999993,45.09980380400026,146.63233398844656,114.30669770558247,255.32233275283895,2401,3
R07,refine,0.9979999999999999,44.62980380400002,569.6367694676339,471.6939403449086,689.4730523441361,2401,4
R08,refine,1.0001999999999995,44.83247952300028,126.66860265075056,94.8828809723684,268.30846345885794,2401,1
R08,refine,0.9979999999999998,44.957479523000345,140.35766786205772,107.36969644046803,271.8625353032655,2401,2
