capture_id,status,alpha,beta_s,uwb_start_s,uwb_end_s,uwb_duration_s,opti_match_start_s,opti_match_end_s,opti_match_duration_s,score,median_3d_mm,p95_3d_mm,n_overlap,second_score,second_to_best_ratio
R01,ok,0.9997999999999997,37.71795600000032,0.002044,119.964982,119.96293800000001,37.71999959120032,157.65894500360028,119.93894541239996,149.9469081598832,106.67581253754943,437.6413714179517,2401,168.99396506883795,1.1270253394531184
R02,ok,0.9999999999999997,46.52235800000032,0.002642,119.993719,119.991077,46.52500000000032,166.51607700000028,119.99107699999996,144.9542404689243,110.9357217810462,289.71159097722705,2401,161.4356875984074,1.11370103472769
R03,ok,0.9995999999999996,46.38758441800031,0.002418,119.96687,119.964452,46.390001450800305,166.30646767000027,119.91646621919998,141.23799992108331,106.06581493970256,274.34940377360806,2251,156.72283143120512,1.1096364400428635
R04,ok,0.9999999999999997,47.293211000000305,0.001789,119.957291,119.955502,47.29500000000031,167.25050200000027,119.95550199999997,137.39071004324117,103.83337530662,287.12055085215775,2400,157.4132469195085,1.1457342848724315
R05,ok,0.9999999999999997,48.70257800000031,0.002422,119.999166,119.996744,48.70500000000031,168.70174400000028,119.99674399999996,147.38872700848984,113.44679221007927,280.5620707539228,2401,164.31269576334853,1.1148253947120654
R06,ok,0.9997999999999997,45.52879100000032,0.001209,119.981659,119.98044999999999,45.52999975820032,165.48645366820028,119.95645390999996,148.48443892249549,116.88499713798268,246.12905888235514,2401,159.65096940262015,1.0752033718897187
R07,ok,1.0001999999999995,45.23980380400033,0.000196,119.979094,119.978898,45.23999984320033,165.2428936228003,120.00289377959996,131.39902013707345,101.13522242929737,244.65775618449723,2401,141.66546523615534,1.078131823877926
R08,ok,1.0001999999999995,44.83247952300028,0.002523,119.970617,119.96809400000001,44.83500302760028,164.82709064640022,119.99208761879994,126.66860265075056,94.8828809723684,268.30846345885794,2401,140.35766786205772,1.1080699157079243
R09,ok,1.0003999999999995,44.93243643900033,0.002561,119.954792,119.952231,44.934998463400326,164.93521035580028,120.00021189239996,162.06272635364525,122.57613327263516,309.71180727974996,2400,171.20790665598224,1.0564298806277073
R10,ok,0.9999999999999996,45.34072329100029,0.014291,119.936359,119.922068,45.35501429100029,165.27708229100023,119.92206799999994,120.09319821056745,90.12484413197882,238.02908628780185,2400,133.9995409501504,1.1157962561310093
R11,ok,0.9995999999999997,45.53748100000033,0.002519,119.997834,119.99531499999999,45.53999899240033,165.4873158664003,119.94731687399998,119.2979232815898,92.89946123567172,218.88630738032685,2401,128.20144270846382,1.0746326439049423
R12,ok,0.9997999999999997,46.93982500000033,0.000175,119.935075,119.9349,46.93999996500033,166.8509129850003,119.91091301999995,131.79146109945145,102.76520223965304,222.32549991837485,2400,142.8333299855766,1.083782885431347
R13,ok,0.9995999999999997,44.958564000000344,0.001436,119.996075,119.994639,44.959999425600344,164.90664057000032,119.94664114439998,127.36695273556575,99.47325994298578,225.653199300421,2401,136.41292702616948,1.0710229309590584
R14,ok,0.9999999999999997,45.59368200000031,0.001318,119.996871,119.995553,45.595000000000304,165.59055300000026,119.99555299999994,112.5754430016724,86.54816473248208,209.6833625718357,2401,125.30878840957989,1.1131094408193298
R15,ok,0.9999999999999997,43.64744945200033,0.002548,119.936687,119.934139,43.64999745200033,163.58413645200028,119.93413899999996,119.59789246621942,93.0962058397551,207.69540084244355,2400,131.17385769560684,1.096790712534145
R16,ok,0.9995999999999997,44.53903900000033,0.000961,119.995993,119.995032,44.53999961560033,164.4870336028003,119.94703398719997,129.06878205396893,101.37871080687148,216.02127586849755,2401,137.36997393237334,1.0643160317026417
R17,ok,0.9999999999999997,45.55337838000033,0.00162,119.998466,119.99684599999999,45.554998380000335,165.5518443800003,119.99684599999995,129.80236871528584,100.63194477553184,235.02173643662195,2401,142.2055751790307,1.0955545463962262
