layout,tag_method,capture_id,status,beta_s,uwb_start_s,uwb_end_s,opti_match_start_s,opti_match_end_s,score_median_3d_mm,n_overlap,second_candidate_score_median_3d_mm,second_to_best_score_ratio,reference_layout,reference_tag_method,reference_beta_s,delta_vs_reference_s,abs_delta_vs_reference_s
v1-old,T1,R01,ok,37.69795600000013,0.002044,119.964982,37.70000000000013,157.66293800000014,124.07996578329643,2401,141.171174521955,1.1377434997726232,v4-io,T4,37.70795600000014,-0.010000000000005116,0.010000000000005116
v1-old,T1,R02,ok,46.512358000000134,0.002642,119.993719,46.515000000000136,166.50607700000012,138.32609993760457,2401,160.82064180630567,1.1626196493564687,v4-io,T4,46.52235800000014,-0.010000000000005116,0.010000000000005116
v1-old,T1,R03,ok,46.37258200000014,0.002418,119.96687,46.37500000000014,166.33945200000014,149.93092363124396,2250,183.16623055523564,1.2216707942501184,v4-io,T4,46.377582000000146,-0.005000000000002558,0.005000000000002558
v1-old,T1,R04,ok,47.27821100000012,0.001789,119.957291,47.28000000000012,167.2355020000001,126.01173812876573,2400,155.89083937482553,1.237113634727645,v4-io,T4,47.29321100000013,-0.015000000000007674,0.015000000000007674
v1-old,T1,R05,ok,48.70257800000013,0.002422,119.999166,48.70500000000013,168.70174400000013,156.31422251384998,2401,182.31524923617715,1.1663382020150046,v4-io,T4,48.70257800000013,0.0,0.0
v1-old,T1,R06,ok,45.48379100000012,0.001209,119.981659,45.48500000000012,165.46545000000012,155.97425629147187,2401,218.12120474799056,1.3984436273918408,v4-io,T4,45.52379100000014,-0.040000000000020464,0.040000000000020464
v1-old,T1,R07,ok,45.25480400000013,0.000196,119.979094,45.25500000000013,165.23389800000012,144.49883877507781,2401,181.14482986636824,1.2536075127104127,v4-io,T4,45.229804000000115,0.02500000000001279,0.02500000000001279
v1-old,T1,R08,ok,44.82747700000012,0.002523,119.970617,44.83000000000012,164.79809400000013,128.45038119642447,2401,175.69713437911815,1.3678210429788031,v4-io,T4,44.84747700000013,-0.020000000000010232,0.020000000000010232
v1-old,T1,R09,ok,44.96243900000014,0.002561,119.954792,44.96500000000014,164.91723100000013,168.18197512257964,2400,221.46620446255736,1.3168248517782088,v4-io,T4,44.96743900000014,-0.005000000000002558,0.005000000000002558
v1-old,T1,R10,ok,45.32070900000012,0.014291,119.936359,45.33500000000012,165.25706800000012,127.00759973436357,2400,155.73026817393784,1.2261492107531182,v4-io,T4,45.34070900000013,-0.020000000000010232,0.020000000000010232
v1-old,T1,R11,ok,45.50748100000013,0.002519,119.997834,45.51000000000013,165.50531500000014,117.07484829571476,2401,129.65661168378082,1.1074676890145208,v4-io,T4,45.512481000000136,-0.005000000000002558,0.005000000000002558
v1-old,T1,R12,ok,46.934825000000124,0.000175,119.935075,46.93500000000012,166.86990000000011,127.66471936477572,2400,143.9528121987831,1.1275849186451232,v4-io,T4,46.934825000000124,0.0,0.0
v1-old,T1,R13,ok,44.92356400000012,0.001436,119.996075,44.92500000000012,164.91963900000013,126.22257909307827,2401,139.57671431711057,1.105798307402551,v4-io,T4,44.91856400000012,0.005000000000002558,0.005000000000002558
v1-old,T1,R14,ok,45.57368200000012,0.001318,119.996871,45.57500000000012,165.57055300000013,117.94711019834939,2401,126.90076873807095,1.0759124875943493,v4-io,T4,45.59368200000013,-0.020000000000010232,0.020000000000010232
