capture_id,rank,coarse_beta_s,coarse_score_median_3d_mm,n_overlap,layout,tag_method
R01,1,37.697956000000005,124.07996578329482,2401,v1-old,T1
R01,2,33.897956,141.171174521955,2401,v1-old,T1
R01,3,41.497956,142.8272582960945,2401,v1-old,T1
R01,4,30.097956,152.54359807259655,2401,v1-old,T1
R01,5,45.297956000000006,155.64313052698958,2401,v1-old,T1
R02,1,46.497358,139.69907768771267,2401,v1-old,T1
R02,2,42.297358,160.82064180630567,2401,v1-old,T1
R02,3,50.747358,163.44417746607914,2401,v1-old,T1
R02,4,38.097358,164.9275872624706,2401,v1-old,T1
R02,5,29.647358,177.8636634901313,2401,v1-old,T1
R03,1,46.347582,151.3046046209597,2251,v1-old,T1
R03,2,50.597582,183.16623055523564,2208,v1-old,T1
R03,3,42.14758200000001,185.82977569710488,2293,v1-old,T1
R03,4,37.947582000000004,213.7211485586564,2334,v1-old,T1
R03,5,54.797582000000006,216.61511520345084,2166,v1-old,T1
R04,1,47.298211,126.55727112780215,2400,v1-old,T1
R04,2,34.648210999999996,155.89083937482553,2400,v1-old,T1
R04,3,43.098211,156.38114776902898,2400,v1-old,T1
R04,4,38.848211,161.10740988250564,2400,v1-old,T1
R04,5,30.498211,164.9407677387697,2400,v1-old,T1
R05,1,48.697578,157.0561190144481,2401,v1-old,T1
R05,2,44.547578,182.31524923617715,2401,v1-old,T1
R05,3,40.347578,192.9467911077166,2401,v1-old,T1
R05,4,36.147577999999996,204.89829654559904,2401,v1-old,T1
R05,5,31.997578,218.19003748797246,2401,v1-old,T1
R06,1,45.498791,156.26198998318566,2401,v1-old,T1
R06,2,30.448791000000003,218.12120474799056,2401,v1-old,T1
R06,3,40.498791,220.28580862177498,2401,v1-old,T1
R06,4,35.348791,226.09726684310783,2401,v1-old,T1
R06,5,25.398791000000003,247.70538182696492,2401,v1-old,T1
R07,1,45.249804,145.24718251871028,2401,v1-old,T1
R07,2,40.199804,181.14482986636824,2401,v1-old,T1
R07,3,14.749804,182.11114755691835,2401,v1-old,T1
R07,4,9.649804,182.31894102222418,2401,v1-old,T1
R07,5,4.499804,183.41456661538825,2401,v1-old,T1
R08,1,44.847477000000005,129.24254312587155,2401,v1-old,T1
R08,2,34.79747700000001,175.69713437911815,2401,v1-old,T1
R08,3,39.79747700000001,177.80366361458252,2401,v1-old,T1
R08,4,29.747477,179.20076905663922,2401,v1-old,T1
R08,5,24.647477000000002,184.63802687515582,2401,v1-old,T1
R09,1,44.947439,168.8710044885441,2400,v1-old,T1
R09,2,39.847439,221.46620446255736,2400,v1-old,T1
R09,3,50.047439000000004,222.52452541739314,2400,v1-old,T1
R09,4,14.697439000000001,248.49604679942172,2400,v1-old,T1
R09,5,55.047439000000004,248.7335046176481,2400,v1-old,T1
R10,1,45.335709,127.73333552691193,2400,v1-old,T1
R10,2,40.135709000000006,155.73026817393784,2400,v1-old,T1
R10,3,34.935709,159.626135637215,2400,v1-old,T1
R10,4,19.235709,165.28790662496135,2400,v1-old,T1
R10,5,14.035709,168.70789279254487,2400,v1-old,T1
R11,1,45.497481,117.44052684292005,2401,v1-old,T1
R11,2,40.297481000000005,129.65661168378082,2401,v1-old,T1
R11,3,35.147481,134.44430276831045,2401,v1-old,T1
R11,4,29.947481000000003,139.3386198678832,2401,v1-old,T1
R11,5,4.047480999999999,142.6419058208116,2401,v1-old,T1
R12,1,46.949825000000004,129.29096090687318,2400,v1-old,T1
R12,2,41.799825000000006,143.9528121987831,2400,v1-old,T1
R12,3,36.599825,151.80653652980487,2400,v1-old,T1
R12,4,31.449825000000004,165.32082670611092,2400,v1-old,T1
R12,5,26.249825,176.10882148190754,2400,v1-old,T1
