sweep,conn_id,peer_name,tag_id,plan,pmode,quality_flag_percent,targets,statuses,qualities
24056,,BSF66F,,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
24057,,BSF66F,,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
24058,,BSF66F,,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
24059,,BSF66F,,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
24060,,BSF66F,,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
24061,,BSF66F,,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
24062,,BSF66F,,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
24063,,BSF66F,,cal_static,4,100,"A,B,C,D","ok,ok,ok,ok","100,100,100,100"
24064,,BSF66F,,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
24065,,BSF66F,,cal_static,4,97,"A,B,C,D","ok,ok,timeout,ok","100,100,88,100"
24066,,BSF66F,,cal_static,4,100,"E,F,G,H","ok,ok,ok,ok","100,100,100,100"
24067,,BSF66F,,cal_static,4,95,"A,B,C,D","ok,ok,ok,timeout","100,100,90,90"
24068,,BSF66F,,cal_static,4,97,"E,F,G,H","ok,timeout,ok,ok","100,90,100,100"
24069,,BSF66F,,cal_static,4,95,"A,B,C,D","ok,ok,ok,ok","100,100,90,90"
94,,BSDC91,,cal_roto,5,81,"A,C,E,G","ok,ok,ok,ok","50,100,75,100"
24070,,BSF66F,,cal_static,4,95,"E,F,G,H","ok,ok,ok,timeout","100,91,100,91"
95,,BSDC91,,cal_roto,5,82,"C,A,E,G","ok,ok,ok,ok","100,52,76,100"
24071,,BSF66F,,cal_static,4,95,"A,B,C,D","ok,ok,ok,ok","100,100,91,91"
77,,BS2DCE,,cal_roto,5,94,"C,D,E,G","ok,ok,ok,ok","92,84,100,100"
96,,BSDC91,,cal_roto,5,83,"C,A,E,G","ok,ok,ok,ok","100,55,77,100"
