capture_id,uwb_time_s,uwb_relative_distance_mm,opti_relative_distance_mm,signed_relative_distance_error_mm,abs_relative_distance_error_mm
R01,0.002044,925.4545348875473,979.68646526991,-54.231930382362634,54.231930382362634
R01,0.070511,925.0743348487205,979.6655533705665,-54.59121852184603,54.59121852184603
R01,0.16326,1014.1369047511118,979.8502114819332,34.28669326917861,34.28669326917861
R01,0.295635,1004.0924498643075,979.0331620090429,25.05928785526453,25.05928785526453
R01,0.454647,1007.5934001074731,979.8901999592065,27.70320014826666,27.70320014826666
R01,0.466995,1015.984067105662,979.7947546220753,36.18931248358672,36.18931248358672
R01,0.572952,1055.3368895473734,979.5866286629681,75.7502608844053,75.7502608844053
R01,0.670406,1001.2485133468209,980.1862711909894,21.06224215583154,21.06224215583154
R01,0.760465,1117.248167501572,980.0171749070076,137.23099259456433,137.23099259456433
R01,0.865366,1174.5736847065439,980.0272476523282,194.54643705421563,194.54643705421563
R01,0.963248,1191.3158059162072,980.2092281600457,211.10657775616153,211.10657775616153
R01,1.067871,1097.9895920546394,980.2426643082555,117.7469277463839,117.7469277463839
R01,1.172952,1085.2949147460033,980.7180368067693,104.57687793923401,104.57687793923401
R01,1.270613,1115.2135200584644,980.5121779591374,134.701342099327,134.701342099327
R01,1.430799,1093.9165996119286,980.710100824446,113.20649878748259,113.20649878748259
R01,1.466199,1122.1081986647632,980.3309860335936,141.77721263116962,141.77721263116962
R01,1.56289,1192.6218843052511,980.2548743977209,212.36700990753025,212.36700990753025
R01,1.668021,1024.6620014433313,980.2828391634224,44.37916227990888,44.37916227990888
R01,1.773485,995.0653875075749,979.5732068461053,15.492180661469547,15.492180661469547
R01,1.890118,947.8145993087742,979.3533736597832,-31.53877435100901,31.53877435100901
R01,1.965775,914.5312899562339,979.6062337114867,-65.07494375525278,65.07494375525278
R01,2.0953,1053.127914903533,979.3110152836797,73.81689961985342,73.81689961985342
R01,2.162538,1062.719784254696,979.5840861103763,83.13569814431958,83.13569814431958
R01,2.282774,986.4651833984764,979.394651658991,7.070531739485318,7.070531739485318
R01,2.457474,994.4564933736688,980.0326909934199,14.423802380248844,14.423802380248844
R01,2.470284,976.6805688003637,979.8563393426499,-3.175770542286159,3.175770542286159
R01,2.560253,967.4122965342577,979.7945980043734,-12.382301470115635,12.382301470115635
R01,2.665308,1044.7283709599712,980.0997433731624,64.62862758680888,64.62862758680888
R01,2.828721,1069.3351013217066,980.1968809979792,89.13822032372741,89.13822032372741
R01,2.86779,1104.906239022873,979.6202114644377,125.28602755843531,125.28602755843531
R01,2.97322,975.55024783907,979.5867542813291,-4.03650644225911,4.03650644225911
R01,3.070078,1041.628642132304,979.8940879952396,61.73455413706449,61.73455413706449
R01,3.175337,1039.8943013174896,979.711543512675,60.18275780481463,60.18275780481463
R01,3.280359,1025.4772118096137,980.2989031485741,45.17830866103952,45.17830866103952
R01,3.455401,1147.2706665330916,980.5906804737854,166.6799860593062,166.6799860593062
R01,3.481311,1066.4644593333408,979.9309366650283,86.53352266831246,86.53352266831246
