capture_id,tag,frames,finite_frames,xyz_diff_rmse_mm,xyz_diff_p95_mm,xyz_diff_max_mm,cpu_accept_rate,gpu_accept_rate,row_spec,seed_id,R,L,I,T,prior_sigma_mm,range_sigma_scale,robust
R01,BS2DCE,1201,1201,0.0004966159739301586,0.0009113130623181752,0.001292136085638183,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R01,BSDC91,1200,1200,0.0005671959090456762,0.0010444151128310155,0.0019113890298353988,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R02,BS2DCE,1201,1201,0.0005690328370502955,0.0010462205577687895,0.0017483888732628872,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R02,BSDC91,1200,1200,0.0005243800935209953,0.0010084380425918974,0.001757803801258404,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R03,BS2DCE,1200,1200,0.00036721836822406305,0.0006277736753466847,0.001106314403598692,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R03,BSDC91,1200,1200,0.0005058422882268205,0.000936021750579019,0.0015865587879715785,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R04,BS2DCE,1200,1200,0.0004259742665122708,0.000697511152417639,0.0012032398548833994,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R04,BSDC91,1200,1200,0.00046740677490863,0.0008875260603016015,0.0015609554547716335,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R05,BS2DCE,1200,1200,0.00041947329144325615,0.0007509605062086341,0.001137143546628886,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R05,BSDC91,1201,1201,0.0005901446751381036,0.0010694162150911555,0.0018848368503392786,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R06,BS2DCE,1200,1200,0.00046541255197957924,0.0009309017571941183,0.0013379123087647762,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R06,BSDC91,1201,1201,0.0005565802859208628,0.0011681592871764664,0.001749040101350217,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R07,BS2DCE,1200,1200,0.0005539051709761975,0.001056545686637914,0.0017937472491422726,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R07,BSDC91,1201,1201,0.000597991664979282,0.0010989417558126633,0.002169042157387713,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R08,BS2DCE,1201,1201,0.00041742196617624775,0.000817505789376664,0.0013644272096297494,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R08,BSDC91,1200,1200,0.0003493526264998318,0.00060289487132282,0.0010552109330739232,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R09,BS2DCE,1200,1200,0.000327879064337152,0.0005647937259109594,0.0007696971263162419,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R09,BSDC91,1200,1200,0.000593846699827072,0.001109186923500896,0.0027557798548314616,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R10,BS2DCE,1200,1200,0.0004103206382580944,0.0007998506329737176,0.0013335118599187973,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R10,BSDC91,1200,1200,0.0004964870392006942,0.0009364929955519904,0.0018681534349980844,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R11,BS2DCE,1201,1201,0.00044023312307127734,0.0007644735250690088,0.0014992641026721433,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R11,BSDC91,1200,1200,0.0003922298725886883,0.0006476745109023636,0.0010706236127989502,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R12,BS2DCE,1200,1200,0.0003441837216214777,0.0005505177166928051,0.0010907613769677296,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R12,BSDC91,1200,1200,0.0003183396322933701,0.0005792093427499835,0.0012655660886770846,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R13,BS2DCE,1201,1201,13.180889975178635,0.0009536188078860691,417.51603435863154,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R13,BSDC91,1200,1200,0.0002979079173196424,0.00048425027564815706,0.0009169514589912536,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R14,BS2DCE,1201,1201,0.0003229279646819934,0.0006019422585743465,0.001190949622461609,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R14,BSDC91,1200,1200,0.00024695676487350817,0.0004244333479380991,0.0005577167762866293,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R15,BS2DCE,1200,1200,0.00043960216299538567,0.000792752183038971,0.0012958995169114209,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R15,BSDC91,1200,1200,0.00045321706137691945,0.0007742332920657584,0.0018699054851410667,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R16,BS2DCE,1201,1201,0.0004108217644373319,0.0007865838823230826,0.0012880299596911985,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R16,BSDC91,1200,1200,0.00036150126184603636,0.0006593960118330835,0.0013037637156056736,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R17,BS2DCE,1201,1201,0.00029580611393510996,0.00044848126025585645,0.0007245108603488146,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R17,BSDC91,1200,1200,0.0003628642520479882,0.0006269998175690309,0.001094071631726086,1.0,1.0,R2:L12:I1:T6,S01,R2,L12,I1,T6,113.82637500000001,1.0,False
R01,BS2DCE,1201,1201,0.0005238202353415333,0.0010079714097677422,0.0015548793549482528,1.0,1.0,R2:L12:I1:T8,S01,R2,L12,I1,T8,166.361625,1.0,True
R01,BSDC91,1200,1200,0.0006761945274892264,0.0013694133565216766,0.0030240283721600734,1.0,1.0,R2:L12:I1:T8,S01,R2,L12,I1,T8,166.361625,1.0,True
R02,BS2DCE,1201,1201,0.0005385774063598036,0.0010209918055727296,0.001594132818033546,1.0,1.0,R2:L12:I1:T8,S01,R2,L12,I1,T8,166.361625,1.0,True
R02,BSDC91,1200,1200,0.0005733752270338788,0.0011932734290291242,0.002221101623467037,1.0,1.0,R2:L12:I1:T8,S01,R2,L12,I1,T8,166.361625,1.0,True
R03,BS2DCE,1200,1200,0.00034056861335582194,0.0005613534256116058,0.0010424956725681813,1.0,1.0,R2:L12:I1:T8,S01,R2,L12,I1,T8,166.361625,1.0,True
R03,BSDC91,1200,1200,0.0004502196763259473,0.0008547469282559267,0.0015482507018141573,1.0,1.0,R2:L12:I1:T8,S01,R2,L12,I1,T8,166.361625,1.0,True
R04,BS2DCE,1200,1200,0.0003846863685405888,0.0006137661498139679,0.0011922915948125942,1.0,1.0,R2:L12:I1:T8,S01,R2,L12,I1,T8,166.361625,1.0,True
R04,BSDC91,1200,1200,0.000377530168082005,0.0006962072854052937,0.0011472373611818955,1.0,1.0,R2:L12:I1:T8,S01,R2,L12,I1,T8,166.361625,1.0,True
R05,BS2DCE,1200,1200,0.00047474078211472745,0.000893907901367651,0.0012303312452205274,1.0,1.0,R2:L12:I1:T8,S01,R2,L12,I1,T8,166.361625,1.0,True
R05,BSDC91,1201,1201,0.0006322748573895601,0.0012611277601536411,0.002048764053130993,1.0,1.0,R2:L12:I1:T8,S01,R2,L12,I1,T8,166.361625,1.0,True
R06,BS2DCE,1200,1200,0.0004778713289311868,0.0010611277163949198,0.0015444118760790453,1.0,1.0,R2:L12:I1:T8,S01,R2,L12,I1,T8,166.361625,1.0,True
R06,BSDC91,1201,1201,0.0006011486506316015,0.0013225750188420014,0.002160951603739363,1.0,1.0,R2:L12:I1:T8,S01,R2,L12,I1,T8,166.361625,1.0,True
R07,BS2DCE,1200,1200,0.0004931686835669003,0.0009450355014911226,0.0018709212012962327,1.0,1.0,R2:L12:I1:T8,S01,R2,L12,I1,T8,166.361625,1.0,True
R07,BSDC91,1201,1201,0.0006142039686010463,0.0012184047747684488,0.002603288481035126,1.0,1.0,R2:L12:I1:T8,S01,R2,L12,I1,T8,166.361625,1.0,True
R08,BS2DCE,1201,1201,0.00038005273502652193,0.0007335305320058806,0.001308146020079504,1.0,1.0,R2:L12:I1:T8,S01,R2,L12,I1,T8,166.361625,1.0,True
R08,BSDC91,1200,1200,0.0003265639050376904,0.0005344113596463353,0.000980982319937309,1.0,1.0,R2:L12:I1:T8,S01,R2,L12,I1,T8,166.361625,1.0,True
R09,BS2DCE,1200,1200,0.00034140174042326173,0.0005949198412106713,0.0009299694921360652,1.0,1.0,R2:L12:I1:T8,S01,R2,L12,I1,T8,166.361625,1.0,True
R09,BSDC91,1200,1200,0.0006350146718557916,0.0011521926114712484,0.0027613911498643464,1.0,1.0,R2:L12:I1:T8,S01,R2,L12,I1,T8,166.361625,1.0,True
R10,BS2DCE,1200,1200,0.00042211134084813576,0.0008771733148492309,0.0013343305400523135,1.0,1.0,R2:L12:I1:T8,S01,R2,L12,I1,T8,166.361625,1.0,True
R10,BSDC91,1200,1200,0.0004973851650194567,0.0010221389405818885,0.002032970055384257,1.0,1.0,R2:L12:I1:T8,S01,R2,L12,I1,T8,166.361625,1.0,True
