version,ID,status,location,height,facing
v4-io,ID01,missing,edge,low,ABEF
v4-io,ID02,missing,edge,mid,ABEF
v4-io,ID03,missing,edge,high,ABEF
v4-io,ID04,missing,edge,low,BCGF
v4-io,ID05,missing,edge,mid,BCGF
v4-io,ID06,missing,edge,high,BCGF
v4-io,ID07,missing,edge,low,CDHG
v4-io,ID08,missing,edge,mid,CDHG
v4-io,ID09,missing,edge,high,CDHG
v4-io,ID10,missing,edge,low,ADHE
v4-io,ID11,missing,edge,mid,ADHE
v4-io,ID12,missing,edge,high,ADHE
v4-io,ID13,missing,center,mid,ABEF
v4-io,ID14,missing,center,mid,BCGF
v4-io,ID15,missing,center,mid,CDHG
v4-io,ID16,missing,center,mid,ADHE
v4-io,ID17,missing,center,low,ABEF
v4-io,ID18,missing,center,low,BCGF
v4-io,ID19,missing,center,low,CDHG
v4-io,ID20,missing,center,low,ADHE
v4-io,ID21,missing,center,high,ABEF
v4-io,ID22,missing,center,high,BCGF
v4-io,ID23,missing,center,high,CDHG
v4-io,ID24,missing,center,high,ADHE
