capture_id,tag,frames,finite_frames,xyz_diff_rmse_mm,xyz_diff_p95_mm,xyz_diff_max_mm,cpu_accept_rate,gpu_accept_rate,row_spec,R,L,I,T,prior_sigma_mm,range_sigma_scale,robust
R01,BS2DCE,20,20,0.00016909533964988072,0.00021126114498154407,0.00021381110682130606,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
R01,BSDC91,20,20,0.0004615640251844408,0.000622647127044003,0.0006284658115415429,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
R02,BS2DCE,20,20,0.00015425241969125374,0.0002201533232202406,0.000229148240445505,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
R02,BSDC91,20,20,0.00039678015748423193,0.0006138456730963609,0.0006167654834153377,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
R03,BS2DCE,20,20,0.00025178688176487167,0.0003339382202708262,0.00034887675033879373,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
R03,BSDC91,20,20,0.00015414556917909801,0.00020917110053923806,0.00021427662665263176,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
R04,BS2DCE,20,20,0.000365905271352589,0.0004476048371035541,0.00046150964188336046,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
R04,BSDC91,20,20,0.00020496666299392352,0.00027648296329852936,0.0002888814127849851,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
R05,BS2DCE,20,20,0.00037696852047019454,0.0004998393219879119,0.0005060985510613337,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
R05,BSDC91,20,20,0.00013043988818545594,0.0001850796556598597,0.00019876341297356452,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
R06,BS2DCE,20,20,0.0001585474206479175,0.0002286867385688312,0.00023648369865122675,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
R06,BSDC91,20,20,0.0004670063904117121,0.0007219908791487491,0.0007266077484432254,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
R07,BS2DCE,20,20,0.00038188526920724243,0.0004657219221701207,0.00048602570559986023,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
R07,BSDC91,20,20,0.0001850905581441565,0.00026398964492106464,0.00029285453944654765,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
R08,BS2DCE,20,20,0.00020192072240722843,0.00026700905603971005,0.00028567316782460573,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
R08,BSDC91,20,20,0.00025044272306805424,0.0003407361601294808,0.0003468118332204052,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
R09,BS2DCE,20,20,0.0003066274876539999,0.00039923095526556824,0.0004105098795908197,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
R09,BSDC91,20,20,0.0001812489872252542,0.00028592743983679047,0.0003090403317050498,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
R10,BS2DCE,20,20,0.00020649979389169106,0.0002725265644379929,0.00038501734163200706,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
R10,BSDC91,20,20,0.0001614503926565865,0.00024529090634986284,0.00027058004320164867,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
R11,BS2DCE,20,20,0.0003022524519855995,0.00037470461969395344,0.00039420300762465723,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
R11,BSDC91,20,20,0.0002791928577506581,0.0003292682353634347,0.0003393270439914599,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
R12,BS2DCE,20,20,0.00026542550224639526,0.00036485277116263785,0.00036737266297937884,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
R12,BSDC91,20,20,0.0001948936775959274,0.00025626207075087206,0.00025745985613165963,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
R13,BS2DCE,20,20,289.46936322956805,597.5496238741878,881.3736278080419,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
R13,BSDC91,20,20,0.0001714693636358223,0.00022930507418100727,0.0002525474434652158,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
R14,BS2DCE,20,20,0.00015338556380705898,0.0002366423585410417,0.00025253195197161364,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
R14,BSDC91,20,20,0.00015692400363973317,0.00020689558320264895,0.00023953461136920422,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
R15,BS2DCE,20,20,0.0001791553813832827,0.00022122233699884016,0.00023797102679378623,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
R15,BSDC91,20,20,0.00039510628800009284,0.0005085624042617174,0.0005298860059620998,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
R16,BS2DCE,20,20,0.00022099311401418858,0.00029256358868053517,0.0003383814343565255,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
R16,BSDC91,20,20,0.00020839034110824934,0.0002607727262964773,0.0002711558881027187,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
R17,BS2DCE,20,20,0.0002538432633955625,0.0003351769947646503,0.0003558479499483112,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
R17,BSDC91,20,20,0.0001739309076656202,0.00021441755510912715,0.00023824779983644035,1.0,1.0,R2:L0:I0:T6,R2,L0,I0,T6,45.0,1.0,False
