host_time_iso,target,sweep,anchor_id,anchor,raw_distance_mm,rx_timestamp,carrier_integrator,first_path,first_path_amp1,first_path_amp2,first_path_amp3,fp_amp_sum,max_growth_cir,rx_pream_count,std_noise,max_noise,raw_line
2026-06-01T23:45:17.356+02:00,BSF66F,5539,4,E,2532,3768889150,8649,47890,6804,6952,6475,20231,1696,119,52,1184,[RECV] BSF66F notify: CRX;1;5539;4;2532;3768889150;8649;47890;6804;6952;6475;1696;119;52;1184
2026-06-01T23:45:17.358+02:00,BSF66F,5539,1,B,3175,3572280627,5979,47903,3906,4081,3441,11428,577,73,28,608,[RECV] BSF66F notify: CRX;1;5539;1;3175;3572280627;5979;47903;3906;4081;3441;577;73;28;608
2026-06-01T23:45:17.362+02:00,BSF66F,5539,2,C,2638,3637816682,6853,47950,4121,4355,4262,12738,883,75,36,806,[RECV] BSF66F notify: CRX;1;5539;2;2638;3637816682;6853;47950;4121;4355;4262;883;75;36;806
2026-06-01T23:45:17.362+02:00,BSF66F,5539,6,G,2494,3886855777,11574,47669,5126,6926,4261,16313,2058,123,48,1077,[RECV] BSF66F notify: CRX;1;5539;6;2494;3886855777;11574;47669;5126;6926;4261;2058;123;48;1077
2026-06-01T23:45:17.557+02:00,BSF66F,5540,0,A,2717,3400855725,5705,47753,3648,5716,5743,15107,1781,119,56,1098,[RECV] BSF66F notify: CRX;1;5540;0;2717;3400855725;5705;47753;3648;5716;5743;1781;119;56;1098
2026-06-01T23:45:17.565+02:00,BSF66F,5540,4,E,2487,3663001136,8618,47652,1342,1307,1028,3677,78,31,16,283,[RECV] BSF66F notify: CRX;1;5540;4;2487;3663001136;8618;47652;1342;1307;1028;78;31;16;283
2026-06-01T23:45:17.566+02:00,BSF66F,5540,1,B,3266,3466392237,5361,47777,2367,2186,1811,6364,213,47,16,319,[RECV] BSF66F notify: CRX;1;5540;1;3266;3466392237;5361;47777;2367;2186;1811;213;47;16;319
2026-06-01T23:45:17.568+02:00,BSF66F,5540,6,G,2476,3780967431,11589,48083,456,6122,6051,12629,1795,120,36,781,[RECV] BSF66F notify: CRX;1;5540;6;2476;3780967431;11589;48083;456;6122;6051;1795;120;36;781
2026-06-01T23:45:17.569+02:00,BSF66F,5540,3,D,2470,3597464506,7210,48030,6917,7108,5926,19951,2159,120,36,856,[RECV] BSF66F notify: CRX;1;5540;3;2470;3597464506;7210;48030;6917;7108;5926;2159;120;36;856
2026-06-01T23:45:17.760+02:00,BSF66F,5541,0,A,2687,3293166180,5770,47688,3683,5055,5382,14120,1736,119,52,924,[RECV] BSF66F notify: CRX;1;5541;0;2687;3293166180;5770;47688;3683;5055;5382;1736;119;52;924
