geometry,n,full_gdop_p90_median,full_gdop_p90_p90,full_hdop_p90_median,full_hdop_p90_p90,full_vdop_p90_median,full_vdop_p90_p90,full_cond_p95_median,full_cond_p95_p90,full_vdop_gt3_ratio_median,full_vdop_gt3_ratio_p90,center3m_vdop_p90_median,center3m_vdop_p90_p90,edge_ring_vdop_p90_median,edge_ring_vdop_p90_p90
true,29,1.7834289073944092,1.941542673110962,0.9290064573287964,0.9667057037353516,1.5898936986923218,1.7694644927978516,15.057952880859375,18.63728218078613,0.0,0.0,1.5889474153518677,1.6200950145721436,1.6812278032302856,1.8534478187561034
v1-old,29,1.7830506563186646,1.9407647609710692,0.9290175437927246,0.9666892051696777,1.5894078016281128,1.7687242031097412,15.047234535217285,18.62494468688965,0.0,0.0,1.5930145978927612,1.6200767517089845,1.6806912422180176,1.852813148498535
v2,29,1.7845611572265625,1.9429526329040527,0.928931713104248,0.966565477848053,1.591403841972351,1.7710602760314942,15.081785202026367,18.683477783203124,0.0,0.0,1.5954303741455078,1.6216798543930053,1.6828243732452393,1.855438232421875
v3-lite,29,1.7838318347930908,1.9416645288467407,0.9290125370025635,0.966687798500061,1.58963143825531,1.769729471206665,15.052694320678711,18.638915252685546,0.0,0.0,1.5889394283294678,1.6203993082046508,1.680952787399292,1.8538296222686768
v3-full,29,1.7843523025512695,1.940861177444458,0.9290862679481506,0.9665599942207337,1.5905780792236328,1.7687326669692993,15.066122055053711,18.641329956054687,0.0,0.0,1.5879466533660889,1.6203937768936156,1.6820329427719116,1.8522427320480346
v4-io,29,1.784743309020996,1.9423624992370605,0.9276429414749146,0.9663541436195373,1.5943114757537842,1.770620059967041,15.060347557067871,18.7262638092041,0.0,0.0,1.5783703327178955,1.6209247589111329,1.683943510055542,1.8565474033355713
