rx,src,n,snr_med,tail_energy_over_main_med,pre_energy_over_main_med,late_peak_over_main_med,fp_peak_delta_med,fp_amp_med,raw_med
B,A,18,41.2635078263498,0.015677449033568575,0.002587348150366409,0.1124595395231083,2.078125,19110.0,4723.5
C,A,16,39.393464178494725,0.06255935487506802,0.058685547179162,0.23158666215072488,9.71875,7547.5,5113.5
A,C,19,39.92753094925334,0.07394933558379578,0.05380223762733496,0.2528801072193097,9.65625,7607.0,5171.0
D,A,16,39.495797318841326,0.018613133989243406,0.003642719897787824,0.08812121097284481,3.484375,20553.0,2771.0
A,D,15,38.973797121345285,0.020169481686831407,0.0042314292589329715,0.08353562403817512,4.40625,19672.0,2780.0
E,A,14,40.26076609241246,0.025239870817569815,0.003239383259073924,0.09520923121848869,2.015625,21433.5,1634.5
F,A,18,39.7217775278303,0.1751172466599353,0.00415433027383511,0.3164441902911915,1.2421875,17593.0,4577.0
A,F,19,39.597347340881846,0.14242572120302543,0.004344907625896401,0.27091259872302154,1.640625,17371.0,4608.0
G,A,19,41.74256951320656,0.016084150144117494,0.0020105883102836623,0.09395561373327974,2.15625,20633.0,5208.0
A,G,20,41.65804357616577,0.01646397740841406,0.00218996932723516,0.09349832527127092,1.9921875,20955.5,5283.5
H,A,19,41.57499296333269,0.018430599068537303,0.002321941066938442,0.08764819748618875,2.53125,21215.0,3159.0
A,H,17,41.17025872902562,0.01924833352646403,0.002289397199283615,0.1017700211557007,2.421875,21859.0,3164.0
A,B,19,39.81030611367867,0.015085391863377822,0.0033091685545861616,0.11294637831925422,2.296875,19420.0,4781.0
A,E,14,39.99808002558062,0.031080277902368468,0.0034488116276323007,0.10256205215751697,1.6640625,21516.0,1627.0
B,D,16,40.654248679341066,0.02219670681736781,0.0038209451106757377,0.10919705657742107,3.875,19352.5,5615.0
D,B,15,41.68778043237316,0.023173368691104698,0.0031302013647291193,0.1080017261283591,3.609375,18773.0,5604.0
E,B,19,39.470460770934736,0.04086304478145521,0.004338293078905295,0.16450893877272638,1.609375,19157.0,4465.0
B,E,18,39.955452039621875,0.0460896629991166,0.004289916626466951,0.17401362155855235,1.609375,18692.5,4531.0
B,F,17,39.4263940189701,0.09961582510980033,0.004406040421374948,0.3035092336761606,2.25,20029.0,1512.0
F,B,17,38.973282483007246,0.09878476914182276,0.004347965290481495,0.2929429244131964,1.640625,20238.0,1564.0
G,B,15,39.921338061500514,0.02887687450157158,0.0030289146519463456,0.1538495181492817,1.625,18879.0,3682.5
B,G,16,39.39373485220213,0.03178405801132152,0.0034263877427566335,0.14104820668136828,1.4921875,18719.0,3650.0
B,H,18,39.123058545056765,0.06484787548925237,0.0038787822396286853,0.19782186620114742,1.4453125,16128.0,5429.0
H,B,19,38.715328693924526,0.06552919912813984,0.004067398531517282,0.19069050783019945,0.984375,15665.0,5499.0
C,B,19,37.53616057086555,0.03363461488544684,0.004507362090694295,0.16477810693011616,2.6875,17050.0,3336.0
B,C,19,38.40347677440265,0.035105912037304295,0.0034280745100815795,0.16775141726122544,2.828125,17276.0,3408.0
C,D,18,39.566576270561946,0.0444750994028292,0.004629669249964247,0.1404247920514628,1.5,18940.5,3964.0
D,C,17,39.51581825848712,0.05244045558319557,0.0041504675608589545,0.1685328099943341,1.640625,19187.0,3971.0
E,C,19,41.681024400233284,0.021882177620025905,0.0033771308673797612,0.12300699214045979,2.078125,18696.0,4978.0
C,E,19,42.65785949466718,0.017075701952699255,0.0034966495340300087,0.09131882177734979,4.296875,18675.0,4981.0
C,F,18,39.36498050519464,0.028907187016937185,0.0036359661379704467,0.2053157677609187,4.7109375,16513.5,3562.0
F,C,16,39.637341330206745,0.029592490830040105,0.0032142503762190777,0.22137443211872204,4.546875,16210.5,3529.5
G,C,18,36.91800213979506,0.18233078416877443,0.0053350310556349876,0.4357897518140832,3.84375,13910.5,1588.0
C,G,17,37.02460206621617,0.18794168919064966,0.007110345118039342,0.4046217923522914,3.75,11173.0,1568.0
C,H,19,39.0910940093204,0.03145263578572364,0.004612023982020036,0.12157286939382576,1.890625,19493.0,4064.5
H,C,15,39.92314246514672,0.03480761172280982,0.003873217298381921,0.12795015251768307,2.0,18978.0,4087.0
E,D,17,40.37163832125259,0.0242175404332427,0.0035597040409012346,0.11869536005732531,2.203125,20697.0,3080.0
D,E,15,41.260666554284526,0.024352532549447303,0.002790342849161754,0.12592847330805437,1.75,20687.0,3115.5
F,D,17,38.49551478817119,0.042228415131747285,0.0037081362363919055,0.17138561139945233,1.390625,16204.0,5219.0
D,F,19,38.16736661131783,0.04177161770764003,0.003924979375424005,0.1530575990762108,1.453125,16717.0,5299.5
G,D,13,39.915199682217064,0.0395202461331853,0.002474315891712058,0.16843364868082303,1.546875,14487.0,3986.0
D,H,17,40.12557550563375,0.03509899524223093,0.003974465488694284,0.11536487518629289,1.671875,21774.0,1756.0
H,D,17,39.54156199961692,0.040790007864958455,0.004567762734889307,0.12190273606049137,2.828125,21089.0,1746.0
D,G,12,39.416892291557474,0.027205920925875322,0.003024227270440296,0.16880381543875705,6.8828125,15662.5,4102.5
