L,name,residual_accel_bias_mg,accel_noise_mg,accel_bias_random_walk_mg_sqrt_s,vibration_sensitivity_mg,extrinsic_mg
L0,perfect_vicon_imu,0.0,0.0,0.0,0.0,0.0
L1,perfect_sampled_imu_odr_timestamp_only,0.03,0.15,0.005,0.02,0.0
L2,mpu6050_like_6axis_i3_residual,0.2,0.8,0.03,0.25,0.05
L3,mpu9250_icm20948_like_9axis_as_6axis,0.15,0.6,0.025,0.18,0.04
L4,lis2dh12_accel_only_proxy,0.5,1.4,0.06,0.45,0.12
L5,bmi270_lsm6dso_like_modern_6axis,0.08,0.35,0.012,0.08,0.03
L7,bad_cheap_clone_6axis,1.2,3.0,0.12,1.0,0.35
L8,mis_mounted_imu_extrinsic_stress,0.25,0.9,0.04,0.35,0.65
L10,invensense_mpu6050_legacy_6axis,0.35,3.1,0.055,0.6,0.08
L11,invensense_icm20948_9axis_as_6axis,0.25,1.78,0.04,0.35,0.06
L12,invensense_icm20602_fpv_6axis,0.18,0.77,0.028,0.24,0.04
L13,invensense_icm42605_6axis,0.11,0.54,0.018,0.16,0.03
L14,invensense_icm42670p_drone_6axis,0.1,0.54,0.016,0.14,0.025
L15,invensense_icm42688p_high_precision_6axis,0.075,0.54,0.012,0.1,0.02
L16,invensense_icm45686_balancedgyro_6axis,0.06,0.54,0.01,0.08,0.015
L17,bosch_bmi270_low_power_6axis,0.14,1.24,0.022,0.22,0.03
L18,bosch_bmi088_drone_robust_6axis,0.12,1.36,0.018,0.08,0.02
L19,st_lsm6dsv16x_high_end_6axis,0.065,0.46,0.01,0.09,0.018
