listener,src,dp_peak_tap,mainlobe_end_tap,near_in_blind_mm,n_reflectors_postFP,n_preFP_artifacts,delay_spread_ns,strongest_dB,strongest_excess_mm
L9336,0xb136,802,810,3002.7,7,5,75.04,-16.08,4804.4
L9336,0xb15a,802,809,2702.5,1,0,0.0,-11.31,9608.7
L9336,0xb1f4,802,809,2702.5,1,0,0.0,-27.24,21619.6
L955A,0xb136,802,806,1801.6,16,12,36.35,-1.97,2702.5
L955A,0xb15a,804,810,3002.7,4,0,13.2,-17.55,4804.4
L955A,0xb1f4,804,808,2402.2,0,0,0.0,,
LB,0xb136,804,809,2702.5,0,0,0.0,,
LB,0xb15a,802,809,2702.5,24,17,41.03,-10.03,5104.6
LB,0xb1f4,802,821,6305.7,6,0,12.0,-15.62,6606.0
LE,0xb136,802,811,3303.0,5,0,17.95,-11.5,5104.6
LE,0xb15a,806,815,4504.1,3,0,12.13,-4.75,5104.6
LE,0xb1f4,804,808,2402.2,11,0,11.82,-2.23,5104.6
LF,0xb136,802,807,2101.9,0,0,0.0,,
LF,0xb15a,802,809,2702.5,0,0,0.0,,
LF,0xb1f4,802,808,2402.2,1,0,0.0,-25.84,26123.7
