file,rows
output_row_counts.csv,17
p1_anchor_radial_contribution.csv,192
p1_signed_radial.csv,72
p1_signed_radial_summary.csv,3
p2_counterfactual.csv,3
p2_ei_correlations.csv,6
p3_deployment_recipe.csv,3
p3_deployment_sweep.csv,210
p3_pareto_frontier.csv,2
p4_drift_analysis.csv,5
p4_temporal_order.csv,24
p5_quality_score.csv,24
p5_quality_weighted_dtag.csv,2
p6_gap_decomposition.csv,6
p7_anchor_contribution_summary.csv,8
p7_per_anchor_contribution.csv,192
task_status_summary.csv,10
