n_anchors,layer_config,n_cal,aggregation,median_3d,fail_rate,anchor_labels,overdetermined,notes,rmse,d_tag_mm
4,single_layer,0,raw,nan,1.0,DBCA,False,single-layer top-Shapley subset,,
4,single_layer,1,raw,nan,1.0,DBCA,False,single-layer top-Shapley subset,,
4,single_layer,2,raw,nan,1.0,DBCA,False,single-layer top-Shapley subset,,
4,single_layer,3,raw,nan,1.0,DBCA,False,single-layer top-Shapley subset,,
4,single_layer,4,raw,nan,1.0,DBCA,False,single-layer top-Shapley subset,,
4,single_layer,5,raw,nan,1.0,DBCA,False,single-layer top-Shapley subset,,
4,single_layer,full_LOO,raw,nan,1.0,DBCA,False,single-layer top-Shapley subset,,
4,single_layer,0,p50,nan,1.0,DBCA,False,single-layer top-Shapley subset,,
4,single_layer,1,p50,nan,1.0,DBCA,False,single-layer top-Shapley subset,,
4,single_layer,2,p50,nan,1.0,DBCA,False,single-layer top-Shapley subset,,
4,single_layer,3,p50,nan,1.0,DBCA,False,single-layer top-Shapley subset,,
4,single_layer,4,p50,nan,1.0,DBCA,False,single-layer top-Shapley subset,,
4,single_layer,5,p50,nan,1.0,DBCA,False,single-layer top-Shapley subset,,
4,single_layer,full_LOO,p50,nan,1.0,DBCA,False,single-layer top-Shapley subset,,
4,single_layer,0,p30,nan,1.0,DBCA,False,single-layer top-Shapley subset,,
4,single_layer,1,p30,nan,1.0,DBCA,False,single-layer top-Shapley subset,,
4,single_layer,2,p30,nan,1.0,DBCA,False,single-layer top-Shapley subset,,
4,single_layer,3,p30,nan,1.0,DBCA,False,single-layer top-Shapley subset,,
4,single_layer,4,p30,nan,1.0,DBCA,False,single-layer top-Shapley subset,,
4,single_layer,5,p30,nan,1.0,DBCA,False,single-layer top-Shapley subset,,
4,single_layer,full_LOO,p30,nan,1.0,DBCA,False,single-layer top-Shapley subset,,
4,dual_layer,0,raw,nan,1.0,HDGE,False,dual-layer top-Shapley subset,,
4,dual_layer,1,raw,nan,1.0,HDGE,False,dual-layer top-Shapley subset,,
4,dual_layer,2,raw,nan,1.0,HDGE,False,dual-layer top-Shapley subset,,
4,dual_layer,3,raw,nan,1.0,HDGE,False,dual-layer top-Shapley subset,,
4,dual_layer,4,raw,nan,1.0,HDGE,False,dual-layer top-Shapley subset,,
4,dual_layer,5,raw,nan,1.0,HDGE,False,dual-layer top-Shapley subset,,
4,dual_layer,full_LOO,raw,nan,1.0,HDGE,False,dual-layer top-Shapley subset,,
4,dual_layer,0,p50,nan,1.0,HDGE,False,dual-layer top-Shapley subset,,
4,dual_layer,1,p50,nan,1.0,HDGE,False,dual-layer top-Shapley subset,,
4,dual_layer,2,p50,nan,1.0,HDGE,False,dual-layer top-Shapley subset,,
