predictor,pearson_r,p_value
rms_rho,0.08118379091579564,0.8484479030509249
spike_rate,0.30070678344354057,0.4692418479110206
median_abs_rho,0.36740935272430736,0.370592402868818
shapley,0.12148236858335562,0.7744516777577609
layer_binary,-0.45989018726729464,0.2515743863011928
anchor_height_mm,-0.45784887820501036,0.25395970679682206
