scenario,config,median_3d,notes
minimal_viable,none,nan,no valid row
standard,8 anchors dual_layer cal=5 p30 HDGEBCAF,62.24686248115063,dual-layer top-Shapley subset
best_achievable_proxy,8 anchors dual_layer cal=1 p30 HDGEBCAF,61.30773112532267,dual-layer top-Shapley subset
