config,description,median_3d,rmse
V5_CV5_baseline,baseline e_i included,67.84873089032392,82.79872650778267
V5_CV5_all_ei_zero,all anchor delays forced to common-mode c,64.499723585218,81.0141554719145
V5_CV5_zero_DF_ei,"LS proxy: zero e_i for anchors D and F, LOO D_tag",64.12075461394636,88.48051798310127
