method,d_tag,median_3d,rmse,quality_error_corr
uniform_range_residual,49.621032516254864,68.73336904937779,88.47210967205874,-0.8203006286495708
quality_weighted_range_residual,42.640801494341986,72.93254536216918,94.62637617717733,-0.8203006286495708
