position_id,anchor_label,contribution_radial,contribution_vertical,rho_mm
ID01,A,-29.925598407904666,-13.32151537582576,-110.83000985194462
ID01,B,-5.299001547178099,-4.513706288485833,-40.3004204609083
ID01,C,22.38970095344494,-0.8281192298149085,-69.07290963281957
ID01,D,-13.071230456410362,1.1047315829107556,48.69500560188817
ID01,E,16.996002589828745,30.333686988592287,73.34338266943178
ID01,F,-5.418304870748473,-20.318951407011106,-53.05757281480328
ID01,G,14.254686457900178,-15.745069623287343,-58.70492939311862
ID01,H,25.155725383856755,-53.251010838550506,-171.7369878651748
ID02,A,-4.641170143991358,12.117197531606902,-29.440990889295335
ID02,B,0.030017242152871573,-0.07623476183267959,0.18353529133923985
ID02,C,18.186066080750123,23.414947498446605,-71.37376175818417
ID02,D,-36.64865818479323,-44.84929497004145,140.31044618198393
ID02,E,-2.8935742884339755,-5.037881802858938,-16.82307835192796
ID02,F,-0.30155822306310137,-0.8380378993377597,-2.4464589063757103
ID02,G,9.544006491136463,-8.017753566945023,-32.79905361085957
ID02,H,6.707581237873949,-7.179740505356543,-26.067932148914224
ID03,A,-25.32567985695942,57.28954563362113,-138.5854065365952
ID03,B,21.27086170867358,-46.78442957095794,111.7585087117809
ID03,C,48.60589651125642,68.76596503673457,-235.71670281592287
ID03,D,-54.43601022047643,-70.06967508786362,245.0577000023759
ID03,E,-7.829108980748896,4.8656502550042315,-36.21651716287147
ID03,F,-7.288430921659832,4.586024595378749,-45.88702104647996
ID03,G,21.45341676431351,0.14131502066578885,-64.51641614104437
ID03,H,4.768114165742642,-0.13491850684088544,-15.209304700854773
ID04,A,16.58884484341968,-1.1460747933503417,-68.6347974644591
ID04,B,-10.266950388808208,-7.654145736329541,-44.41641243324284
ID04,C,-5.243652869966113,-7.354799076638457,-57.21565932561657
ID04,D,-5.148168705869693,0.2146461255415145,17.129123737842747
ID04,E,24.288487703026593,-35.531103706816644,-148.9815651928825
ID04,F,15.120117474600635,35.592306434677674,84.72064984747203
ID04,G,-11.866498472822393,-54.463870919771814,-148.7644783764008
ID04,H,4.870592203348051,-5.029238137960867,-21.892665684939402
ID05,A,-85.2364480763386,-94.90505075649344,382.87423117205526
