position_id,temporal_order,timestamp_if_available,capture_time_key,d_tag_loo_residual,error_3d
ID01,1,1779959236.226124,20260528_110629,1.2176271991999315,159.77446683408073
ID02,2,1779959473.75308,20260528_111027,-17.17753471722144,63.23939504971062
ID03,3,1779959680.765367,20260528_111354,-10.297312818618316,89.34969504811832
ID04,4,1779959899.05713,20260528_111732,37.529504259796575,155.83171960619657
ID05,5,1779960103.29305,20260528_112057,27.502712236234125,33.91445582638886
ID06,6,1779960315.304487,20260528_112429,45.07404381601847,127.3376088744864
ID07,7,1779960536.248394,20260528_112810,1.5585263444771726,141.18443980823957
ID08,8,1779960741.995517,20260528_113136,2.1503606625921563,88.05361656121042
ID09,9,1779961142.01512,20260528_113816,-18.54779393151682,66.24728857332062
ID10,10,1779961382.542006,20260528_114216,12.810806830552735,65.77819319394413
ID11,11,1779961597.707758,20260528_114551,36.44747460947266,33.756755324112426
ID12,12,1779961949.242325,20260528_115143,27.27017602391414,96.4908142458859
ID13,13,1779962270.441361,20260528_115704,7.960246682324531,69.45017320732723
ID14,14,1779962529.172711,20260528_120122,-13.590202992738632,82.8225052415679
ID15,15,1779962723.644514,20260528_120437,-14.548208643481175,72.0224974482219
ID16,16,1779962930.619326,20260528_120804,-5.551295387008906,21.602477704908747
ID17,17,1779963166.332691,20260528_121200,-60.53837138690952,37.64346510027109
ID18,18,1779963365.024077,20260528_121519,-21.259017617398662,29.22763441318644
ID19,19,1779963572.355887,20260528_121846,-7.922034101136461,87.70253218277773
ID20,20,1779963776.697201,20260528_122210,-33.794940322718645,35.986977835660255
ID21,21,1779964017.370951,20260528_122611,-6.2452072776921455,35.05226238484205
ID22,22,1779964233.186533,20260528_122946,-14.68172397849002,34.43674655900833
ID23,23,1779964429.947194,20260528_123303,3.942904964010623,74.09866016175779
ID24,24,1779964683.795216,20260528_123717,8.660687082498576,44.98941471744787
