phase_bin_deg,n_samples,err3d_mean_mm,err3d_rmse_mm,err3d_p50_mm,err3d_p90_mm,err3d_p95_mm,err3d_max_mm,err_horizontal_xz_mean_mm,err_horizontal_xz_rmse_mm,err_horizontal_xz_p50_mm,err_horizontal_xz_p90_mm,err_horizontal_xz_p95_mm,err_horizontal_xz_max_mm,err_vertical_y_mean_mm,err_vertical_y_rmse_mm,err_vertical_y_p50_mm,err_vertical_y_p90_mm,err_vertical_y_p95_mm,err_vertical_y_max_mm,abs_radius_mean_mm,abs_radius_rmse_mm,abs_radius_p50_mm,abs_radius_p90_mm,abs_radius_p95_mm,abs_radius_max_mm
0-90,9669,113.80172579504178,130.318513989236,104.9889322097182,179.97199529097537,207.30836910843558,786.4252267057134,69.00467036760787,81.17180798096598,61.05881343746636,123.28427240971234,144.56277983244058,388.5143663118724,78.59612932823971,101.95122695418576,67.2780401086078,151.69671182068615,180.78188804211723,697.2625554357185,59.34403618743923,73.55754333348185,52.09042550719971,119.11791876194071,140.477400284971,376.9926169367053
180-270,10729,117.42709291678491,132.85705811626949,108.96538197649078,186.71618143606943,219.70554694397205,739.8788472400029,71.14661083146106,83.33609000404455,63.06704090786569,128.46791789375825,154.06253900866005,384.8533625717627,82.27466253501632,103.47025656751606,72.64637137724276,157.0925222611539,185.98606849300356,707.7945763171992,63.549233769670465,80.78373383292809,53.53580515721768,127.45237777629067,155.8940547427505,406.7031748914854
270-360,9644,104.96405067501253,117.10096891842122,98.05169488379954,170.73244917925314,195.67666103249317,622.7698931750455,67.55341210085221,78.20317431895877,60.46749221664709,119.30450012923882,138.94923416780136,589.3011263896676,69.10295317148422,87.16019990839627,58.52432032764409,141.27415857941367,166.17297229880205,444.445899616144,55.966382606126515,70.70893746243505,46.810013593793855,115.9436579455816,138.27347235873762,401.6839354739252
90-180,10619,112.33514790590893,125.30890951532997,105.33284873487894,178.48310114968479,208.00314900231626,698.218739843438,68.00080326355943,80.00184135410508,60.49433318664454,121.03096699552447,145.42947240868259,424.9338693966557,78.02475051011713,96.44702268019348,68.54728996712129,150.15121705799606,177.4610445948985,646.096456801421,65.2368030799671,81.81579686104624,55.93114323271237,131.79573018810615,156.40484249702592,476.20649233780347
