node,implementation,time_s,block,trace,min_eigenvalue,max_eigenvalue,max_abs
BSF3C79,legacy,0.05,position,0.030075,0.010025,0.010025,0.010025
BSF3C79,legacy,0.05,velocity,0.063117084219,0.010745,0.0398668046995,0.0398233917842
BSF3C79,legacy,0.05,attitude,9.88495713716,0.00761568893211,9.86972566592,9.86960474425
BSF3C79,legacy,0.05,accel_bias,0.0300006,0.0100002,0.0100002,0.0100002
BSF3C79,legacy,0.05,gyro_bias,3.65542731449e-05,1.2184757715e-05,1.2184757715e-05,1.2184757715e-05
BSF3C79,legacy,0.05,position__velocity,,,,0.000500000000001
BSF3C79,legacy,0.05,position__attitude,,,,0.0
BSF3C79,legacy,0.05,position__accel_bias,,,,0.0
BSF3C79,legacy,0.05,position__gyro_bias,,,,0.0
BSF3C79,legacy,0.05,velocity__attitude,,,,0.519478203329
BSF3C79,legacy,0.05,velocity__accel_bias,,,,0.00049759909079
BSF3C79,legacy,0.05,velocity__gyro_bias,,,,0.0
BSF3C79,legacy,0.05,attitude__accel_bias,,,,0.0
BSF3C79,legacy,0.05,attitude__gyro_bias,,,,6.09234839574e-07
BSF3C79,legacy,0.05,accel_bias__gyro_bias,,,,0.0
BSF3C79,legacy,0.151,position,0.0303827927105,0.0101018625,0.0101746670117,0.0101745584795
BSF3C79,legacy,0.151,velocity,0.130735466297,0.0115400010769,0.100259681508,0.0809814732034
BSF3C79,legacy,0.151,attitude,9.88542650292,0.00761603012422,9.87019401067,9.87004428632
BSF3C79,legacy,0.151,accel_bias,0.0300012,0.0100004,0.0100004,0.0100004
BSF3C79,legacy,0.151,gyro_bias,3.65544559153e-05,1.21848186384e-05,1.21848186384e-05,1.21848186384e-05
BSF3C79,legacy,0.151,position__velocity,,,,0.00327729110961
BSF3C79,legacy,0.151,position__attitude,,,,0.025973635318
BSF3C79,legacy,0.151,position__accel_bias,,,,2.48799545395e-05
BSF3C79,legacy,0.151,position__gyro_bias,,,,0.0
BSF3C79,legacy,0.151,velocity__attitude,,,,0.782826568453
BSF3C79,legacy,0.151,velocity__accel_bias,,,,0.000995203133862
BSF3C79,legacy,0.151,velocity__gyro_bias,,,,2.22734577385e-07
BSF3C79,legacy,0.151,attitude__accel_bias,,,,0.0
BSF3C79,legacy,0.151,attitude__gyro_bias,,,,1.21847272532e-06
BSF3C79,legacy,0.151,accel_bias__gyro_bias,,,,0.0
BSF3C79,legacy,0.152,position,0.0312626513763,0.0102345625037,0.0107526217589,0.0107047412734
BSF3C79,legacy,0.152,velocity,0.323522657665,0.0123850044224,0.281874850942,0.256517572898
BSF3C79,legacy,0.152,attitude,9.88923818579,0.00761641804308,9.874001984,9.86863237305
BSF3C79,legacy,0.152,accel_bias,0.0300018,0.0100006,0.0100006,0.0100006
BSF3C79,legacy,0.152,gyro_bias,3.65546386858e-05,1.21848795619e-05,1.21848795619e-05,1.21848795619e-05
BSF3C79,legacy,0.152,position__velocity,,,,0.0123270506956
BSF3C79,legacy,0.152,position__attitude,,,,0.0651028486447
BSF3C79,legacy,0.152,position__accel_bias,,,,7.46401112325e-05
BSF3C79,legacy,0.152,position__gyro_bias,,,,1.11367288693e-08
BSF3C79,legacy,0.152,velocity__attitude,,,,1.4979479813
BSF3C79,legacy,0.152,velocity__accel_bias,,,,0.00149277892497
BSF3C79,legacy,0.152,velocity__gyro_bias,,,,6.64767806677e-07
BSF3C79,legacy,0.152,attitude__accel_bias,,,,0.0
BSF3C79,legacy,0.152,attitude__gyro_bias,,,,1.82771199108e-06
BSF3C79,legacy,0.152,accel_bias__gyro_bias,,,,0.0
BSF3C79,legacy,0.2,position,0.0338212812492,0.01042745003,0.0128001987693,0.0125787402752
BSF3C79,legacy,0.2,velocity,0.510864279598,0.0132800194942,0.454542040029,0.423529178718
BSF3C79,legacy,0.2,attitude,9.88929790348,0.00761694714486,9.87406064473,9.86780269574
BSF3C79,legacy,0.2,accel_bias,0.0300024,0.0100008,0.0100008,0.0100008
BSF3C79,legacy,0.2,gyro_bias,3.65548214562e-05,1.21849404854e-05,1.21849404854e-05,1.21849404854e-05
BSF3C79,legacy,0.2,position__velocity,,,,0.0319527915622
BSF3C79,legacy,0.2,position__attitude,,,,0.139991692245
BSF3C79,legacy,0.2,position__accel_bias,,,,0.000149279057481
BSF3C79,legacy,0.2,position__gyro_bias,,,,4.43165429146e-08
BSF3C79,legacy,0.2,velocity__attitude,,,,1.93812040797
BSF3C79,legacy,0.2,velocity__accel_bias,,,,0.00199039934364
BSF3C79,legacy,0.2,velocity__gyro_bias,,,,1.30938336475e-06
BSF3C79,legacy,0.2,attitude__accel_bias,,,,0.0
BSF3C79,legacy,0.2,attitude__gyro_bias,,,,2.43696702427e-06
BSF3C79,legacy,0.2,accel_bias__gyro_bias,,,,0.0
BSF3C79,legacy,0.25,position,0.0392273826716,0.0106852500615,0.0173939021428,0.0168328423783
BSF3C79,legacy,0.25,velocity,0.818850827655,0.0142250149251,0.743946376999,0.686720440004
BSF3C79,legacy,0.25,attitude,9.88938724606,0.00761747735242,9.8741488755,9.86911548537
BSF3C79,legacy,0.25,accel_bias,0.030003,0.010001,0.010001,0.010001
BSF3C79,legacy,0.25,gyro_bias,3.65550042267e-05,1.21850014089e-05,1.21850014089e-05,1.21850014089e-05
BSF3C79,legacy,0.25,position__velocity,,,,0.0672157102613
BSF3C79,legacy,0.25,position__attitude,,,,0.236915647315
BSF3C79,legacy,0.25,position__accel_bias,,,,0.000248799024663
BSF3C79,legacy,0.25,position__gyro_bias,,,,1.09758717126e-07
BSF3C79,legacy,0.25,velocity__attitude,,,,2.48627454207
BSF3C79,legacy,0.25,velocity__accel_bias,,,,0.00248804039084
BSF3C79,legacy,0.25,velocity__gyro_bias,,,,2.17528052967e-06
BSF3C79,legacy,0.25,attitude__accel_bias,,,,0.0
BSF3C79,legacy,0.25,attitude__gyro_bias,,,,3.04620670662e-06
BSF3C79,legacy,0.25,accel_bias__gyro_bias,,,,0.0
BSF3C79,legacy,0.3,position,0.0496108660775,0.011013062683,0.0265418653726,0.0252712145044
BSF3C79,legacy,0.3,velocity,1.07957693862,0.0152200282889,0.981759479168,0.845540110227
BSF3C79,legacy,0.3,attitude,9.88964229877,0.00761940915148,9.87439998343,9.86704323496
BSF3C79,legacy,0.3,accel_bias,0.0300036,0.0100012,0.0100012,0.0100012
BSF3C79,legacy,0.3,gyro_bias,3.65551869971e-05,1.21850623324e-05,1.21850623324e-05,1.21850623324e-05
BSF3C79,legacy,0.3,position__velocity,,,,0.112446522755
BSF3C79,legacy,0.3,position__attitude,,,,0.361178206957
BSF3C79,legacy,0.3,position__accel_bias,,,,0.000373201044205
BSF3C79,legacy,0.3,position__gyro_bias,,,,2.1852274361e-07
BSF3C79,legacy,0.3,velocity__attitude,,,,2.74428852778
BSF3C79,legacy,0.3,velocity__accel_bias,,,,0.00298577506884
BSF3C79,legacy,0.3,velocity__gyro_bias,,,,3.28666564252e-06
BSF3C79,legacy,0.3,attitude__accel_bias,,,,0.0
BSF3C79,legacy,0.3,attitude__gyro_bias,,,,3.65534411983e-06
BSF3C79,legacy,0.3,accel_bias__gyro_bias,,,,0.0
BSF3C79,legacy,0.351,position,0.0664371970353,0.0114163629719,0.0415549795577,0.0386297170555
BSF3C79,legacy,0.351,velocity,1.5893482102,0.0162650446243,1.46486787003,1.3192789353
BSF3C79,legacy,0.351,attitude,9.8896468223,0.00762004258163,9.87440324077,9.86725115415
BSF3C79,legacy,0.351,accel_bias,0.0300042,0.0100014,0.0100014,0.0100014
BSF3C79,legacy,0.351,gyro_bias,3.65553697676e-05,1.21851232559e-05,1.21851232559e-05,1.21851232559e-05
BSF3C79,legacy,0.351,position__velocity,,,,0.192738270846
BSF3C79,legacy,0.351,position__attitude,,,,0.498399799922
BSF3C79,legacy,0.351,position__accel_bias,,,,0.000522489797647
BSF3C79,legacy,0.351,position__gyro_bias,,,,3.82638744497e-07
BSF3C79,legacy,0.351,velocity__attitude,,,,3.45762420469
BSF3C79,legacy,0.351,velocity__accel_bias,,,,0.00348355296693
BSF3C79,legacy,0.351,velocity__gyro_bias,,,,4.61754348305e-06
BSF3C79,legacy,0.351,attitude__accel_bias,,,,0.0
BSF3C79,legacy,0.351,attitude__gyro_bias,,,,4.26467295916e-06
BSF3C79,legacy,0.351,accel_bias__gyro_bias,,,,0.0
BSF3C79,legacy,0.45,position,0.094008382131,0.0119010010407,0.0665542505825,0.0612017414782
BSF3C79,legacy,0.45,velocity,2.37050655656,0.0173600713753,2.21661411621,2.14463064338
BSF3C79,legacy,0.45,attitude,9.8899052824,0.00762075893195,9.87466014738,9.86514590017
BSF3C79,legacy,0.45,accel_bias,0.0300048,0.0100016,0.0100016,0.0100016
BSF3C79,legacy,0.45,gyro_bias,3.6555552538e-05,1.21851841793e-05,1.21851841793e-05,1.21851841793e-05
BSF3C79,legacy,0.45,position__velocity,,,,0.328912667203
BSF3C79,legacy,0.45,position__attitude,,,,0.671201499451
BSF3C79,legacy,0.45,position__accel_bias,,,,0.000696667445993
BSF3C79,legacy,0.45,position__gyro_bias,,,,6.13515918649e-07
BSF3C79,legacy,0.45,velocity__attitude,,,,4.4518789278
BSF3C79,legacy,0.45,velocity__accel_bias,,,,0.00398131540137
BSF3C79,legacy,0.45,velocity__gyro_bias,,,,6.12736261216e-06
BSF3C79,legacy,0.45,attitude__accel_bias,,,,0.0
BSF3C79,legacy,0.45,attitude__gyro_bias,,,,4.87393582224e-06
BSF3C79,legacy,0.45,accel_bias__gyro_bias,,,,0.0
BSF3C79,legacy,0.452,position,0.137929508262,0.0124732019471,0.106947239492,0.0994545848071
BSF3C79,legacy,0.452,velocity,3.28171715707,0.0185051092895,3.09471671453,3.04815078862
BSF3C79,legacy,0.452,attitude,9.88997637761,0.00762158141056,9.87472954507,9.86673076392
BSF3C79,legacy,0.452,accel_bias,0.0300054,0.0100018,0.0100018,0.0100018
BSF3C79,legacy,0.452,gyro_bias,3.65557353085e-05,1.21852451028e-05,1.21852451028e-05,1.21852451028e-05
BSF3C79,legacy,0.452,position__velocity,,,,0.519081977342
BSF3C79,legacy,0.452,position__attitude,,,,0.893878861903
BSF3C79,legacy,0.452,position__accel_bias,,,,0.000895733216062
BSF3C79,legacy,0.452,position__gyro_bias,,,,9.19605405796e-07
BSF3C79,legacy,0.452,velocity__attitude,,,,5.33170324582
BSF3C79,legacy,0.452,velocity__accel_bias,,,,0.00447909706027
BSF3C79,legacy,0.452,velocity__gyro_bias,,,,7.84494893585e-06
BSF3C79,legacy,0.452,attitude__accel_bias,,,,0.0
BSF3C79,legacy,0.452,attitude__gyro_bias,,,,5.4830791306e-06
BSF3C79,legacy,0.452,accel_bias__gyro_bias,,,,0.0
BSF3C79,legacy,0.55,position,0.204146805501,0.0131395660866,0.168448951829,0.158983159513
BSF3C79,legacy,0.55,velocity,4.07506155783,0.0197001532106,3.84992179429,3.77611255416
BSF3C79,legacy,0.55,attitude,9.88999104103,0.00762240426076,9.87474256788,9.86694900733
BSF3C79,legacy,0.55,accel_bias,0.030006,0.010002,0.010002,0.010002
BSF3C79,legacy,0.55,gyro_bias,3.65559180789e-05,1.21853060263e-05,1.21853060263e-05,1.21853060263e-05
BSF3C79,legacy,0.55,position__velocity,,,,0.746948042403
BSF3C79,legacy,0.55,position__attitude,,,,1.16047405294
BSF3C79,legacy,0.55,position__accel_bias,,,,0.00111968806908
BSF3C79,legacy,0.55,position__gyro_bias,,,,1.31185285259e-06
BSF3C79,legacy,0.55,velocity__attitude,,,,5.93710018132
BSF3C79,legacy,0.55,velocity__accel_bias,,,,0.00497689082979
BSF3C79,legacy,0.55,velocity__gyro_bias,,,,9.84007797544e-06
BSF3C79,legacy,0.55,attitude__accel_bias,,,,0.0
BSF3C79,legacy,0.55,attitude__gyro_bias,,,,6.09236177787e-06
BSF3C79,legacy,0.55,accel_bias__gyro_bias,,,,0.0
BSF3C79,legacy,0.551,position,0.297285358256,0.0139070688093,0.255406264088,0.243118245139
BSF3C79,legacy,0.551,velocity,4.70668694245,0.0209451963652,4.43914415835,4.30949515123
BSF3C79,legacy,0.551,attitude,9.89004761763,0.0076232722043,9.87479737156,9.86576676501
BSF3C79,legacy,0.551,accel_bias,0.0300066,0.0100022,0.0100022,0.0100022
BSF3C79,legacy,0.551,gyro_bias,3.65561008494e-05,1.21853669498e-05,1.21853669498e-05,1.21853669498e-05
BSF3C79,legacy,0.551,position__velocity,,,,0.99951115627
BSF3C79,legacy,0.551,position__attitude,,,,1.45722982778
BSF3C79,legacy,0.551,position__accel_bias,,,,0.00136853261057
BSF3C79,legacy,0.551,position__gyro_bias,,,,1.80385675136e-06
BSF3C79,legacy,0.551,velocity__attitude,,,,6.33264774482
BSF3C79,legacy,0.551,velocity__accel_bias,,,,0.00547470796111
BSF3C79,legacy,0.551,velocity__gyro_bias,,,,1.20716490562e-05
BSF3C79,legacy,0.551,attitude__accel_bias,,,,0.0
