block_trace_max_abs_difference,covariance_max_abs_difference,interval,node,phi_max_abs_difference,qd_max_abs_difference,reference_cholesky,reference_lambda_max,reference_lambda_min,reference_relative_min,time_s,production_cholesky,production_lambda_max,production_lambda_min
0.0,2.77555756156e-17,one_step,SYNTHETIC,6.93889390391e-18,7.94093388051e-23,True,9.86960465087,1.21847089084e-05,1.23456909769e-06,0.05,,,
0.0,1.69406589451e-21,one_second,SYNTHETIC,6.93889390391e-18,7.94093388051e-23,True,9.86962084507,1.21678142153e-05,1.23285528454e-06,1.0,,,
8.21565038223e-15,2.0872192863e-14,sixty_seconds,SYNTHETIC,6.93889390391e-18,7.94093388051e-23,True,9.90821031376,7.11754940758e-06,7.18348640388e-07,60.0,,,
1.65423230669e-13,1.87405646557e-13,first_failure_time,SYNTHETIC,6.93889390391e-18,7.94093388051e-23,True,13.8853748572,4.6417868443e-07,3.34293232413e-08,596.1,,,
5.43707301404e-09,4.73301042803e-09,complete_7.284h,SYNTHETIC,6.93889390391e-18,7.94093388051e-23,True,15710.0893507,9.41041882676e-06,5.99004793461e-10,26222.15,,,
0.0,4.16333634234e-17,one_step,BSF3C79,2.66984784975e-16,1.05879118407e-22,True,9.86960465088,1.21847088993e-05,1.23456909677e-06,0.05,True,9.86960465088,1.21847088994e-05
3.56919355182e-15,3.5527136788e-15,one_second,BSF3C79,1.49945160455e-16,5.29395592034e-23,True,9.86962097041,1.21664304369e-05,1.23271506305e-06,1.05,True,9.86962097041,1.21664304369e-05
1.80133685745e-14,2.04281036531e-14,sixty_seconds,BSF3C79,6.28776273669e-16,7.94093388051e-23,True,9.91003888246,1.88647821379e-06,1.90360324129e-07,60.0,True,9.91003888246,1.88647821379e-06
4.71844785466e-14,9.59232693276e-14,first_failure_time,BSF3C79,1.11022302463e-16,1.05879118407e-22,True,10.3452932743,2.62436329576e-07,2.53677032267e-08,596.1,True,10.3452932743,2.62436329577e-07
1.50906487306e-09,1.40425981954e-09,complete_7.284h,BSF3C79,2.05998412772e-17,1.05879118407e-22,True,15373.8667807,3.05809657697e-06,1.98915251484e-10,26217.451,True,15373.8667807,3.05809657698e-06
1.7763568394e-15,1.7763568394e-15,one_step,BSFC2CC,1.11022302463e-16,5.29395592034e-23,True,9.86960465088,1.21847088994e-05,1.23456909678e-06,0.055,True,9.86960465088,1.21847088991e-05
1.06616104834e-14,1.06581410364e-14,one_second,BSFC2CC,1.30890307273e-16,5.29395592034e-23,True,9.86962097084,1.21664291017e-05,1.23271492772e-06,1.005,True,9.86962097084,1.21664291013e-05
3.19327897458e-14,3.19744231092e-14,sixty_seconds,BSFC2CC,1.11022302463e-16,7.94093388051e-23,True,9.91360860015,1.88539410277e-06,1.90182422851e-07,60.006,True,9.91360860015,1.88539410277e-06
2.11497486191e-14,4.39648317752e-14,first_failure_time,BSFC2CC,1.11022302463e-16,7.94093388051e-23,True,15.1522268403,7.04867024722e-07,4.65190385644e-08,664.005,True,15.1522268403,7.04867024721e-07
2.65032440439e-10,2.76486389339e-10,complete_7.284h,BSFC2CC,1.11022302463e-16,1.05879118407e-22,True,15520.9484303,4.51261429365e-06,2.9074346287e-10,26222.105,True,15520.9484303,4.51261429367e-06
