label,experiment_id,capture_id,tag,seed_id,b0_err3d_p50_mm,b0_err3d_p95_mm,b0_err3d_rmse_mm,fusion_err3d_p50_mm,fusion_err3d_p95_mm,fusion_err3d_rmse_mm,improvement_p95_mm,b0_jump_xz_p99_mm,b0_max_jump_xz_mm,b0_jump_xz_gt200_count,fusion_jump_xz_p99_mm,fusion_max_jump_xz_mm,fusion_jump_xz_gt200_count,b0_vertical_z_p95_mm,fusion_vertical_z_p95_mm
L2 MPU6050/JY61P-like,X_A0_U4_P4_L2_I5_T3,R01,BS2DCE,S00,122.44387286762633,595.4802850951193,237.79541278947428,93.30304668825515,188.35418921524666,112.3287634131304,407.1260958798726,425.7784876823406,506.5131539933668,178,102.74515662414909,116.89116376104275,0,545.1237261143797,174.8189959037977
L16 ICM-45686,X_A0_U4_P4_L16_I6_T4,R01,BS2DCE,S00,122.44387286762633,595.4802850951193,237.79541278947428,85.54412752220887,183.25912777867214,108.06025512382793,412.22115731644715,425.7784876823406,506.5131539933668,178,108.50072017960258,125.63100936257199,0,545.1237261143797,174.01181548376178
L20 Xsens MTi-3,X_A0_U4_P4_L20_I3_T2,R01,BS2DCE,S00,122.44387286762633,595.4802850951193,237.79541278947428,81.21243833713416,166.62245188984008,97.3755451630927,428.8578332052792,425.7784876823406,506.5131539933668,178,117.78285533838697,154.76662854203235,0,545.1237261143797,157.01543286077526
