mode,gamma_abs,gamma_signed,resolution_cm,z_floor_mm,n_positions,horizontal_median_mm,vertical_abs_median_mm,vertical_signed_median_mm,pos_3d_median_mm,horizontal_p95_mm,vertical_abs_p95_mm,pos_3d_p95_mm,vertical_dominance,low_worst,measured_order_low_high_mid,sign_match_low,sign_match_all_tiers,range_bias_mean_mm,range_bias_median_mm,range_bias_p95_mm,excess_path_median_mm,excess_path_p95_mm,tau_median_ns,tau_res_ns,low_pred_vertical_signed_median_mm,low_pred_vertical_abs_median_mm,low_pred_horizontal_median_mm,low_pred_3d_median_mm,low_measured_abs_vertical_target_mm,low_measured_signed_vertical_median_mm,low_pred_signed_sign,low_measured_signed_sign,mid_pred_vertical_signed_median_mm,mid_pred_vertical_abs_median_mm,mid_pred_horizontal_median_mm,mid_pred_3d_median_mm,mid_measured_abs_vertical_target_mm,mid_measured_signed_vertical_median_mm,mid_pred_signed_sign,mid_measured_signed_sign,high_pred_vertical_signed_median_mm,high_pred_vertical_abs_median_mm,high_pred_horizontal_median_mm,high_pred_3d_median_mm,high_measured_abs_vertical_target_mm,high_measured_signed_vertical_median_mm,high_pred_signed_sign,high_measured_signed_sign
ground_reflection_real_static,0.5,-0.5,15.0,0.0,24,1.2458094550808196,5.177398780565466,1.1490672477261512,5.529882009162838,22.149847191632187,10.185676908890567,24.207848764104064,True,True,False,True,False,12.025805783784117,1.323580775075729,66.1263884631406,301.3907658186918,1986.97628444517,1.0053313810139008,0.5003461427972281,-6.920423703985087,6.920423703985087,15.241859239630735,16.364106625829876,112.647,-135.04444805938667,negative,negative,5.32070685973965,5.32070685973965,1.6943882813250808,5.529882009162838,33.251,-32.54319098940789,positive,negative,1.1238414612224914,1.1238414612224914,0.3781494573378335,1.1858106985051151,62.638,85.4046280151224,positive,positive
ground_reflection_real_static,0.5,-0.5,15.0,-100.0,24,0.08459965817965831,0.13471648984440876,0.015402087410859832,0.17833833518372247,20.48901767118015,2.4608458935421527,20.728426828299035,True,True,False,True,False,6.6583847053149,0.010323282282464489,43.51197411500461,447.2665254756949,2166.174220450997,1.491920538827214,0.5003461427972281,-1.3514983290857128,1.836183576881614,13.190294807904959,13.31295680328731,112.647,-135.04444805938667,negative,negative,0.1550182670819678,0.1550182670819678,0.08459965817965831,0.17833833518372247,33.251,-32.54319098940789,positive,negative,0.008778196324586065,0.008778196324586065,0.004969479945735709,0.010115012014102759,62.638,85.4046280151224,positive,positive
ground_reflection_real_static,0.5,-0.5,15.0,-200.0,24,0.000780740277592013,0.0010588189264879476,0.00033923691340602657,0.0013257880066784035,12.182422721335655,1.2419443071769003,12.219186224177976,True,True,False,False,False,2.357360131147492,5.7816384000359695e-06,16.08141371054434,607.0597446800673,2347.3415425463536,2.0249333446542783,0.5003461427972281,0.0894610895540141,0.7205630958905416,7.353758571698967,7.40202569201109,112.647,-135.04444805938667,positive,negative,0.0010588189264879476,0.0010588189264879476,0.000780740277592013,0.0013257880066784035,33.251,-32.54319098940789,positive,negative,1.1791534440460433e-05,1.1791534440460433e-05,8.391184184018924e-06,1.4507550079141954e-05,62.638,85.4046280151224,positive,positive
ground_reflection_real_static,0.5,-0.5,15.0,-300.0,24,1.2368535201513207e-06,1.4548587131436065e-06,1.7739293793784426e-07,1.9146198842671745e-06,3.3721313344216597,0.4729281862634105,3.390177258105208,True,True,False,False,False,0.41504607919496084,3.4593138174243296e-10,2.422870834818992,766.771799080649,2530.222754238384,2.557675413837959,0.5003461427972281,0.14098983875418955,0.20063196540483627,1.6800886944589954,1.692830330868873,112.647,-135.04444805938667,positive,negative,1.4548587131436065e-06,1.4548587131436065e-06,1.2368535201513207e-06,1.9146198842671745e-06,33.251,-32.54319098940789,positive,negative,2.2645634443410636e-09,2.2645634443410636e-09,1.5583084373613522e-09,2.7497974605829783e-09,62.638,85.4046280151224,positive,positive
ground_reflection_real_static,0.5,-0.5,30.0,0.0,24,13.551226543220086,96.17235704376205,70.19420673552082,103.47080853510583,54.79024446426458,114.54910046629341,125.20795690699907,True,True,False,True,False,53.43974345924011,54.67152220851934,145.35153185852846,301.3907658186918,1986.97628444517,1.0053313810139008,1.0006922855944562,-105.23676763160117,105.23676763160117,37.30881441781703,106.77865797670822,112.647,-135.04444805938667,negative,negative,104.60156967551936,104.60156967551936,15.04717184261194,105.93177032962464,33.251,-32.54319098940789,positive,negative,70.19420673552082,70.19420673552082,8.159542291860614,70.49601783575025,62.638,85.4046280151224,positive,positive
ground_reflection_real_static,0.5,-0.5,30.0,-100.0,24,7.868104144928376,35.91521531405917,18.459236959832715,40.12090407172682,49.71674814726497,43.24436609432663,64.11804581749756,True,False,False,True,False,31.387939396785725,16.246780943822863,130.91158504910848,447.2665254756949,2166.174220450997,1.491920538827214,1.0006922855944562,-36.936303151248964,36.936303151248964,33.433077935407766,46.687660552915716,112.647,-135.04444805938667,negative,negative,40.57141728511877,40.57141728511877,8.590377291852562,41.13654898079164,33.251,-32.54319098940789,positive,negative,18.459236959832715,18.459236959832715,3.6600202165134483,18.659984553196857,62.638,85.4046280151224,positive,positive
ground_reflection_real_static,0.5,-0.5,30.0,-200.0,24,2.060670378712018,9.7038240876516,2.899163693905922,10.491074645994619,44.088639058177,11.425897119262702,44.401761335210345,True,True,False,True,False,18.25874097436222,2.499212157816287,102.07203958891603,607.0597446800673,2347.3415425463536,2.0249333446542783,1.0006922855944562,-10.122166363478499,10.122166363478499,28.71923835925103,30.00148282846319,112.647,-135.04444805938667,negative,negative,9.943211975803242,9.943211975803242,3.0533513333700366,10.491074645994619,33.251,-32.54319098940789,positive,negative,2.8424631684304744,2.8424631684304744,0.8762624947931924,3.0874319497402367,62.638,85.4046280151224,positive,positive
ground_reflection_real_static,0.5,-0.5,30.0,-300.0,24,0.5781148735533788,1.3584044925676761,0.32378572394022415,1.6569655725698227,35.351485640653685,3.9565981580648066,35.69897697454102,True,True,False,True,False,9.897872939459164,0.21863831095197353,63.59280873357059,766.771799080649,2530.222754238384,2.557675413837959,1.0006922855944562,-2.1068631871318892,2.9963803621068186,22.218691418941614,22.419740910987624,112.647,-135.04444805938667,negative,negative,1.5068794693269676,1.5068794693269676,0.6342655214211612,1.6569655725698227,33.251,-32.54319098940789,positive,negative,0.26623903573975194,0.26623903573975194,0.11014320670107874,0.2896056873437771,62.638,85.4046280151224,positive,positive
ground_reflection_real_static,0.5,-0.5,60.0,0.0,24,29.806416389547312,366.7889385000787,339.2946793429262,376.2735602935038,107.72814479746143,399.31932375158516,401.7530698605908,True,True,False,True,False,167.41753359135114,233.09801870366854,297.64825535189755,301.3907658186918,1986.97628444517,1.0053313810139008,2.0013845711889124,-392.05392963498025,392.05392963498025,74.66937966907355,395.84348139310555,112.647,-135.04444805938667,negative,negative,381.10187213671145,381.10187213671145,32.86753304702227,383.98003107967367,33.251,-32.54319098940789,positive,negative,353.16897778871396,353.16897778871396,18.326535210024904,353.2780542120345,62.638,85.4046280151224,positive,positive
ground_reflection_real_static,0.5,-0.5,60.0,-100.0,24,28.263708241610388,279.0949726532905,251.27599707382774,291.4792044275079,110.02771164106021,304.97226587921807,314.1388138501902,True,False,False,True,False,136.51755846425525,172.10340165030635,289.9632485112223,447.2665254756949,2166.174220450997,1.491920538827214,2.0013845711889124,-295.60052456740385,295.60052456740385,75.06158914522504,299.3765845496322,112.647,-135.04444805938667,negative,negative,299.40306539748406,299.40306539748406,31.70811521883069,302.2709365541426,33.251,-32.54319098940789,positive,negative,251.27599707382774,251.27599707382774,18.907042465767777,251.4683663472349,62.638,85.4046280151224,positive,positive
