height,n,measured_signed_vertical_median_mm,measured_signed_vertical_sign,measured_abs_vertical_target_mm
low,8,-135.04444805938667,negative,112.647
mid,8,-32.54319098940789,negative,33.251
high,8,85.4046280151224,positive,62.638
