sweep,conn_id,peer_name,tag_id,anchor_id,status,raw_mm,filt_mm,quality_percent,ok_count,fail_count
23132,,BSF66F,,4,ok,3806,3806,100,4,0
23132,,BSF66F,,5,ok,2348,2348,100,4,0
23132,,BSF66F,,6,ok,2027,2027,75,3,1
23133,,BSF66F,,0,ok,3669,3669,100,4,0
23133,,BSF66F,,1,ok,2533,2533,100,4,0
10931,,BS2DCE,,0,ok,2560,2560,100,3,0
10931,,BS2DCE,,1,ok,2420,2420,66,2,1
10931,,BS2DCE,,2,ok,3224,3224,66,2,1
10931,,BS2DCE,,3,ok,1632,1632,100,3,0
10931,,BS2DCE,,4,ok,2708,2708,100,3,0
10931,,BS2DCE,,5,ok,2163,2163,100,3,0
23134,,BSF66F,,4,ok,3730,3730,100,5,0
23134,,BSF66F,,5,ok,2332,2332,100,5,0
23134,,BSF66F,,6,ok,1978,1978,80,4,1
23134,,BSF66F,,7,ok,3446,3446,100,5,0
10932,,BS2DCE,,0,timeout,0,2560,75,3,1
10932,,BS2DCE,,1,ok,3023,3023,75,3,1
10932,,BS2DCE,,2,ok,2905,2905,75,3,1
10932,,BS2DCE,,3,ok,1747,1747,100,4,0
10932,,BS2DCE,,4,ok,2733,2733,100,4,0
10932,,BS2DCE,,5,reject,2904,2163,75,3,1
10932,,BS2DCE,,6,reject,2738,3198,75,3,1
8549,,BSDC91,,0,ok,3301,3301,100,2,0
8549,,BSDC91,,1,ok,2449,2449,100,2,0
8549,,BSDC91,,2,ok,2654,2654,100,2,0
8549,,BSDC91,,3,ok,1959,1959,100,2,0
8549,,BSDC91,,4,ok,3222,3222,100,2,0
8549,,BSDC91,,5,ok,2269,2269,100,2,0
8549,,BSDC91,,6,ok,2311,2311,100,2,0
8549,,BSDC91,,7,ok,3321,3321,100,2,0
23135,,BSF66F,,0,ok,3614,3614,100,5,0
23135,,BSF66F,,1,ok,2518,2518,100,5,0
23135,,BSF66F,,2,ok,2149,2149,100,5,0
10933,,BS2DCE,,0,ok,2866,2866,80,4,1
10933,,BS2DCE,,1,timeout,0,3023,60,3,2
10933,,BS2DCE,,2,ok,2899,2899,80,4,1
10933,,BS2DCE,,3,ok,1945,1945,100,5,0
10933,,BS2DCE,,4,ok,2798,2798,100,5,0
10933,,BS2DCE,,5,reject,3344,2163,60,3,2
10933,,BS2DCE,,6,reject,2662,3198,60,3,2
10933,,BS2DCE,,7,reject,2993,3445,60,3,2
23136,,BSF66F,,4,ok,3761,3761,100,6,0
23136,,BSF66F,,5,ok,2325,2325,100,6,0
10934,,BS2DCE,,0,reject,1944,2866,66,4,2
10934,,BS2DCE,,1,reject,3540,3023,50,3,3
10934,,BS2DCE,,2,ok,2872,2872,83,5,1
10934,,BS2DCE,,3,ok,1882,1882,100,6,0
10934,,BS2DCE,,4,ok,2854,2854,100,6,0
10934,,BS2DCE,,5,reject,3058,2163,50,3,3
23137,,BSF66F,,0,ok,3633,3633,100,6,0
23137,,BSF66F,,1,ok,2495,2495,100,6,0
23137,,BSF66F,,2,ok,2167,2167,100,6,0
23137,,BSF66F,,3,ok,2213,2213,100,6,0
10935,,BS2DCE,,0,reject,0,2866,57,4,3
10935,,BS2DCE,,1,timeout,0,3023,42,3,4
10935,,BS2DCE,,2,ok,2878,2878,85,6,1
10935,,BS2DCE,,3,ok,1897,1897,100,7,0
10935,,BS2DCE,,4,ok,2916,2916,100,7,0
10935,,BS2DCE,,5,reject,2713,2163,42,3,4
10935,,BS2DCE,,6,reject,2565,3198,42,3,4
23138,,BSF66F,,4,ok,3752,3752,100,7,0
23138,,BSF66F,,5,ok,2368,2368,100,7,0
23138,,BSF66F,,6,ok,1963,1963,71,5,2
23139,,BSF66F,,0,ok,3688,3688,100,7,0
23139,,BSF66F,,1,ok,2596,2596,100,7,0
10936,,BS2DCE,,0,ok,3105,3105,62,5,3
