sweep,conn_id,peer_name,tag_id,plan,pmode,anchor_label,status,reason,raw_mm,filt_mm,pred_mm,resid_mm,tracker_quality_percent,solve_quality_percent
23132,,BSF66F,,cal_static,4,A,ok,ok,3629,3629,0,0,100,100
23132,,BSF66F,,cal_static,4,B,ok,ok,2539,2539,0,0,100,100
23132,,BSF66F,,cal_static,4,C,ok,ok,2131,2131,0,0,100,100
23132,,BSF66F,,cal_static,4,D,ok,ok,2207,2207,0,0,100,100
23133,,BSF66F,,cal_static,4,E,ok,ok,3806,3806,0,0,100,100
23133,,BSF66F,,cal_static,4,F,ok,ok,2348,2348,0,0,100,100
23133,,BSF66F,,cal_static,4,G,ok,ok,2027,2027,0,0,75,75
23133,,BSF66F,,cal_static,4,H,ok,ok,3483,3483,0,0,100,100
23134,,BSF66F,,cal_static,4,A,ok,ok,3669,3669,0,0,100,100
23134,,BSF66F,,cal_static,4,B,ok,ok,2533,2533,0,0,100,100
23134,,BSF66F,,cal_static,4,C,ok,ok,2137,2137,0,0,100,100
23134,,BSF66F,,cal_static,4,D,ok,ok,2235,2235,0,0,100,100
10932,,BS2DCE,,cal_roto,5,A,ok,ok,2560,2560,0,0,100,100
10932,,BS2DCE,,cal_roto,5,B,ok,ok,2420,2420,0,0,66,66
10932,,BS2DCE,,cal_roto,5,C,ok,ok,3224,3224,0,0,66,66
10932,,BS2DCE,,cal_roto,5,D,ok,ok,1632,1632,0,0,100,100
10932,,BS2DCE,,cal_roto,5,E,ok,ok,2708,2708,0,0,100,100
10932,,BS2DCE,,cal_roto,5,F,ok,ok,2163,2163,0,0,100,100
10932,,BS2DCE,,cal_roto,5,G,ok,ok,3198,3198,0,0,100,100
10932,,BS2DCE,,cal_roto,5,H,ok,ok,3445,3445,0,0,100,100
23135,,BSF66F,,cal_static,4,E,ok,ok,3730,3730,0,0,100,100
23135,,BSF66F,,cal_static,4,F,ok,ok,2332,2332,0,0,100,100
23135,,BSF66F,,cal_static,4,G,ok,ok,1978,1978,0,0,80,80
23135,,BSF66F,,cal_static,4,H,ok,ok,3446,3446,0,0,100,100
10933,,BS2DCE,,cal_roto,5,A,timeout,rx_timeout,0,2560,0,0,75,75
10933,,BS2DCE,,cal_roto,5,B,ok,ok,3023,3023,0,0,75,75
10933,,BS2DCE,,cal_roto,5,C,ok,ok,2905,2905,0,0,75,75
10933,,BS2DCE,,cal_roto,5,D,ok,ok,1747,1747,0,0,100,100
10933,,BS2DCE,,cal_roto,5,E,ok,ok,2733,2733,0,0,100,100
10933,,BS2DCE,,cal_roto,5,F,reject,raw_outlier,2904,2163,0,0,75,75
10933,,BS2DCE,,cal_roto,5,G,reject,raw_outlier,2738,3198,0,0,75,75
8550,,BSDC91,,cal_roto,5,A,ok,ok,3301,3301,0,0,100,100
8550,,BSDC91,,cal_roto,5,B,ok,ok,2449,2449,0,0,100,100
8550,,BSDC91,,cal_roto,5,C,ok,ok,2654,2654,0,0,100,100
8550,,BSDC91,,cal_roto,5,D,ok,ok,1959,1959,0,0,100,100
8550,,BSDC91,,cal_roto,5,E,ok,ok,3222,3222,0,0,100,100
8550,,BSDC91,,cal_roto,5,F,ok,ok,2269,2269,0,0,100,100
8550,,BSDC91,,cal_roto,5,G,ok,ok,2311,2311,0,0,100,100
23136,,BSF66F,,cal_static,4,A,ok,ok,3614,3614,0,0,100,100
23136,,BSF66F,,cal_static,4,B,ok,ok,2518,2518,0,0,100,100
23136,,BSF66F,,cal_static,4,C,ok,ok,2149,2149,0,0,100,100
23136,,BSF66F,,cal_static,4,D,ok,ok,2267,2267,0,0,100,100
