sweep,conn_id,peer_name,tag_id,plan,pmode,solve_reason,quality_flag_percent,active_anchor_count,valid_anchor_count,rms_mm,max_mm,step_mm
11690,,BS2DCE,,cal_roto,5,success,100,4,4,304,491,0
9276,,BSDC91,,cal_roto,5,success,100,4,4,43,61,0
23861,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11691,,BS2DCE,,cal_roto,5,success,100,4,4,455,689,0
9277,,BSDC91,,cal_roto,5,success,100,4,4,99,134,0
23862,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11692,,BS2DCE,,cal_roto,5,success,100,4,4,454,694,0
9278,,BSDC91,,cal_roto,5,success,100,4,4,7,11,0
23863,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11693,,BS2DCE,,cal_roto,5,success,100,4,4,355,500,0
9279,,BSDC91,,cal_roto,5,success,100,4,4,76,90,0
23864,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11694,,BS2DCE,,cal_roto,5,success,100,4,4,52,73,0
9280,,BSDC91,,cal_roto,5,success,100,4,4,26,37,0
23865,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11695,,BS2DCE,,cal_roto,5,success,100,4,4,66,99,0
9281,,BSDC91,,cal_roto,5,success,100,4,4,76,97,0
11696,,BS2DCE,,cal_roto,5,success,100,4,4,92,139,0
23866,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
9282,,BSDC91,,cal_roto,5,success,100,4,4,26,36,0
23867,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11697,,BS2DCE,,cal_roto,5,success,100,4,4,89,128,0
9283,,BSDC91,,cal_roto,5,success,100,4,4,67,80,0
11698,,BS2DCE,,cal_roto,5,pending,97,4,2,0,0,0
23868,,BSF66F,,cal_static,4,pending,99,4,3,0,0,0
9284,,BSDC91,,cal_roto,5,success,100,4,4,130,186,0
11699,,BS2DCE,,cal_roto,5,success,97,4,4,94,111,0
23869,,BSF66F,,cal_static,4,pending,99,4,3,0,0,0
11700,,BS2DCE,,cal_roto,5,pending,95,4,3,0,0,0
9285,,BSDC91,,cal_roto,5,success,100,4,4,145,212,0
11701,,BS2DCE,,cal_roto,5,success,96,4,4,42,59,0
11702,,BS2DCE,,cal_roto,5,success,96,4,4,23,35,0
23870,,BSF66F,,cal_static,4,pending,99,4,4,0,0,0
9286,,BSDC91,,cal_roto,5,success,100,4,4,73,102,0
23871,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11703,,BS2DCE,,cal_roto,5,success,96,4,4,70,97,0
9287,,BSDC91,,cal_roto,5,success,100,4,4,70,107,0
23872,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11704,,BS2DCE,,cal_roto,5,success,96,4,4,41,51,0
9288,,BSDC91,,cal_roto,5,success,100,4,4,116,178,0
23873,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11705,,BS2DCE,,cal_roto,5,success,96,4,4,22,27,0
9289,,BSDC91,,cal_roto,5,success,100,4,4,133,199,0
23874,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11706,,BS2DCE,,cal_roto,5,success,97,4,4,58,65,0
9290,,BSDC91,,cal_roto,5,success,100,4,4,106,162,0
23875,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11707,,BS2DCE,,cal_roto,5,success,97,4,4,98,118,0
9291,,BSDC91,,cal_roto,5,success,100,4,4,88,141,0
11708,,BS2DCE,,cal_roto,5,success,97,4,4,73,88,0
23876,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
9292,,BSDC91,,cal_roto,5,success,100,4,4,32,47,0
23877,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11709,,BS2DCE,,cal_roto,5,success,97,4,4,255,382,0
9293,,BSDC91,,cal_roto,5,success,100,4,4,24,33,0
23878,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11710,,BS2DCE,,cal_roto,5,success,97,4,4,259,410,0
9294,,BSDC91,,cal_roto,5,success,100,4,4,23,32,0
11711,,BS2DCE,,cal_roto,5,success,97,4,4,262,379,0
23879,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
9295,,BSDC91,,cal_roto,5,success,100,4,4,55,76,0
23880,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11712,,BS2DCE,,cal_roto,5,success,97,4,4,342,525,0
9296,,BSDC91,,cal_roto,5,success,100,4,4,81,105,0
23881,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11713,,BS2DCE,,cal_roto,5,success,97,4,4,501,762,0
9297,,BSDC91,,cal_roto,5,success,100,4,4,22,32,0
23882,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11714,,BS2DCE,,cal_roto,5,success,100,4,4,336,499,0
9298,,BSDC91,,cal_roto,5,success,100,4,4,116,140,0
23883,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11715,,BS2DCE,,cal_roto,5,success,100,4,4,7,10,0
9299,,BSDC91,,cal_roto,5,success,100,4,4,93,105,0
23884,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11716,,BS2DCE,,cal_roto,5,success,100,4,4,120,169,0
9300,,BSDC91,,cal_roto,5,success,100,4,4,67,97,0
23885,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11717,,BS2DCE,,cal_roto,5,success,100,4,4,126,181,0
9301,,BSDC91,,cal_roto,5,success,100,4,4,6,8,0
23886,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11718,,BS2DCE,,cal_roto,5,success,100,4,4,95,142,0
9302,,BSDC91,,cal_roto,5,success,100,4,4,137,192,0
23887,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11719,,BS2DCE,,cal_roto,5,success,100,4,4,67,82,0
9303,,BSDC91,,cal_roto,5,success,100,4,4,51,74,0
11720,,BS2DCE,,cal_roto,5,success,100,4,4,36,44,0
23888,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
9304,,BSDC91,,cal_roto,5,success,100,4,4,118,175,0
23889,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11721,,BS2DCE,,cal_roto,5,success,100,4,4,66,103,0
9305,,BSDC91,,cal_roto,5,success,100,4,4,50,74,0
23890,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11722,,BS2DCE,,cal_roto,5,success,100,4,4,78,121,0
9306,,BSDC91,,cal_roto,5,success,100,4,4,81,124,0
23891,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11723,,BS2DCE,,cal_roto,5,success,100,4,4,22,29,0
9307,,BSDC91,,cal_roto,5,success,100,4,4,82,129,0
23892,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11724,,BS2DCE,,cal_roto,5,success,100,4,4,6,8,0
9308,,BSDC91,,cal_roto,5,success,100,4,4,139,218,0
23893,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11725,,BS2DCE,,cal_roto,5,pending,98,4,2,0,0,0
9309,,BSDC91,,cal_roto,5,success,100,4,4,98,143,0
11726,,BS2DCE,,cal_roto,5,pending,97,4,3,0,0,0
23894,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
9310,,BSDC91,,cal_roto,5,success,100,4,4,43,69,0
11727,,BS2DCE,,cal_roto,5,success,97,4,4,116,136,0
23895,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11728,,BS2DCE,,cal_roto,5,success,97,4,4,119,173,0
9311,,BSDC91,,cal_roto,5,success,100,4,4,13,19,0
23896,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11729,,BS2DCE,,cal_roto,5,success,97,4,4,342,515,0
9312,,BSDC91,,cal_roto,5,success,100,4,4,9,13,0
23897,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11730,,BS2DCE,,cal_roto,5,success,100,4,4,243,380,0
9313,,BSDC91,,cal_roto,5,success,100,4,4,24,34,0
23898,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11731,,BS2DCE,,cal_roto,5,success,100,4,4,277,394,0
9314,,BSDC91,,cal_roto,5,success,100,4,4,81,114,0
23899,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11732,,BS2DCE,,cal_roto,5,success,100,4,4,446,688,0
9315,,BSDC91,,cal_roto,5,success,100,4,4,54,72,0
23900,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11733,,BS2DCE,,cal_roto,5,success,100,4,4,419,633,0
9316,,BSDC91,,cal_roto,5,success,100,4,4,10,12,0
23901,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11734,,BS2DCE,,cal_roto,5,success,100,4,4,307,450,0
9317,,BSDC91,,cal_roto,5,success,100,4,4,112,132,0
23902,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11735,,BS2DCE,,cal_roto,5,success,100,4,4,23,33,0
9318,,BSDC91,,cal_roto,5,success,100,4,4,100,113,0
23903,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11736,,BS2DCE,,cal_roto,5,success,100,4,4,94,142,0
9319,,BSDC91,,cal_roto,5,success,100,4,4,58,83,0
23904,,BSF66F,,cal_static,4,pending,98,4,3,0,0,0
11737,,BS2DCE,,cal_roto,5,success,100,4,4,83,125,0
9320,,BSDC91,,cal_roto,5,success,100,4,4,16,19,0
23905,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11738,,BS2DCE,,cal_roto,5,success,100,4,4,83,115,0
9321,,BSDC91,,cal_roto,5,success,100,4,4,65,88,0
23906,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
11739,,BS2DCE,,cal_roto,5,success,100,4,4,125,155,0
9322,,BSDC91,,cal_roto,5,success,100,4,4,98,143,0
23907,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11740,,BS2DCE,,cal_roto,5,success,100,4,4,47,62,0
9323,,BSDC91,,cal_roto,5,success,100,4,4,108,164,0
23908,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
11741,,BS2DCE,,cal_roto,5,success,100,4,4,85,119,0
9324,,BSDC91,,cal_roto,5,success,100,4,4,43,65,0
23909,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11742,,BS2DCE,,cal_roto,5,success,100,4,4,68,87,0
9325,,BSDC91,,cal_roto,5,success,100,4,4,70,109,0
23910,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
11743,,BS2DCE,,cal_roto,5,success,100,4,4,30,39,0
9326,,BSDC91,,cal_roto,5,success,100,4,4,121,166,0
11744,,BS2DCE,,cal_roto,5,success,100,4,4,10,12,0
23911,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
9327,,BSDC91,,cal_roto,5,success,100,4,4,118,182,0
23912,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
11745,,BS2DCE,,cal_roto,5,success,100,4,4,77,101,0
9328,,BSDC91,,cal_roto,5,success,100,4,4,69,108,0
23913,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11746,,BS2DCE,,cal_roto,5,success,100,4,4,152,197,0
9329,,BSDC91,,cal_roto,5,success,100,4,4,31,49,0
11747,,BS2DCE,,cal_roto,5,success,100,4,4,142,198,0
23914,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
9330,,BSDC91,,cal_roto,5,success,100,4,4,10,15,0
11748,,BS2DCE,,cal_roto,5,success,100,4,4,42,51,0
23915,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
9331,,BSDC91,,cal_roto,5,success,100,4,4,70,90,0
23916,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
11749,,BS2DCE,,cal_roto,5,success,100,4,4,243,371,0
9332,,BSDC91,,cal_roto,5,success,100,4,4,41,65,0
23917,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11750,,BS2DCE,,cal_roto,5,success,100,4,4,52,73,0
9333,,BSDC91,,cal_roto,5,success,100,4,4,104,146,0
23918,,BSF66F,,cal_static,4,pending,97,4,3,0,0,0
9334,,BSDC91,,cal_roto,5,success,100,4,4,42,50,0
11751,,BS2DCE,,cal_roto,5,pending,98,4,3,0,0,0
23919,,BSF66F,,cal_static,4,pending,100,4,2,0,0,0
11752,,BS2DCE,,cal_roto,5,pending,97,4,3,0,0,0
9335,,BSDC91,,cal_roto,5,success,100,4,4,6,8,0
11753,,BS2DCE,,cal_roto,5,success,97,4,4,430,605,0
11754,,BS2DCE,,cal_roto,5,success,98,4,4,222,326,0
9336,,BSDC91,,cal_roto,5,success,100,4,4,69,92,0
23920,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
23921,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11755,,BS2DCE,,cal_roto,5,success,98,4,4,60,68,0
9337,,BSDC91,,cal_roto,5,success,100,4,4,93,105,0
23922,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
11756,,BS2DCE,,cal_roto,5,success,98,4,4,160,206,0
9338,,BSDC91,,cal_roto,5,success,100,4,4,53,75,0
23923,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11757,,BS2DCE,,cal_roto,5,success,98,4,4,96,141,0
9339,,BSDC91,,cal_roto,5,success,100,4,4,24,34,0
11758,,BS2DCE,,cal_roto,5,success,98,4,4,92,123,0
23924,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
9340,,BSDC91,,cal_roto,5,success,100,4,4,54,76,0
23925,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11759,,BS2DCE,,cal_roto,5,success,98,4,4,78,91,0
9341,,BSDC91,,cal_roto,5,success,100,4,4,152,212,0
23926,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
11760,,BS2DCE,,cal_roto,5,success,98,4,4,11,16,0
9342,,BSDC91,,cal_roto,5,success,100,4,4,118,185,0
23927,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11761,,BS2DCE,,cal_roto,5,success,98,4,4,9,14,0
9343,,BSDC91,,cal_roto,5,success,100,4,4,83,127,0
23928,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
11762,,BS2DCE,,cal_roto,5,success,100,4,4,25,30,0
9344,,BSDC91,,cal_roto,5,success,100,4,4,76,119,0
23929,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11763,,BS2DCE,,cal_roto,5,success,100,4,4,16,21,0
9345,,BSDC91,,cal_roto,5,success,100,4,4,135,189,0
23930,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
11764,,BS2DCE,,cal_roto,5,success,100,4,4,43,49,0
9346,,BSDC91,,cal_roto,5,success,100,4,4,130,205,0
23931,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11765,,BS2DCE,,cal_roto,5,success,100,4,4,81,115,0
9347,,BSDC91,,cal_roto,5,success,100,4,4,80,115,0
23932,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
11766,,BS2DCE,,cal_roto,5,success,100,4,4,148,195,0
9348,,BSDC91,,cal_roto,5,success,100,4,4,31,50,0
23933,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11767,,BS2DCE,,cal_roto,5,success,100,4,4,120,171,0
9349,,BSDC91,,cal_roto,5,success,100,4,4,4,6,0
23934,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
11768,,BS2DCE,,cal_roto,5,success,100,4,4,63,84,0
9350,,BSDC91,,cal_roto,5,success,100,4,4,114,144,0
23935,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
9351,,BSDC91,,cal_roto,5,success,100,4,4,34,52,0
11769,,BS2DCE,,cal_roto,5,success,100,4,4,274,441,0
23936,,BSF66F,,cal_static,4,pending,98,4,4,0,0,0
11770,,BS2DCE,,cal_roto,5,success,100,4,4,50,74,0
9352,,BSDC91,,cal_roto,5,success,100,4,4,105,153,0
23937,,BSF66F,,cal_static,4,pending,100,4,4,0,0,0
11771,,BS2DCE,,cal_roto,5,success,100,4,4,453,703,0
9353,,BSDC91,,cal_roto,5,success,100,4,4,5,7,0
