e_reg_scale_mm,omitted_pair,status,wall_s,common_mode_mm,common_mode_delta_mm,e_delta_rmse_mm,e_delta_max_abs_mm,pair_rmse_mm
20.0,A-B,ok,0.05723015699186362,133.1806900451164,21.19589887325047,12.493076491872056,22.020368025384627,32.05928584643285
20.0,A-C,ok,0.017498367000371218,113.18690003855147,1.202108866685549,1.1437650171771439,1.9378220479814052,38.857710776241085
20.0,A-D,ok,0.032502390997251496,94.98923202508628,-16.99555914677964,5.083151648816111,9.597285830291202,39.25164757743195
20.0,A-E,ok,0.023228072008350864,107.09025969018003,-4.894531481685888,2.3523573683451118,3.472046661795078,39.361873553227234
20.0,A-F,ok,0.02738605800550431,104.92566251836263,-7.0591286535032935,6.28463896885051,9.542531007280873,39.13086854014363
20.0,A-G,ok,0.02630185300949961,124.57850751481106,12.593716342945143,4.657842557877714,8.121755691868712,37.795430615854265
20.0,A-H,ok,0.027212302025873214,105.36891136154323,-6.615879810322696,10.167662321158751,15.995165757687271,34.68659355694792
20.0,B-C,ok,0.03825496797799133,84.15729741973125,-27.82749375213467,8.985532071709535,15.071645781760461,31.722176717232283
20.0,B-D,ok,0.02802302601048723,122.30254111836862,10.317749946502701,7.780799349020807,13.370653057686004,37.94458471848079
20.0,B-E,ok,0.030414349981583655,101.64963848341554,-10.335152688450378,7.453314456462387,15.626954433218055,38.92524161621718
20.0,B-F,ok,0.03292280199821107,111.42075178867034,-0.5640393831955777,7.920096992786714,10.876658001036018,35.79510201708961
20.0,B-G,ok,0.028042628022376448,102.57738978078993,-9.407401391075993,8.603659910442593,13.102007641478744,26.455443650623764
20.0,B-H,ok,0.029293379018781707,105.59159517521616,-6.393195996649766,3.265430439742562,5.833753749512383,39.29466362613808
20.0,C-D,ok,0.02621761299087666,115.11901892531505,3.1342277534491245,3.4267129693359344,6.111045207695701,38.920128254408944
20.0,C-E,ok,0.024256386008346453,107.32857068523155,-4.656220486634368,2.3823110856993375,4.815731845792396,39.50028731927565
